Id	Desc	SceneID	DataID	PosX	PosZ	FaceDirection
INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT
#MAX_ID=4999;MAX_RECORD=5000;TableType=Hash;						
#唯一标示	描述，策划维护，此列程序不读	所属场景	DataID	位置X	位置Z	Npc朝向(弧度数值)
9	捕役	1	10201	12978.0	6511.0	-163.0
10	捕役	1	10201	12712.0	6480.0	-163.0
11	捕役	1	10201	12907.0	7049.0	-163.0
12	捕役	1	10201	12574.0	6064.0	-163.0
13	捕役	1	10201	12746.0	6525.0	-163.0
14	捕役	1	10201	13251.0	6928.0	-163.0
15	捕役	1	10201	13093.0	7389.0	-163.0
16	捕役	1	10201	11670.0	10446.0	-157.0
17	捕役	1	10201	11999.0	10205.0	-157.0
18	捕役	1	10201	12096.0	10652.0	-157.0
19	捕役	1	10201	12746.0	10111.0	-157.0
20	捕役	1	10201	13039.0	10356.0	-157.0
21	捕役	1	10201	12390.0	10051.0	-157.0
22	山贼	1	10202	6345.0	14168.0	-62.0
23	山贼	1	10202	6467.0	14558.0	-62.0
24	山贼	1	10202	6760.0	14710.0	-62.0
25	山贼	1	10202	6786.0	13694.0	-62.0
26	山贼	1	10202	7133.0	14436.0	-62.0
27	山贼	1	10202	7206.0	13522.0	-62.0
28	山贼	1	10202	7453.0	13895.0	-62.0
29	山贼	1	10202	6983.0	14026.0	-62.0
30	印牌	1	10301	8310.0	14995.0	-163.0
37	黄巾军亡魂	2	20202	4731.0	1306.0	140.0
38	黄巾军亡魂	2	20202	4859.0	981.0	140.0
39	黄巾军亡魂	2	20202	4619.0	992.0	140.0
40	黄巾军亡魂	2	20202	4961.0	1254.0	140.0
41	黄巾军亡魂	2	20202	4505.0	1292.0	140.0
42	黄巾军亡魂	2	20202	3618.0	2558.0	19.0
43	黄巾军亡魂	2	20202	4645.0	1562.0	140.0
44	黄巾军亡魂	2	20202	4396.0	1608.0	140.0
45	黄巾军亡魂	2	20202	3482.0	3053.0	140.0
46	黄巾军亡魂	2	20202	3132.0	2732.0	140.0
47	黄巾军亡魂	2	20202	3218.0	3024.0	140.0
48	黄巾军亡魂	2	20202	3342.0	2831.0	108.0
49	黄巾军亡魂	2	20202	3525.0	2735.0	84.0
50	袁绍	2	20203	4133.0	3998.0	-162.0
51	亡魂枪客	2	20204	7391.0	4276.0	-168.0
52	亡魂枪客	2	20204	7650.0	4194.0	-168.0
53	亡魂枪客	2	20204	7919.0	4137.0	-168.0
54	亡魂枪客	2	20204	7121.0	4275.0	-168.0
55	亡魂枪客	2	20204	8082.0	4369.0	-168.0
56	亡魂枪客	2	20204	7800.0	4398.0	-168.0
57	亡魂枪客	2	20204	7547.0	4458.0	-168.0
58	亡魂枪客	2	20204	7239.0	4499.0	-168.0
59	亡魂枪客	2	20204	6935.0	4536.0	-168.0
60	亡魂刀客	2	20205	3028.0	6834.0	-105.0
61	亡魂刀客	2	20205	2585.0	6668.0	-105.0
62	亡魂刀客	2	20205	2832.0	6677.0	-105.0
63	亡魂刀客	2	20205	2510.0	6433.0	-105.0
