Id	Desc	SceneID	DataID	PosX	PosZ	FaceDirection
INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT
#MAX_ID=4999;MAX_RECORD=5000;TableType=Hash;						
#唯一标示	描述，策划维护，此列程序不读	所属场景	DataID	位置X	位置Z	Npc朝向(弧度数值)
0	盈虹	1	10101	6174.0	8967.0	-157.0
1	镇长	1	10102	6846.0	8661.0	-189.0
2	巡山人	1	10103	8563.0	7521.0	-262.0
3	仙人	1	10104	7525.0	8220.0	-192.0
4	盈彩	1	10105	13144.0	11814.0	-209.0
5	店小二	1	10106	5536.0	7328.0	-45.0
6	商人	1	10107	6410.0	6166.0	-223.0
7	算命先生	1	10108	6549.0	7713.0	-191.0
8	奖励使者	1	10109	7157.0	6922.0	-163.0
31	刘备	2	20101	4976.0	2109.0	-175.0
32	关羽	2	20102	4516.0	2353.0	-130.0
33	何进	2	20103	3848.0	3909.0	-105.0
34	貂蝉	2	20104	7764.0	5191.0	-192.0
35	董卓	2	20105	6660.0	5704.0	-122.0
36	张角	2	20106	3216.0	7956.0	-123.0
69	家丁	3	30101	5595.0	1799.0	-122.0
70	张飞	3	30102	3517.0	2808.0	-157.0
71	张夫人	3	30103	3688.0	5981.0	-157.0
72	于吉	3	30104	5421.0	6041.0	-157.0
102	赵云	4	40101	4412.0	8235.0	-209.0
103	高顺	4	40102	13270.0	9212.0	-227.0
104	吕布	4	40103	13057.0	9958.0	-227.0
