AnimID	Name	AinmName	Layer	WrapMode	PlayMode	QueueMode	SPEED	TransitTime	LoopTime	LoopOverAnimId	IsCanBreak	StartEffect01	IsStartEffectAutoEnd01	StartEffect02	IsStartEffectAutoEnd02	StartEffect03	IsStartEffectAutoEnd03	StartEffect04	IsStartEffectAutoEnd04	EndEffect	IsCallEnd	NextAnimId	SoundID
INT	STRING	STRING	BYTE	BYTE	BYTE	BYTE	FLOAT	FLOAT	INT	int	BOOL	INT	BOOL	INT	BOOL	INT	BOOL	INT	BOOL	INT	BOOL	INT	SHORT
#预留																							
#本行程序不读 动画ID	描述	动画名称	优先级	播放模式1	播放模式2	播放模式3	速度	过渡时间	循环次数	循环结束动作	是否能被打断	起始特效01ID	起始特效01是否自动结束	起始特效02ID	起始特效02是否自动结束	起始特效03ID	起始特效03是否自动结束	起始特效04ID	起始特效04是否自动结束	结束特效ID	结束后是否回调	结束后的下一动作	动作音效
0	站立	Stand	1	2	4	0	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1
1	跑动	Run	1	2	4	0	1	0	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1
2	少林普攻1	Attack_01	2	1	4	2	1	0.1	-1	-1	0	1	0	-1	0	-1	0	-1	0	-1	1	3	57
3	少林普攻2	Attack_02	2	1	4	2	1	0.1	-1	-1	0	2	1	-1	0	-1	0	-1	0	-1	1	4	58
4	少林普攻3	Attack_03	2	1	4	2	1	0.1	-1	-1	0	3	1	-1	0	-1	0	-1	0	-1	1	-1	59
5	少林罗汉棍	Skill_Luohangun	2	1	4	2	1	0.2	-1	-1	0	4	1	-1	0	-1	0	-1	0	-1	1	-1	70
6	少林摩诃无量	Skill_Mohewuliang	2	2	4	2	1	0.2	13	-1	0	5	0	-1	0	-1	0	-1	0	-1	1	-1	67
7	少林XP起手	Skill_Xp_Loop	2	2	4	2	1	0.2	2	8	0	6	0	-1	0	-1	0	-1	0	-1	1	-1	76
8	少林XP结束	Skill_Xp_End	2	1	4	2	1	0.2	-1	-1	0	7	1	-1	0	-1	0	-1	0	-1	1	-1	80
9	怪物普攻	Attack	2	1	4	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1
10	受击	Hit	2	1	4	2	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1
11	击倒	Knockback_01	2	1	4	2	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1
12	击飞	Knockback_02	2	1	4	2	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1
13	死亡	Die	2	1	4	2	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	53	-1
14	主角受击	Hit	2	1	4	2	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1
15	骑马站立	Ride_Stand	1	2	4	0	1	0.2	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1
16	骑马跑动	Ride_Run	1	2	4	0	1	0.1	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1
17	逍遥普攻1	Attack_01	2	1	4	0	1	0.1	-1	-1	0	12	1	57	1	-1	0	-1	0	-1	1	18	63
18	逍遥普攻2	Attack_02	2	1	4	0	1	0.1	-1	-1	0	13	1	58	1	-1	0	-1	0	-1	1	19	64
19	逍遥普攻3	Attack_03	2	1	4	0	1	0.2	-1	-1	0	14	1	59	1	-1	0	-1	0	-1	1	-1	65
20	北冥神功起始(废弃)	Skill_Beimingshengong_Start	2	1	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	22	71
21	北冥神功循环(废弃)	Skill_Beimingshengong_Loop	2	2	4	0	1	0.1	1	22	0	19	0	-1	0	-1	0	-1	0	-1	1	-1	-1
22	北冥神功终止(废弃)	Skill_Beimingshengong_End	2	1	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1
23	小无相功	Skill_Xiaowuxiang	2	1	4	0	1	0.2	-1	-1	0	17	1	-1	0	-1	0	-1	0	-1	1	-1	82
24	毁天灭地起始	Skill_Xp_Huitianmiedi_Start	2	1	4	0	1	0.2	-1	-1	0	15	1	-1	0	-1	0	-1	0	-1	1	26	77
25	毁天灭地循环（废弃）	Skill_Xp_Huitianmiedi_Loop	2	2	4	0	1	0.1	1	26	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1
26	毁天灭地终止	Skill_Xp_Huitianmiedi_End	2	1	4	0	1	0.1	-1	-1	0	16	1	-1	0	-1	0	-1	0	-1	1	-1	81
27	祝融掌起始	Skill_Zhurongzhang_Start	2	1	4	0	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	28	-1
28	祝融掌循环	Skill_Zhurongzhang_Loop	2	2	4	0	1	0.1	3	29	0	21	0	-1	0	-1	0	-1	0	-1	1	-1	68
29	祝融掌停止	Skill_Zhurongzhang_End	2	1	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1
30	寒冰掌	Skill_Hanbingjing	2	1	4	0	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1
31	天山普攻1	Attack_01	2	1	4	0	1	0.1	-1	-1	0	22	1	-1	0	-1	0	-1	0	-1	1	32	60
32	天山普攻2	Attack_02	2	1	4	0	1	0.1	-1	-1	0	23	1	-1	0	-1	0	-1	0	-1	1	33	61
33	天山普攻3	Attack_03	2	1	4	0	1	0.1	-1	-1	0	24	1	-1	0	-1	0	-1	0	-1	1	-1	62
34	八荒六合起手	Skill_Xp_Bahuangliuhe_Start	2	1	4	0	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	35	88
35	八荒六合循环	Skill_Xp_Bahuangliuhe_Loop	2	2	4	0	1	0.2	1	36	0	25	0	-1	0	-1	0	-1	0	-1	1	-1	89
36	八荒六合结束	Skill_Xp_Bahuangliuhe_End	2	1	4	0	1	0.1	-1	-1	0	26	1	-1	0	-1	0	-1	0	-1	1	-1	91
37	天山折梅手	Skill_Tianshanzhemeishou	2	1	4	0	1	0.1	-1	-1	0	27	1	-1	0	-1	0	-1	0	-1	1	-1	73
38	移花接木	Skill_Yihuajiemu	2	1	4	0	1	0.1	-1	-1	0	30	1	-1	0	-1	0	-1	0	-1	1	-1	83
39	天山六阳掌	Skill_Tianshanliuyangzhang	2	1	4	0	1	0.1	-1	-1	0	28	1	29	1	-1	0	-1	0	-1	1	-1	66
40	大理普攻1	Attack_01	2	1	4	0	1	0.1	-1	-1	0	31	1	-1	0	-1	0	-1	0	-1	1	41	54
41	大理普攻2	Attack_02	2	1	4	0	1	0.1	-1	-1	0	32	1	-1	0	-1	0	-1	0	-1	1	42	55
42	大理普攻3	Attack_03	2	1	4	0	1	0.1	-1	-1	0	33	1	-1	0	-1	0	-1	0	-1	1	-1	56
43	暴雨梨花起始	Skill_Xp_Loop	2	2	4	0	1	0.2	2	44	0	34	0	-1	0	-1	0	-1	0	-1	1	-1	87
44	暴雨梨花终止	Skill_Xp_End	2	1	4	0	1	0.1	-1	-1	0	35	1	-1	0	-1	0	-1	0	-1	1	-1	90
45	一阳指	Skill_Yiyangzhi	2	1	4	0	1	0.2	-1	-1	0	36	0	-1	0	-1	0	-1	0	-1	1	-1	69
46	流星赶月	Skill_Liuxingganyue	2	1	4	0	1	0.2	-1	-1	0	38	0	-1	0	-1	0	-1	0	-1	1	-1	102
