Id	Desc	Duration	ConsumeType_1	ConsumeSubType_1	ConsumeNum_1	ConsumeType_2	ConsumeSubType_2	ConsumeNum_2
INT	STRING	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=50;MAX_RECORD=50;TableType=Hash;								
#本行程序不读	描述	进化时间（秒）	消耗类型1（1元宝2金币3代币4经验5道具）	消耗子类型1（当类型为代币时，1真气2体力3帮贡，当类型为道具时，填道具id）	消耗数量1	消耗类型2	消耗子类型2	消耗数量2
1		60	5	28	2	2	1	1330
2		120	5	28	2	2	1	2650
3		300	5	28	2	2	1	3980
4		480	5	28	2	2	1	5310
5		600	5	28	2	2	1	6630
6		900	5	28	2	2	1	7960
7		1200	5	28	2	2	1	9290
8		1800	5	28	2	2	1	10610
9		2700	5	28	3	2	1	13270
10		3600	5	28	3	2	1	15920
11		5400	5	28	3	2	1	18570
12		7200	5	28	3	2	1	21230
13		9000	5	28	3	2	1	23880
14		10800	5	28	3	2	1	26540
15		12600	5	28	3	2	1	29190
16		14400	5	28	3	2	1	31840
17		18000	5	28	3	2	1	34500
18		21600	5	28	5	2	1	37150
19		25200	5	28	5	2	1	39800
20		28800	5	28	5	2	1	42460
21		36000	5	28	5	2	1	45110
22		43200	5	28	10	2	1	47760
23		50400	5	28	10	2	1	50420
24		57600	5	28	10	2	1	53070
25		64800	5	28	10	2	1	55720
26		72000	5	28	10	2	1	58380
27		86400	5	28	50	2	1	132680
28		108000	5	28	60	2	1	145940
29		129600	5	28	70	2	1	159210
30		151200	5	28	80	2	1	172480
31		172800	5	28	90	2	1	185750
32		194400	5	28	100	2	1	199010
33		216000	5	28	110	2	1	212280
34		237600	5	28	120	2	1	225550
35		259200	5	28	130	2	1	238820
36		280800	5	28	180	2	1	265350
37		302400	5	28	180	2	1	291890
38		324000	5	28	180	2	1	318420
39		345600	5	28	180	2	1	344960
40		367200	5	28	180	2	1	371490
41		388800	5	28	180	2	1	398030
42		410400	5	28	180	2	1	424560
43		432000	5	28	180	2	1	451100
44		432000	5	28	180	2	1	477630
