RockID	Desc	IsContinueDie	NeedRockTime	DelayTime	PosXAnimCurveId	PosYAnimCurveId	PosZAnimCurveId	RXAnimCurveId	RYAnimCurveId	RZAnimCurveId
INT	STRING	BOOL	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT
#预留										
#本行程序不读 震屏ID	描述	主角死亡是否继续震屏	震屏持续时间	震屏延迟时间	X位置偏移动画曲线ID	Y位置偏移动画曲线ID	Z位置动画曲线ID	X旋转偏移动画曲线ID	Y旋转偏移动画曲线ID	Z旋转偏移动画曲线ID
1	少林XP技震屏	0	0.35	3.3	-1	7	8	9	10	11
2	少林普攻震屏	0	0.1	1.3	-1	7	8	9	10	11
3	少林罗汉棍震屏	0	0.2	0.666	-1	7	8	9	10	11
4	雁门关末尾剧情震屏	0	1	0	-1	7	8	9	10	11
5	天山XP技震屏	0	0.35	2.547	-1	7	8	9	10	11
6	大理XP技震屏	0	0.35	4.05	-1	7	8	9	10	11
7	逍遥XP技震屏	0	0.35	2.586	-1	7	8	9	10	11
8	韦陀杵屏震	0	0.2	0.533	-1	7	8	9	10	11
9	狮吼功屏震	0	0.65	0.6	-1	7	8	9	10	11
10	一阳指屏震	0	0.1	0.7	-1	7	8	9	10	11
11	天山普攻震屏	0	0.1	1.3	-1	7	8	9	10	11
12	大理普攻震屏	0	0.1	1.4	-1	7	8	9	10	11
13	逍遥普攻震屏	0	0.1	1.3	-1	7	8	9	10	11
14	少林迦叶功震屏	0	0.1	0.832	-1	7	8	9	10	11
15	天山生死符震屏	0	0.1	0.9	-1	7	8	9	10	11
16	雁门关BOSS震屏	0	0.5	1.95	-1	7	8	9	10	11
