Id	Name	Name	Title	ResPath	AnimPath	HeadPic	NPCSpriteName	HeadInfoHeight	Scale	DeadSound01	DeadSound02	DeadSound03	ModelType
INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	FLOAT	FLOAT	SHORT	SHORT	SHORT	INT
#MAX_ID=4096;MAX_RECORD=4096;TableType=Hash;													
#角色ID	描述（程序不读）	名称	称号	资源路径	动作路径	头像	对话半身像	头顶信息板高度修正	缩放比例	死亡音效1	死亡音效2	死亡音效3	骨骼模型类别(-1无类型(聚宝盆 棋子一类无骨骼的) 1人形 2 人形（胖子 侏儒） 3四足兽形 4人形（段延庆 带双拐）)
0		主角：少林	主角	Sz_shaolin_xsz	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
1		主角：天山	主角	Sz_tianshan_xsz	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
2		主角：大理	主角	Sz_dali_xsz	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
3		主角：逍遥	主角	Sz_xiaoyao_xsz	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
4		山魈头目	野怪	Boss		head-animal	heiyiren	1.5	0.8	20	20	20	3
5		说书人	友好NPC	Sz_xiaoyao_xsz		head-npc	heiyiren	1.7	1	12	13	13	1
6		朱丹臣	友好NPC	Npc_001_zhudanchen_001	Animation/NPC/Man/MatureMan/No_Weapon	head-npc	ZhuDanChen	2	1	14	15	16	1
7		褚万里	友好NPC	Npc_001_zhuwanli_001	Animation/NPC/Man/Fat/No_Weapon	head-npc	ChuWanLi	2.2	1	14	15	16	2
8		乔峰	友好NPC	Npc_001_qiaofeng_001	Animation/NPC/Man/Strong/No_Weapon	head-npc	QiaoFeng	2.2	1.1	14	15	16	1
9		裁缝	友好NPC	Npc_001_zhudanchen_001	Animation/NPC/Man/MatureMan/No_Weapon	head-npc	ZhuDanChen	2	1	14	15	16	1
10		结婚-司仪	友好NPC	Npc_001_simalin_002	Animation/NPC/Man/MatureMan/No_Weapon	head-npc	zhongwanchou	2	1	14	15	16	1
11		强化	友好NPC	Npc_001_xuzhu_001	Animation/NPC/Man/MatureMan/No_Weapon	head-npc	heiyiren	1.7	1	14	15	16	1
12		节日	友好NPC	Npc_001_wangyuyan_001	Animation/NPC/Women/MatureFemale/Magic	head-npc	abi	2.2	1	12	13	13	1
13		伙伴	友好NPC	Npc_001_zhongling_001	Animation/NPC/Women/Loli/One_Sword	head-npc	heiyiren	1.7	1	12	13	13	1
14		商人	友好NPC	Npc_001_zhudanchen_001		head-npc	heiyiren	2	1	14	15	16	1
15		野狼	野怪	Monster_001_zonglang_001	Animation/NPC/Animal/Tiger	head-animal	heiyiren	1.5	0.7	20	20	20	3
16		铁匠	友好NPC	Npc_001_heliantieshu_001	Animation/NPC/Man/Fat/TwoHand_LongWeapon	head-npc	heiyiren	2.5	1.2	14	15	16	2
17		活动	友好NPC	Npc_001_saodiseng_001	Animation/Npc/Man/MatureMan/One_LongWeapon	head-npc	heiyiren	1.7	1	14	15	16	1
18		伙伴	友好NPC	Npc_001_zhongling_001	Animation/NPC/Women/Loli/One_Sword	head-npc	heiyiren	1.7	1	12	13	13	1
19		家园	友好NPC	Npc_001_xuzhanglao_001	Animation/NPC/Women/Midget/One_LongWeapon	head-npc	heiyiren	1.7	1	12	13	13	2
20		任务	友好NPC	Sz_xiaoyao_xsz		head-npc	heiyiren	1.7	1	12	13	13	1
21		商人	友好NPC	Npc_000_mawude_001	Animation/NPC/Man/Fat/No_Weapon/Npc_001_zhuwanli_001	head-npc	heiyiren	2.2	1	14	15	16	2
22		节日	友好NPC	Sz_xiaoyao_xsz		head-npc	abi	1.7	1	12	13	13	1
23		强化	友好NPC	Sz_xiaoyao_xsz		head-npc	heiyiren	1.7	1	12	13	13	1
24		帮会	友好NPC	Npc_001_qiaofeng_001	Animation/NPC/Man/Strong/No_Weapon	head-npc	heiyiren	2.2	1.1	14	15	16	1
25		奖励	友好NPC	Npc_001_duanyu_001	Animation/Player/Dali_001	head-npc	heiyiren	1.7	1	14	15	16	1
26		仓库	友好NPC	Npc_001_saodiseng_001	Animation/Npc/Man/MatureMan/One_LongWeapon	head-npc	heiyiren	1.7	1	14	15	16	1
27		逍遥接引	友好NPC	Sz_xiaoyao_xsz		head-npc	heiyiren	1.7	1	12	13	13	1
28		少林接引	友好NPC	Npc_001_shaolintongren_001	Animation/NPC/Man/Strong/No_Weapon	head-npc	heiyiren	1.7	1	14	15	16	1
