Id	Desc	TargetPosX	TargetPosY	TargetPosZ	TargetPosRadius	SpeakerID	SpriteName	Story	NextPageTime
INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	INT	STRING	STRING	FLOAT
#									
#id唯一标示	策划维护，程序不读	目标X坐标	目标Y坐标	目标Z坐标	距离目标半径	说话者ID(-1为玩家)	Sprite名称	剧情内容	文字显示完成后翻页时间
1	任务1	42.26514	22	22.56848	2	6	ZhuDanChen	$R醒了？醒了就好，你昏迷多日真替你捏了把汗啊。	5
						-1	MainPlayer	啊，我这是怎么了，浑身怎么一点力气也没有。	5
						6	ZhuDanChen	你受了掌力内伤，若非王爷用一阳指力护主了你的心脉，又找来薛神医替你医治，恐怕大罗金仙也救不活你了。	5
						-1	MainPlayer	多谢救命之恩！	5
						6	ZhuDanChen	救人一命胜造七级浮屠，$R不必如此客气。	5
2	任务4	48	22	11	2	7	ChuWanLi	$R有所不知，大理皇室传统，世代习武，以一阳指和六脉神剑两项绝技驰名武林。	5
						-1	MainPlayer	这两门武功我曾听人说过，都是稀世绝学，这可不挺好吗，段公子为什么不学？	5
						7	ChuWanLi	世子从小酷爱吟诗作赋，饱读四书五经佛礼儒学，认准了练武伤害性命，死也不肯学。	5
						-1	MainPlayer	段公子生性仁爱，不杀众生实在难得，也许慢慢他会想通的。	5
						7	ChuWanLi	但愿如此，当务之急是先找到世子再说，古二弟和傅三弟已经出去打探世子下落了。	5
3	任务5	54.05	22	32.17	2	-1	MainPlayer	小二，这位爷台的酒菜都算在我这儿。	5
						8	QiaoFeng	$R，过来同饮一杯如何？	5
						-1	MainPlayer	最好，最好，敢问阁下大名？	5
						8	QiaoFeng	$R何必明知故问？大家不拘形迹，喝上几碗，岂非大是妙事？待得敌我分明，便没有余味了。	5
						-1	MainPlayer	兄台想必是认错了人，以为我是敌人。不过‘不拘形迹’四字，我最是喜欢，请！	5
						8	QiaoFeng	没想到你这人喝酒倒是爽快，只不过这小碗喝着没什么意思，不如将地上的几坛高粱拿来喝。	5
4	任务18	51.77	7.058824	53.41	2	35	SiKongXuan	谁稀罕到他无量后山采药，那通天草也未必真的就解得了生死符，等我拿下无量剑派，童姥自会赐我解药。	5
						35	SiKongXuan	姓段的小子一点武功不会，却来寻老夫的消遣，老夫行走江湖四十年，从没见过这等胆大妄为的人	5
						-1	MainPlayer	段公子也是为你着想，正所谓冤家宜解不宜结。	5
						35	SiKongXuan	说什么都没用了，我也是受制于人。若是拿不下无量剑派，今天我是有死无生。	5
5	任务25	40.82	18.21	9.51	2	-1	MainPlayer	钟姑娘吩咐晚生以此为信物，前来拜见夫人。	5
						41	GanBaoBao	多谢$R，不知小女遇上了甚么事？	5
						-1	MainPlayer	钟姑娘为救段公子放闪电貂咬伤了司空玄，惹上了神农帮。	5
						41	GanBaoBao	是啊，这原也难怪，当年……当年我也是这样……	5
						-1	MainPlayer	……？夫人说什么？	5
						41	GanBaoBao	我……我想起了另外一件事。我……我想这件事……有点……有点棘手	5
						-1	MainPlayer	这事当然棘手，可是你又何必羞得连耳根子也红了	5
6	任务26	40.82	18.21	9.51	2	42	zhongwanchou	夫人，好端端地，进喜儿又怎会让人家杀了？	5
						41	GanBaoBao	不好，是我丈夫来了，他最多疑，性如烈火，稍有疏虞，你性命难保，我也救你不得，$R暂且躲一躲。	5
						41	GanBaoBao	咱二人安安静静的住在这里，十年之中，我足不出谷，你心里还有甚么不足的？为甚么定要去请这‘四大恶人’来闹个天翻地覆？	5
						42	zhongwanchou	我去请这四个人来，还不是为了你？这姓段的辱我太甚，此仇不报，我钟万仇有何脸面生于天地之间？	5
						42	zhongwanchou	什么人！你是谁，阿宝，你……你……又……又……	5
7	任务28	53.89	19.99	53.15	2	43	mujianping	借马给你，是我冲着人家的面子，用不着你来谢。你不赶去救人，又回来干什么？	5
						-1	MainPlayer	在下骑了黑玫瑰，途中遇到伏击，有人误认在下便是姑娘，口出不逊之言，在下觉得不妥，非来向姑娘报个讯息不可。	5
						43	mujianping	你假惺惺的来讨好我，有什么用意？	5
						-1	MainPlayer	看来姑娘身处险境，我自己也是大祸临头了。却不知姑娘何以跟这干人结仇？	5
						44	pingpopo	小贱人，尽拖延干什么？快动手罢！	5
						43	mujianping	你已活了这大把年纪，要死也不争在这一刻。苏州那姓王的恶婆娘干么自己不来跟我动手，却派你们这批奴才来跟我罗唣？	5
8	任务33	17.55	7.058824	52.42	2	32	zhongling	$R你带解药来了吗，我爹爹妈妈呢？	5
						-1	MainPlayer	一言难尽，你爹爹妈妈来不了，解药我也没弄到	5
						32	zhongling	这可怎么办，让我想想。	5
9	任务36	48.52	20.03829	55.35	2	-1	MainPlayer	多谢段公子救命之恩	5
						33	DuanYu	我只是路过，举手之劳何足挂齿，$R不必如此，接下来你有什么打算？	5
						-1	MainPlayer	说实话我也不知道该何去何从，之前只想着能见到段公子好让你早日回王府，免得褚大哥他们惦记。	5
						33	DuanYu	王府现在我还不想回去，我爹爹肯定又要逼着我练习打人杀人的法子了，不如你我一同游荡江湖如何？	5
10	单人副本-雁门关1	-1	-1	-1	-1	-1	MainPlayer	此次奉师命下山历练，没想到竟被派到了这关外的不毛之地，荒芜人烟的连个说话的人都没有，真是无聊！嗯？前面好像有喊杀声。	5
						53	heiyiren2	大……大哥，有人来了！	5
						58	heiyiren2	蠢货，今天的事不能让外人知道，赶快送他“上路”！	5
11	单人副本-雁门关2	-1	-1	-1	-1	53	heiyiren2	$G，看……看不出你还真……真有两下子！兄弟们大家一起……上！！！	5
						59	SiKongXuan	哈哈，后生，初生牛犊不怕虎很合老头子我的脾气，你不用怕他们，我传你一门秘技，保准打的他们屁滚尿流。	5
						-1	MainPlayer	多谢前辈指点，不知前辈是何人？怎会我门派武功？前辈……前辈！真是个怪人！	5
12	马府	52.89	20.01145	11.41	2	31	MaWuDe	这比武是无量剑的传统，每五年举行一次，由东宗和西宗各派出弟子比试	5
						-1	MainPlayer	他们为什么要比武呢？	5
						31	MaWuDe	听说无量剑派有个规矩，谁方胜出就可以在剑湖宫居住五年。	5
						-1	MainPlayer	这个规矩倒挺有意思，偌大个剑派还没有房子住么，抢来抢去的？	5
						31	MaWuDe	$R有所不知，据说剑湖宫对面有块无量玉璧，每当月圆之夜玉璧上就会出现一对仙人舞剑，很是神奇，不过老夫也没见过。	5
						-1	MainPlayer	还有这等事，真是世间奇闻。	5
13	单人副本-雁门关3	-1	-1	-1	-1	-1	MainPlayer	前面似乎正打的不可开交，快去看看。	5
14	单人副本-雁门关4	-1	-1	-1	-1	-1	MainPlayer	世上竟有如此强的……掌力！早知道就离远些了（吐血……）	3
15	聚贤庄副本_剧情对话_1	-1	-1	-1	-1	8	QiaoFeng	哪一位朋友要杀乔某的，先来对饮一碗，从此而后，往日交情一笔勾销。我杀你不是忘恩，你杀我不算负义。天下英雄，俱为证见。	1
						60	mafuren	先夫命丧你手，我跟你还有什么故旧之情？	1
16	聚贤庄副本_剧情对话_2	-1	-1	-1	-1	66	youshishuangxiong	<运掌力拍开酒坛斟满自家兄弟和乔峰的酒碗>我游氏兄弟也来领教领教乔兄的高招！	1
						8	QiaoFeng	<仰脖将酒碗干了个底朝天道>乔某也正想领教聚贤庄游氏双雄的手段！	1
