Id	Desc	DataId	Count
INT	STRING	INT	INT
#MAX_ID=10000;MAX_RECORD=10000;TableType=Index;			
#索引	描述	物品Id	生成数量
275	刀白凤美人卡	56529	1
276	秦红棉美人卡	56531	1
277	甘宝宝美人卡	56520	1
278	木婉清美人卡	56521	1
279	王语嫣美人卡	56522	1
280	阿朱美人卡	56523	1
281	阿紫美人卡	56524	1
282	西夏公主美人卡	56525	1
283	阿碧美人卡	56526	1
284	李秋水美人卡	56527	1
285	天山童姥美人卡	56528	1
286	阮星竹美人卡	56532	1
287	钟灵美人卡	56533	1
288	马夫人美人卡	56534	1
289	王夫人美人卡	56530	1
305	普通结婚戒指	59069	1
306	汗血马（30）	59185	1
307	赤焰麒麟永久	59148	1
312	二品升星丹	4602	1
313	三品升星丹	4603	1
314	四品升星丹	4604	1
315	五品升星丹	4605	1
316	梅剑碎片	59216	1
317	兰剑碎片	59217	1
318	竹剑碎片	59218	1
319	菊剑碎片	59219	1
320	神仙姐姐碎片	59220	1
321	香香公主碎片	59221	1
322	何铁手碎片	59222	1
323	温青青碎片	59223	1
324	春节_羊年年兽（7天）	59224	1
325	春节_羊年年兽（30天）	59232	1
326	春节_羊年年兽（永久）	59225	1
327	刀白凤碎片	56535	1
328	秦红棉碎片	56536	1
329	王夫人碎片	56537	1
330	甘宝宝碎片	59054	1
331	木婉清碎片	59055	1
332	王语嫣碎片	59056	1
333	阿朱碎片	59057	1
334	阿紫碎片	59058	1
335	西夏公主碎片	59059	1
336	阿碧碎片	59060	1
337	李秋水碎片	59061	1
338	天山童姥碎片	59062	1
339	阮星竹碎片	59063	1
340	钟灵碎片	59064	1
341	马夫人碎片	59065	1
342	梅剑碎片	59216	1
343	兰剑碎片	59217	1
344	竹剑碎片	59218	1
345	菊剑碎片	59219	1
346	神仙姐姐碎片	59220	1
347	香香公主碎片	59221	1
348	何铁手碎片	59222	1
349	温青青碎片	59223	1
350	爪击技能书	4500	1
351	淬毒技能书	4501	1
352	削铁技能书	4502	1
353	横扫技能书	4503	1
354	阳炎技能书	4504	1
355	咆哮技能书	4505	1
356	狂野技能书	4506	1
357	荆棘之狩技能书	4507	1
