Id	Desc	Stamina	level	Battle	Number	StartTime	EndTime	Exp	Money	GuidContribute	MasterContribute	Score1	RewardID1	Score2	RewardID2	Score3	RewardID3	Score4	RewardID4	Score5	RewardID5	SweepRewardID	ScoreCalcID	ExistTime
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Index;																								
#ID	描述(程序不读)	消耗体能	参与等级	最低战斗力	每天剩余次数	开始时间	结束时间	经验	金钱	帮贡	师门	S级分数	S级通关奖励ID	A级分数	A级通关奖励ID	B级分数	B级通关奖励ID	C级分数	C级通关奖励ID	D级分数	D级通关奖励ID	扫荡奖励	计算公式ID(CopySceneScoreCalc.txt中的ID)	副本存在时间(单位:秒)
0	聚贤庄单人简单规则	0	25	6000	2	-1	-1	-1	-1	0	0	100	302	85	303	70	304	50	305	1	306	5	1	600
1	聚贤庄单人困难规则	0	55	7000	2	-1	-1	-1	-1	0	0	100	302	85	303	70	304	50	305	1	306	5	2	600
2	聚贤庄单人挑战规则	0	80	8000	2	-1	-1	-1	-1	0	0	100	302	85	303	70	304	50	305	1	306	5	3	600
3	聚贤庄组队简单规则	0	25	6000	2	-1	-1	-1	-1	1	1	100	302	85	303	70	304	50	305	1	306	5	4	600
4	聚贤庄组队困难规则	0	55	7000	2	-1	-1	-1	-1	1	1	100	302	85	303	70	304	50	305	1	306	5	5	600
5	聚贤庄组队挑战规则	0	80	8000	2	-1	-1	-1	-1	1	1	100	302	85	303	70	304	50	305	1	306	5	6	600
6	燕子坞单人简单规则	0	20	6000	1	-1	-1	-1	-1	0	0	100	302	85	303	70	304	50	305	1	306	5	7	600
7	燕子坞单人困难规则	0	50	7000	1	-1	-1	-1	-1	0	0	100	302	85	303	70	304	50	305	1	306	5	8	600
8	燕子坞单人挑战规则	0	70	8000	1	-1	-1	-1	-1	0	0	100	302	85	303	70	304	50	305	1	306	5	9	600
9	燕子坞组队简单规则	0	20	6000	1	2000	2359	-1	-1	2	1	100	302	85	303	70	304	50	305	1	306	5	10	600
10	燕子坞组队困难规则	0	50	7000	1	2000	2359	-1	-1	2	1	100	302	85	303	70	304	50	305	1	306	5	11	600
11	燕子坞组队挑战规则	0	70	8000	1	2000	2359	-1	-1	2	1	100	302	85	303	70	304	50	305	1	306	5	12	600
12	珍珑棋局单人简单规则	0	20	2000	1	-1	-1	-1	-1	0	0	100	302	85	303	70	304	50	305	1	306	5	13	600
13	珍珑棋局单人困难规则	0	40	5000	1	-1	-1	-1	-1	0	0	100	302	85	303	70	304	50	305	1	306	5	14	1200
14	珍珑棋局单人挑战规则	0	60	10000	1	-1	-1	-1	-1	0	0	100	302	85	303	70	304	50	305	1	306	5	15	1800
15	珍珑棋局组队简单规则	0	20	2000	1	2000	2359	-1	-1	2	1	100	302	85	303	70	304	50	305	1	306	5	16	600
16	珍珑棋局组队困难规则	0	40	10000	1	2000	2359	-1	-1	2	1	100	302	85	303	70	304	50	305	1	306	5	17	1200
17	珍珑棋局组队挑战规则	0	60	15000	1	2000	2359	-1	-1	2	1	100	302	85	303	70	304	50	305	1	306	5	18	1800
18	燕王古墓单人简单规则	0	30	2000	2	-1	-1	-1	-1	0	0	100	302	85	303	70	304	50	305	1	306	5	22	600
19	燕王古墓单人困难规则	0	50	5000	2	-1	-1	-1	-1	0	0	100	302	85	303	70	304	50	305	1	306	5	23	600
20	燕王古墓单人挑战规则	0	70	10000	2	-1	-1	-1	-1	0	0	100	302	85	303	70	304	50	305	1	306	5	24	600
21	燕王古墓组队简单规则	0	30	2000	2	-1	-1	-1	-1	1	1	100	302	85	303	70	304	50	305	1	306	5	25	600
22	燕王古墓组队困难规则	0	50	10000	2	-1	-1	-1	-1	1	1	100	302	85	303	70	304	50	305	1	306	5	26	600
23	燕王古墓组队挑战规则	0	70	15000	2	-1	-1	-1	-1	1	1	100	302	85	303	70	304	50	305	1	306	5	27	600
24	藏经阁	0	25	-1	5	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	360
25	少室山	0	70	-1	2	-1	-1	-1	-1	3	2	100	302	85	303	70	304	50	305	1	306	5	-1	900
26	少室山	0	80	-1	2	-1	-1	-1	-1	3	2	100	302	85	303	70	304	50	305	1	306	5	-1	900
27	少室山	0	90	-1	2	-1	-1	-1	-1	3	2	100	302	85	303	70	304	50	305	1	306	5	-1	900
28	怒海锄奸	0	40	-1	2	-1	-1	-1	-1	0	0	100	302	85	303	70	304	50	305	1	306	5	19	600
29	怒海锄奸	0	60	-1	2	-1	-1	-1	-1	0	0	100	302	85	303	70	304	50	305	1	306	5	20	600
30	怒海锄奸	0	80	-1	2	-1	-1	-1	-1	0	0	100	302	85	303	70	304	50	305	1	306	5	21	600
