Id	Desc	HitPointPer	PassTimePer	DeadTimesPer	KFactor
INT	STRING	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Hash;					
#唯一标示	描述，策划维护，此列程序不读	[废除，无意义!]连击排名（100为基数）	通关时间（100为基数）	死亡次数（100为基数）	放大倍数（100为基数）
1	聚贤庄单人简单奖励计算规则	120	-10	-600	12000
2	聚贤庄单人困难奖励计算规则	120	-10	-600	12000
3	聚贤庄单人挑战奖励计算规则	120	-10	-600	12000
4	聚贤庄组队简单奖励计算规则	120	-10	-600	12000
5	聚贤庄组队困难奖励计算规则	120	-10	-600	12000
6	聚贤庄组队挑战奖励计算规则	120	-10	-600	12000
7	燕子坞单人简单奖励计算规则	120	-10	-600	12000
8	燕子坞单人困难奖励计算规则	120	-10	-600	12000
9	燕子坞单人挑战奖励计算规则	120	-10	-600	12000
10	燕子坞组队简单奖励计算规则	120	-10	-600	12000
11	燕子坞组队困难奖励计算规则	120	-10	-600	12000
12	燕子坞组队挑战奖励计算规则	120	-10	-600	12000
13	珍珑棋局单人简单奖励计算规则	120	-10	-600	12000
14	珍珑棋局单人困难奖励计算规则	120	-10	-600	12000
15	珍珑棋局单人挑战奖励计算规则	120	-10	-600	12000
16	珍珑棋局组队简单奖励计算规则	120	-10	-600	12000
17	珍珑棋局组队困难奖励计算规则	120	-10	-600	12000
18	珍珑棋局组队挑战奖励计算规则	120	-10	-600	12000
19	怒海锄奸简单	120	-10	-600	12000
20	怒海锄奸困难	120	-10	-600	12000
21	怒海锄奸挑战	120	-10	-600	12000
22	燕王古墓单人简单规则	120	-10	-600	12000
23	燕王古墓单人困难规则	120	-10	-600	12000
24	燕王古墓单人挑战规则	120	-10	-600	12000
25	燕王古墓组队简单规则	120	-10	-600	12000
26	燕王古墓组队困难规则	120	-10	-600	12000
27	燕王古墓组队挑战规则	120	-10	-600	12000
