Id	Desc	IsUnique	RareDegree	BroadCastItem	Exp	MoneyType	MoneyCount	ItemNum	ItemID1	ItemCount1	IsBind1	ItemID2	ItemCount2	IsBind2	ItemID3	ItemCount3	IsBind3
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=199;MAX_RECORD=200;TableType=Index;																	
#Index	策划维护注释列	是否唯一（1是，0不是）	稀有程度（1低，2中，3高，4极高）	是否公告物品	经验值	金钱类型	金钱数量	物品数量	物品1ID	物品1数量	物品1是否绑定	物品2ID	物品2数量	物品2是否绑定	物品3ID	物品3数量	物品3是否绑定
1	（127奖励）坐骑	1	3	1	0	-1	0	1	59052	1	1	-1	0	0	-1	0	0
2	（127奖励）美人	1	3	1	0	-1	0	1	56525	1	1	-1	0	0	-1	0	0
3	（127奖励）伙伴	1	3	1	0	-1	0	1	56502	1	1	-1	0	0	-1	0	0
4	（127奖励）4级生命宝石	0	3	1	0	-1	0	1	8004	1	1	-1	0	0	-1	0	0
5	（127奖励）4级命中宝石	0	3	1	0	-1	0	1	8704	1	1	-1	0	0	-1	0	0
6	（127奖励）4级暴击宝石	0	3	1	0	-1	0	1	8904	1	1	-1	0	0	-1	0	0
7	（127奖励）200绑定元宝	0	3	0	0	2	200	0	-1	0	0	-1	0	0	-1	0	0
8	（127奖励）100绑定元宝	0	3	0	0	2	100	0	-1	0	0	-1	0	0	-1	0	0
9	（127奖励）50绑定元宝	0	3	0	0	2	50	0	-1	0	0	-1	0	0	-1	0	0
10	（127奖励）25绑定元宝	0	3	0	0	2	25	0	-1	0	0	-1	0	0	-1	0	0
11	（3456奖励）橙色装备包	1	4	0	0	-1	0	1	56503	1	1	-1	0	0	-1	0	0
12	（3456奖励）紫色装备包	1	3	1	0	-1	0	1	56504	1	1	-1	0	0	-1	0	0
13	（3456奖励）2级各类宝石包	0	3	0	0	-1	0	1	56505	1	1	-1	0	0	-1	0	0
14	（3456奖励）50绑定元宝	0	3	1	0	2	50	0	-1	0	0	-1	0	0	-1	0	0
15	（3456奖励）1级各类宝石	0	2	0	0	-1	0	1	56508	1	1	-1	0	0	-1	0	0
16	（3456奖励）玄铁	0	2	0	0	-1	0	1	23	1	1	-1	0	0	-1	0	0
17	（3456奖励）生活材料(多种)	0	1	0	0	-1	0	1	56506	1	0	-1	0	0	-1	0	0
18	（3456奖励）伙伴(多种)	0	1	0	0	-1	0	1	56550	1	1	-1	0	0	-1	0	0
19	（3456奖励）金币	0	1	0	0	0	2000	0	-1	1	1	-1	0	0	-1	0	0
20	（7日后奖励）2级各类宝石	0	3	0	0	-1	0	1	56505	1	1	-1	0	0	-1	0	0
21	（7日后奖励）50绑定元宝	0	3	0	0	2	50	0	-1	0	0	-1	0	0	-1	0	0
22	（7日后奖励）1级各类宝石	0	2	0	0	-1	0	1	56508	1	1	-1	0	0	-1	0	0
23	（7日后奖励）玄铁	0	2	0	0	-1	0	1	23	1	1	-1	0	0	-1	0	0
24	（7日后奖励）生活材料	0	1	0	0	-1	0	1	56506	1	0	-1	0	0	-1	0	0
25	（7日后奖励）伙伴(多种)	0	1	0	0	-1	0	1	56550	1	1	-1	0	0	-1	0	0
26	（7日后奖励）金币	0	1	0	0	0	2000	0	-1	1	1	-1	0	0	-1	0	0
27	赤焰麒麟碎片	0	4	0	0	-1	0	1	59145	1	1	-1	0	0	-1	0	0
