Id	Desc	Name	Type	MiniLevel	MaxLevel	Weight	MissionID	UIName	ConsumeYuanBao	AwardActiveness	AwardMoney	AwardExp	AwardReputation	AwardItemID	AwardItemNum
INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=199;MAX_RECORD=200;TableType=Index;															
#ID(索引不可跳跃)	策划维护	分类名称	分类(0门派1野怪2副本3强化4竞技5帮战6抽奖7美人8伙伴)	任务最小可接等级	任务最大可接等级	刷新权重	任务ID	打开UI的名称(不需要不填)	刷新消耗元宝	活跃度奖励	金钱奖励	经验奖励	声望奖励	物品奖励	物品奖励数量
0	【门派】掌门问候	门派任务	0	32	200	30	40	-1	20	2	120	4200	5	0	0
1	【门派】行侠仗义	门派任务	0	32	200	30	41	-1	20	4	120	4200	5	0	0
2	【门派】收集物资	门派任务	0	32	200	30	42	-1	20	2	120	4200	5	0	0
3	【门派】掌门问候	门派任务	0	32	200	30	43	-1	20	2	120	4200	5	0	0
4	【门派】行侠仗义	门派任务	0	32	200	30	44	-1	20	4	120	4200	5	0	0
5	【门派】收集物资	门派任务	0	32	200	30	45	-1	20	2	120	4200	5	0	0
6	【门派】掌门问候	门派任务	0	32	200	30	46	-1	20	2	120	4200	5	0	0
7	【门派】行侠仗义	门派任务	0	32	200	30	47	-1	20	4	120	4200	5	0	0
8	【门派】收集物资	门派任务	0	32	200	30	48	-1	20	2	120	4200	5	0	0
9	【野外】无量山除恶	杀怪任务	1	10	15	30	49	-1	20	5	120	6720	0	0	0
10	【野外】无量山除恶	杀怪任务	1	10	15	30	50	-1	20	5	120	6720	0	0	0
11	【野外】无量山除恶	杀怪任务	1	10	15	30	51	-1	20	5	120	6720	0	0	0
12	【野外】万劫谷除恶	杀怪任务	1	15	20	30	52	-1	20	5	120	6720	0	0	0
13	【野外】万劫谷除恶	杀怪任务	1	15	20	30	53	-1	20	5	120	6720	0	0	0
14	【野外】万劫谷除恶	杀怪任务	1	15	20	30	54	-1	20	5	120	6720	0	0	0
15	【野外】苍山除恶	杀怪任务	1	20	25	30	55	-1	20	5	120	6720	0	0	0
16	【野外】苍山除恶	杀怪任务	1	20	25	30	56	-1	20	5	120	6720	0	0	0
17	【野外】苍山除恶	杀怪任务	1	20	25	30	57	-1	20	5	120	6720	0	0	0
18	【野外】燕子坞除恶	杀怪任务	1	30	35	30	58	-1	20	5	120	6720	0	0	0
19	【野外】燕子坞除恶	杀怪任务	1	30	35	30	59	-1	20	5	120	6720	0	0	0
20	【野外】燕子坞除恶	杀怪任务	1	30	35	30	60	-1	20	5	120	6720	0	0	0
21	【野外】小镜湖除恶	杀怪任务	1	35	40	30	61	-1	20	5	120	6720	0	0	0
22	【野外】小镜湖除恶	杀怪任务	1	35	40	30	62	-1	20	5	120	6720	0	0	0
23	【野外】小镜湖除恶	杀怪任务	1	35	40	30	63	-1	20	5	120	6720	0	0	0
24	【野外】杏子林除恶	杀怪任务	1	40	45	30	64	-1	20	5	120	6720	0	0	0
25	【野外】杏子林除恶	杀怪任务	1	40	45	30	65	-1	20	5	120	6720	0	0	0
26	【野外】杏子林除恶	杀怪任务	1	40	45	30	66	-1	20	5	120	6720	0	0	0
27	【野外】聚贤庄除恶	杀怪任务	1	45	50	30	67	-1	20	5	120	6720	0	0	0
28	【野外】聚贤庄除恶	杀怪任务	1	45	50	30	68	-1	20	5	120	6720	0	0	0
29	【野外】聚贤庄除恶	杀怪任务	1	45	50	30	69	-1	20	5	120	6720	0	0	0
30	【野外】少室山除恶	杀怪任务	1	50	55	30	70	-1	20	5	120	6720	0	0	0
31	【野外】少室山除恶	杀怪任务	1	50	55	30	71	-1	20	5	120	6720	0	0	0
32	【野外】少室山除恶	杀怪任务	1	50	55	30	72	-1	20	5	120	6720	0	0	0
33	【野外】雁门关除恶	杀怪任务	1	55	60	30	73	-1	20	5	120	6720	0	0	0
34	【野外】雁门关除恶	杀怪任务	1	55	60	30	74	-1	20	5	120	6720	0	0	0
35	【野外】雁门关除恶	杀怪任务	1	55	60	30	75	-1	20	5	120	6720	0	0	0
36	【野外】敦煌除恶	杀怪任务	1	60	70	30	76	-1	20	5	120	6720	0	0	0
37	【野外】敦煌除恶	杀怪任务	1	60	70	30	77	-1	20	5	120	6720	0	0	0
38	【野外】敦煌除恶	杀怪任务	1	60	70	30	78	-1	20	5	120	6720	0	0	0
39	【野外】雪原除恶	杀怪任务	1	70	80	30	79	-1	20	5	120	6720	0	0	0
40	【野外】雪原除恶	杀怪任务	1	70	80	30	80	-1	20	5	120	6720	0	0	0
41	【野外】雪原除恶	杀怪任务	1	70	80	30	81	-1	20	5	120	6720	0	0	0
42	【野外】缥缈峰除恶	杀怪任务	1	80	90	30	82	-1	20	5	120	6720	0	0	0
43	【野外】缥缈峰除恶	杀怪任务	1	80	90	30	83	-1	20	5	120	6720	0	0	0
44	【野外】缥缈峰除恶	杀怪任务	1	80	90	30	84	-1	20	5	120	6720	0	0	0
45	【副本】燕子坞—普通	副本任务	2	20	200	30	85	-1	20	8	120	4200	0	0	0
46	【副本】燕王古墓—普通	副本任务	2	30	200	70	86	-1	20	8	120	4200	0	0	0
47	【副本】珍珑棋局—普通	副本任务	2	20	200	30	87	-1	20	8	120	4200	0	0	0
48	【副本】聚贤庄—普通	副本任务	2	25	200	80	88	-1	20	8	120	4200	0	0	0
49	【副本】少室山—普通	副本任务	2	70	200	30	89	-1	20	8	120	4200	0	0	0
50	【副本】藏经阁	副本任务	2	25	200	30	90	-1	20	8	120	4200	0	0	0
51	【强化】装备吸收	强化任务	3	20	200	30	91	-1	20	2	120	4200	0	0	0
52	【强化】装备打星	强化任务	3	20	200	30	92	-1	20	5	120	4200	0	0	0
53	【强化】装备镶嵌	强化任务	3	20	200	30	93	-1	20	2	120	4200	0	0	0
54	【竞技】江湖名人录	竞技任务	4	20	200	30	94	-1	20	2	120	6720	0	0	0
55	【竞技】华山论剑	竞技任务	-1	20	200	30	95	-1	20	5	120	6720	0	0	0
56	【竞技】世界BOSS	竞技任务	4	50	200	30	96	-1	20	2	120	6720	0	0	0
57	【竞技】命运收割	竞技任务	-1	20	200	30	97	-1	20	5	120	6720	0	0	0
58	【帮会】帮战	帮战任务	-1	200	200	30	98	-1	20	0	120	8400	0	0	0
59	【抽奖】抽奖	抽奖任务	6	20	200	100	211	-1	20	2	120	4200	0	0	0
60	【美人】亲密	美人任务	7	10	200	100	212	-1	20	2	120	4200	0	0	0
61	【伙伴】吸收	伙伴任务	8	10	200	100	213	-1	20	2	120	4200	0	0	0
