EffectID	Name	Path	DelayTime	IsOnlyDeactive	Type	ParentName	IsFellowOwner	MaxOwnNum	X	Y	Z	RotationX	RotationY	RotationZ	Duration
INT	STRING	STRING	FLOAT	BOOL	BYTE	STRING	BOOL	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT
#预留															
#本行程序不读 动画ID	描述	prefab路径或modelID	特效延迟时间	是否播放完只失效(0销毁，1不销毁只失效）	类型（0-普通 1-人物变身特效 2材质变蓝特效）	绑定GameObjet名称（EffectPoint 通用绑定点 CenterPoint 身体中心点 HeadPoint头 LHandPoint左手 RHandPoint右手 LFootPoint左脚 RFootPoint右脚 ）	是否随拥有者移动	同一特效同时存在的最大数量（99 表示不作限制）	坐标X	坐标Y	坐标Z	旋转坐标X	旋转坐标Y	旋转坐标Z	持续时间 0代表循环
1	少林普攻1特效	Prefab/Effect/shaolin_attack_001	0.15	1	0	EffectPoint	1	-1	-0.044	0.497	4.221	-3.415	280.515	2.658	0.4
2	少林普攻2特效	Prefab/Effect/shaolin_attack_002	0.1	1	0	EffectPoint	1	-1	-0.5	0	-0.8	0	0	0	0.4
3	少林普攻3特效	Prefab/Effect/shaolin_attack_003	0.1	1	0	EffectPoint	1	-1	0.2	0	1.5	0	0	0	1.5
4	少林罗汉棍	Prefab/Effect/shaolin_luohangun_001	0.6	1	0	EffectPoint	0	-1	0	0.2	2.1	0	0	0	1.5
5	少林摩诃无量	Prefab/Effect/shaolin_mohewuliang_001	0	1	0	EffectPoint	1	-1	0	0.6	0	0	0	0	0
6	少林XP起手特效	Prefab/Effect/shaolin_xp_loop_001	0	0	0	EffectPoint	1	-1	0	0.2	0	0	0	0	0
7	少林XP结束特效	Prefab/Effect/shaolin_xp_End_002	1.14	0	0	EffectPoint	0	-1	0	0.2	0	0	0	0	2.2
8	受击特效	Prefab/Effect/shouji_guang_001	0	1	0	CenterPoint	1	1	0	0	0	0	0	0	0.4
9	天山雪特效（废弃）	Prefab/Effect/scene_xue	0	0	0	EffectPoint	1	-1	2.689	-6.268	1.706	0	0	0	0
10	放毒烟特效	Prefab/Effect/scene_shiliduanhun_001	0	0	0	EffectPoint	0	-1	-1.2	0	-0.3	0	0	0	10
11	变身	3	0	0	1	0	1	-1	0	0	0	0	0	0	0
12	逍遥普攻1特效	Prefab/Effect/loli_attack01_001	0.2	1	0	EffectPoint	0	-1	0.61	0.24	0.4	0	292.78	0	0.45
13	逍遥普攻2特效	Prefab/Effect/loli_attack02_002	0	1	0	EffectPoint	0	-1	0.3	0.2	-1	0	0	0	0.7
14	逍遥普攻3特效	Prefab/Effect/loli_attack03_003	0.3	1	0	EffectPoint	0	-1	0	0.1	0	0	0	0	0.8
15	毁天灭地起手特效	Prefab/Effect/loli_skill_xp_loop	0	0	0	EffectPoint	1	-1	0	1.5	0	0	0	0	2.4
16	毁天灭地结束特效	Prefab/Effect/loli_skill_xp_end	0	0	0	EffectPoint	0	-1	0	0.7	0	0	0	0	1.51
