Id	Desc	ModelId	EffectId	Component	SetId	Durable	HP	HP_Per	MP	MP_Per	PhysicsAttack	PhysicsAttack_Per	MagicAttack	MagicAttack_Per	PhysicsDefence	PhysicsDefence_Per	MagicDefence	MagicDefence_Per	AttackSpeed	AttackSpeed_Per	AllAttack	AllAttack_Per	AllDefence	AllDefence_Per	AddAttrType1	AddAttrValue1	AddAttrPer1	AddAttrType2	AddAttrValue2	AddAttrPer2	AddAttrType3	AddAttrValue3	AddAttrPer3	AddAttrType4	AddAttrValue4	AddAttrPer4
INT	STRING	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT
#MAX_ID=99999;MAX_RECORD=10240;TableType=Hash;																																				
#ID	程序不读	模型Id	特效Id	部件	套装ID	耐久度	生命	生命(百分比)	法术	法术(百分比)	物理攻击	物理攻击(百分比)	法术攻击	法术攻击(百分比)	物品防御	物品防御(百分比)	法术防御	法术防御(百分比)	攻速	攻速(百分比)	全攻击	全攻击（百分比）	全防御	全防御（百分比）	附加属性类型1	附加属性值1	附加属性百分比1	附加属性类型2	附加属性值2	附加属性百分比2	附加属性类型3	附加属性值3	附加属性百分比3	附加属性类型4	附加属性值4	附加属性百分比4
1	GM剑	-1	1	1	-1	1	500	0	100	0	50	0	50	0	20	20	20	0	5	0	0	0	0	0	1	10	0.01	2	20	0	3	30	0.01	4	40	0.01
7	GM剑	29	1	1	-1	100	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	0.6	0	0	0	0	0	9	100000	0.01	7	100000	0	3	30	0.01	4	40	0.01
8	GM剑	29	1	1	-1	100	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	0.6	0	0	0	0	0	9	100000	0.01	7	100000	0	3	30	0.01	4	40	0.01
9	GM剑	29	1	1	-1	100	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	0.6	0	0	0	0	0	9	100000	0.01	7	100000	0	3	30	0.01	4	40	0.01
10	GM剑	29	1	1	-1	100	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	0.6	0	0	0	0	0	9	100000	0.01	7	100000	0	3	30	0.01	4	40	0.01
11	GM剑	-1	1	1	-1	100	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	1000000	0	0.6	0	0	0	0	0	9	100000	0.01	7	100000	0	3	30	0.01	4	40	0.01
13	鞋子	-1	1	32	-1	100	0	0	0	0	0	0	0	0	7	7	5	0	0	0	0	0	0	0	121	106	0.01	141	39	0	-1	0	0.01	-1	0	0.01
14	饰品1	-1	1	64	-1	100	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	111	73	0.01	131	78	0	-1	0	0.01	-1	0	0.01
15	饰品2	-1	1	64	-1	100	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	111	73	0.01	131	78	0	-1	0	0.01	-1	0	0.01
18100	新手装少林头部(1)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	35	0	28	0	-1	0	0	0	0	0	-1	0	0	8	12	0	-1	0	0	10	10	0
18200	新手装少林上衣(1)	-1	-1	3	-1	-1	167	0	54	0	0	0	0	0	26	0	21	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	10	0
18300	新手装少林下衣(1)	-1	-1	4	-1	-1	250	0	54	0	0	0	0	0	18	0	14	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	19	0
18400	新手装少林鞋子(1)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	9	0	7	0	-1	0	0	0	0	0	-1	0	0	8	48	0	-1	0	0	10	10	0
18500	新手装少林手腕(1)	-1	-1	5	-1	-1	250	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	48	0
18600	新手装少林武器(1)	-1	-1	1	-1	-1	0	0	0	0	59	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7	19	0	-1	0	0	9	36	0	-1	0	0
18700	新手装少林饰品1(1)	-1	-1	7	-1	-1	0	0	0	0	24	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	38	0	-1	0	0	9	36	0	-1	0	0
18800	新手装少林饰品2(1)	-1	-1	8	-1	-1	83	0	36	0	18	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	19	0	-1	0	0	9	24	0	-1	0	0
19100	新手装天山头部(1)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	30	0	28	0	-1	0	0	0	0	0	-1	0	0	8	17	0	-1	0	0	10	7	0
19200	新手装天山上衣(1)	-1	-1	3	-1	-1	158	0	54	0	0	0	0	0	23	0	21	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	7	0
19300	新手装天山下衣(1)	-1	-1	4	-1	-1	238	0	54	0	0	0	0	0	15	0	14	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	14	0
19400	新手装天山鞋子(1)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	8	0	7	0	-1	0	0	0	0	0	-1	0	0	8	67	0	-1	0	0	10	7	0
19500	新手装天山手腕(1)	-1	-1	5	-1	-1	238	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	36	0
19600	新手装天山武器(1)	-1	-1	1	-1	-1	0	0	0	0	62	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7	19	0	-1	0	0	9	43	0	-1	0	0
19700	新手装天山饰品1(1)	-1	-1	7	-1	-1	0	0	0	0	25	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	38	0	-1	0	0	9	43	0	-1	0	0
19800	新手装天山饰品2(1)	-1	-1	8	-1	-1	79	0	36	0	19	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	19	0	-1	0	0	9	29	0	-1	0	0
20100	新手装逍遥头部(1)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	28	0	30	0	-1	0	0	0	0	0	-1	0	0	8	12	0	-1	0	0	10	7	0
20200	新手装逍遥上衣(1)	-1	-1	3	-1	-1	154	0	54	0	0	0	0	0	21	0	23	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	7	0
