Level	Desc	WhiteExp	GreenExp	BlueExp	PurpleExp	OrangeExp	EnchanceRate	HitRate
INT	STRING	INT	INT	INT	INT	INT	FLOAT	FLOAT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Index;								
#等级	程序不读	白装升级经验	绿装升级经验	蓝装升级经验	紫装升级经验	橙装升级经验	属性提升比例	暴击触发概率（精确到0.0001）
1		3	3	3	3	10	0.0208	0.5
2		124	206	331	537	827	0.0416	0.5
3		140	233	373	606	933	0.0624	0.5
4		157	263	421	684	1051	0.0832	0.5
5		178	297	474	770	1185	0.104	0.5
6		201	334	534	869	1337	0.1248	0.5
7		226	377	603	980	1507	0.1456	0.5
8		255	424	680	1104	1699	0.1664	0.5
9		287	479	766	1245	1916	0.1872	0.5
10		324	540	864	1404	2160	0.208	0.5
11		365	609	974	1583	2435	0.2288	0.5
12		412	687	1099	1785	2746	0.2496	0.5
13		465	774	1238	2013	3096	0.2704	0.5
14		523	872	1396	2269	3491	0.2912	0.5
15		591	984	1575	2558	3936	0.312	0.5
16		665	1110	1775	2884	4438	0.3328	0.5
17		751	1250	2001	3253	5003	0.3536	0.5
18		846	1411	2257	3667	5641	0.3744	0.5
19		954	1590	2544	4134	6361	0.3952	0.5
20		1076	1793	2869	4661	7171	0.416	0.5
21		1213	2021	3234	5256	8086	0.4368	0.5
22		1367	2280	3647	5926	9117	0.4576	0.5
23		1542	2569	4111	6682	10279	0.4784	0.5
24		1738	2898	4636	7533	11590	0.4992	0.5
25		1961	3267	5227	8494	13067	0.52	0.5
26		2210	3683	5894	9577	14734	0.5408	0.5
27		2491	4153	6644	10797	16612	0.5616	0.5
28		2810	4682	7492	12175	18730	0.5824	0.5
29		3168	5280	8447	13726	21118	0.6032	0.5
30		3571	5952	9525	15477	23810	0.624	0.5
31		4027	6712	10738	17450	26846	0.6448	0.5
32		4540	7567	12108	19675	30269	0.6656	0.5
33		5120	8532	13651	22183	34128	0.6864	0.5
34		5771	9620	15392	25012	38479	0.7072	0.5
35		6508	10846	17354	28200	43386	0.728	0.5
36		7338	12230	19566	31796	48916	0.7488	0.5
37		8273	13788	22062	35850	55154	0.7696	0.5
38		9328	15546	24874	40420	62185	0.7904	0.5
39		10517	17529	28045	45574	70114	0.8112	0.5
40		11858	19763	31622	51385	79053	0.832	0.5
41		13369	22283	35653	57936	89133	0.8528	0.5
42		15075	25124	40198	65322	100496	0.8736	0.5
43		16996	28328	45324	73651	113309	0.8944	0.5
44		19164	31938	51102	83042	127756	0.9152	0.5
45		21606	36012	57618	93628	144044	0.936	0.5
46		24362	40602	64964	105566	162410	0.9568	0.5
47		27467	45779	73246	119026	183116	0.9776	0.5
48		30970	51616	82585	134201	206463	0.9984	0.5
49		34918	58196	93115	151311	232786	1.0192	0.5
50		39369	65617	104986	170603	262466	1.04	0.5
51		44390	73982	118372	192354	295929	1.0608	0.5
52		50049	83415	133463	216878	333659	1.0816	0.5
53		56430	94050	150480	244530	376200	1.1024	0.5
54		63624	106041	169666	275707	424164	1.1232	0.5
55		71737	119561	191298	310858	478244	1.144	0.5
56		80883	134804	215687	350492	539218	1.1648	0.5
57		91195	151992	243187	395179	607967	1.1856	0.5
58		102822	171370	274192	445562	685481	1.2064	0.5
59		115931	193220	309151	502371	772878	1.2272	0.5
60		130713	217854	348567	566421	871417	1.25	0.5
