Id	Desc	Name	EquipId1	EquipId2	EquipId3	EquipId4	EffectType1	EffectValue1	EffectType2	EffectValue2	EffectType3	EffectValue3
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=512;MAX_RECORD=512;TableType=Hash;												
#ID	程序不读	套装名	套装装备ID1	套装装备ID2	套装装备ID3	套装装备ID4	2件套效果类型	2件套效果值	3件套效果类型	3件套效果值	4件套效果类型	4件套效果值
1	少林职业紫50级套系1	神兵护法	38105	38205	38305	38405	8	471	1001	207	0	4853
2	少林职业紫50级套系2	神力无穷	38505	38605	38705	-1	9	532	1000	328	-1	-1
3	天山职业紫50级套系1	神兵护法	39105	39205	39305	39405	8	471	1001	207	0	4853
4	天山职业紫50级套系2	神力无穷	39505	39605	39705	-1	9	532	1000	328	-1	-1
5	大理职业紫50级套系1	神兵护法	41105	41205	41305	41405	8	471	1001	207	0	4853
6	大理职业紫50级套系2	神力无穷	41505	41605	41705	-1	9	532	1000	328	-1	-1
7	逍遥职业紫50级套系1	神兵护法	40105	40205	40305	40405	8	471	1001	207	0	4853
8	逍遥职业紫50级套系2	神力无穷	40505	40605	40705	-1	9	532	1000	328	-1	-1
9	少林职业紫60级套系1	神兵护法	38106	38206	38306	38406	8	557	1001	243	0	5775
10	少林职业紫60级套系2	神力无穷	38506	38606	38706	-1	9	628	1000	385	-1	-1
11	天山职业紫60级套系1	神兵护法	39106	39206	39306	39406	8	557	1001	243	0	5775
12	天山职业紫60级套系2	神力无穷	39506	39606	39706	-1	9	628	1000	385	-1	-1
13	大理职业紫60级套系1	神兵护法	41106	41206	41306	41406	8	557	1001	243	0	5775
14	大理职业紫60级套系2	神力无穷	41506	41606	41706	-1	9	628	1000	385	-1	-1
15	逍遥职业紫60级套系1	神兵护法	40106	40206	40306	40406	8	557	1001	243	0	5775
16	逍遥职业紫60级套系2	神力无穷	40506	40606	40706	-1	9	628	1000	385	-1	-1
17	少林职业紫70级套系1	神兵护法	38107	38207	38307	38407	8	643	1001	279	0	6696
18	少林职业紫70级套系2	神力无穷	38507	38607	38707	-1	9	724	1000	441	-1	-1
19	天山职业紫70级套系1	神兵护法	39107	39207	39307	39407	8	643	1001	279	0	6696
20	天山职业紫70级套系2	神力无穷	39507	39607	39707	-1	9	724	1000	441	-1	-1
21	大理职业紫70级套系1	神兵护法	41107	41207	41307	41407	8	643	1001	279	0	6696
22	大理职业紫70级套系2	神力无穷	41507	41607	41707	-1	9	724	1000	441	-1	-1
23	逍遥职业紫70级套系1	神兵护法	40107	40207	40307	40407	8	643	1001	279	0	6696
24	逍遥职业紫70级套系2	神力无穷	40507	40607	40707	-1	9	724	1000	441	-1	-1
25	少林职业紫80级套系1	神兵护法	38108	38208	38308	38408	8	729	1001	315	0	7618
26	少林职业紫80级套系2	神力无穷	38508	38608	38708	-1	9	821	1000	497	-1	-1
27	天山职业紫80级套系1	神兵护法	39108	39208	39308	39408	8	729	1001	315	0	7618
28	天山职业紫80级套系2	神力无穷	39508	39608	39708	-1	9	821	1000	497	-1	-1
29	大理职业紫80级套系1	神兵护法	41108	41208	41308	41408	8	729	1001	315	0	7618
30	大理职业紫80级套系2	神力无穷	41508	41608	41708	-1	9	821	1000	497	-1	-1
31	逍遥职业紫80级套系1	神兵护法	40108	40208	40308	40408	8	729	1001	315	0	7618
32	逍遥职业紫80级套系2	神力无穷	40508	40608	40708	-1	9	821	1000	497	-1	-1
