Id	Desc	StarLevel	MinTimes	MaxTimes	SuccessRate
INT	STRING	INT	INT	INT	FLOAT
#MAX_ID=512;MAX_RECORD=512;TableType=Index;					
#ID	程序不读	星级	最小次数	最大次数	成功概率
1		1	0	0	1
2		2	0	0	1
3		3	0	0	1
4		4	0	0	1
5		5	0	0	1
6		6	0	1	0.5
7		6	2	2	1
8		7	0	1	0.5
9		7	2	2	1
10		8	0	1	0.5
11		8	2	2	1
12		9	0	1	0.5
13		9	2	2	1
14		10	0	1	0.5
15		10	2	2	1
16		11	0	0	0.3
17		11	1	3	0.5
18		11	4	4	1
19		12	0	0	0.3
20		12	1	3	0.5
21		12	4	4	1
22		13	0	0	0.3
23		13	1	3	0.5
24		13	4	4	1
25		14	0	0	0.3
26		14	1	3	0.5
27		14	4	4	1
28		15	0	0	0.3
29		15	1	3	0.5
30		15	4	4	1
31		16	0	0	0.2
32		16	1	3	0.35
33		16	4	4	1
34		17	0	0	0.2
35		17	1	3	0.35
36		17	4	4	1
37		18	0	0	0.2
38		18	1	3	0.35
39		18	4	4	1
40		19	0	0	0.2
41		19	1	3	0.35
42		19	4	4	1
43		20	0	0	0.2
44		20	1	3	0.35
45		20	4	4	1
46		21	0	0	0.1
47		21	1	3	0.2
48		21	4	5	0.5
49		21	6	6	1
50		22	0	0	0.1
51		22	1	3	0.2
52		22	4	5	0.5
53		22	6	6	1
54		23	0	0	0.1
55		23	1	3	0.2
56		23	4	5	0.5
57		23	6	6	1
58		24	0	0	0.1
59		24	1	3	0.2
60		24	4	5	0.5
61		24	6	6	1
62		25	0	0	0.1
63		25	1	3	0.2
64		25	4	5	0.5
65		25	6	6	1
66		26	0	0	0.05
67		26	1	3	0.1
68		26	4	8	0.3
69		26	9	9	1
70		27	0	0	0.05
71		27	1	3	0.1
72		27	4	8	0.3
73		27	9	9	1
74		28	0	0	0.05
75		28	1	3	0.1
76		28	4	8	0.3
77		28	9	9	1
78		29	0	0	0.05
79		29	1	3	0.1
80		29	4	8	0.3
81		29	9	9	1
82		30	0	0	0.05
83		30	1	3	0.1
84		30	4	8	0.3
85		30	9	9	1
86		31	0	0	0.03
87		31	1	2	0.05
88		31	3	10	0.35
89		31	11	11	1
90		32	0	0	0.03
91		32	1	2	0.05
92		32	3	10	0.35
93		32	11	11	1
94		33	0	0	0.03
95		33	1	2	0.05
96		33	3	10	0.35
97		33	11	11	1
98		34	0	0	0.03
99		34	1	2	0.05
100		34	3	10	0.35
101		34	11	11	1
102		35	0	0	0.03
103		35	1	2	0.05
104		35	3	10	0.35
105		35	11	11	1
106		36	0	0	0.02
107		36	1	3	0.05
108		36	4	11	0.25
109		36	12	12	1
110		37	0	0	0.02
111		37	1	3	0.05
112		37	4	11	0.25
113		37	12	12	1
114		38	0	0	0.02
115		38	1	3	0.05
116		38	4	11	0.25
117		38	12	12	1
118		39	0	0	0.02
119		39	1	3	0.05
120		39	4	11	0.25
121		39	12	12	1
122		40	0	0	0.02
123		40	1	3	0.05
124		40	4	11	0.25
125		40	12	12	1
126		41	0	0	0.015
127		41	1	5	0.035
128		41	6	13	0.22
129		41	14	14	1
130		42	0	0	0.015
131		42	1	5	0.035
132		42	6	13	0.22
133		42	14	14	1
134		43	0	0	0.015
135		43	1	5	0.035
136		43	6	13	0.22
137		43	14	14	1
138		44	0	0	0.015
139		44	1	5	0.035
140		44	6	13	0.22
141		44	14	14	1
142		45	0	0	0.015
143		45	1	5	0.035
144		45	6	13	0.22
145		45	14	14	1
146		46	0	0	0.01
147		46	1	6	0.03
148		46	7	14	0.2
149		46	15	15	1
150		47	0	0	0.01
151		47	1	6	0.03
152		47	7	14	0.2
153		47	15	15	1
154		48	0	0	0.01
155		48	1	6	0.03
156		48	7	14	0.2
157		48	15	15	1
158		49	0	0	0.01
159		49	1	6	0.03
160		49	7	14	0.2
161		49	15	15	1
162		50	0	0	0.01
163		50	1	6	0.03
164		50	7	14	0.2
165		50	15	15	1
166		51	0	0	0.005
167		51	1	6	0.02
168		51	7	14	0.1
169		51	15	19	0.25
170		51	20	20	1
171		52	0	0	0.005
172		52	1	6	0.02
173		52	7	14	0.1
174		52	15	19	0.25
175		52	20	20	1
176		53	0	0	0.005
177		53	1	6	0.02
178		53	7	14	0.1
179		53	15	19	0.25
180		53	20	20	1
181		54	0	0	0.005
182		54	1	6	0.02
183		54	7	14	0.1
184		54	15	19	0.25
185		54	20	20	1
186		55	0	0	0.005
187		55	1	6	0.02
188		55	7	14	0.1
189		55	15	19	0.25
190		55	20	20	1
191		56	0	1	0.001
192		56	2	9	0.01
193		56	10	17	0.08
194		56	18	23	0.25
195		56	24	24	1
196		57	0	1	0.001
197		57	2	9	0.01
198		57	10	17	0.08
199		57	18	23	0.25
200		57	24	24	1
201		58	0	1	0.001
202		58	2	9	0.01
203		58	10	17	0.08
204		58	18	23	0.25
205		58	24	24	1
206		59	0	1	0.001
207		59	2	9	0.01
208		59	10	17	0.08
209		59	18	23	0.25
210		59	24	24	1
211		60	0	4	0
212		60	5	12	0.003
213		60	13	22	0.05
214		60	23	29	0.3
215		60	30	30	1
