Id	Desc	FakeObjModel	AnimPath	XOffSet	YOffSet	ZOffset	XRotation	YRotation	ZRotation	IsPlayer
INT	STRING	STRING	STRING	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT
#										
#ID	名称	模型路径	动作路径	X方向偏移	Y方向偏移	Z方向偏移	X方向旋转	Y方向旋转	Z方向旋转	是否是玩家
0	白马	Qicheng_001_baima_001		0	-2.8	0	355	288	0	0
1	红马	Qicheng_001_baima_002		0	-2.8	0	355	288	0	0
2	狼	Monster_001_zonglang_001	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	335	0	0
3	背包_少林	ShaoLin_XSZ	Animation/Player/Shaolin_001	0.25	-2.7	0	4.46	321.8	357.41	1
4	背包_天山	Tianshan_XSZ	Animation/Player/Tianshan_001	0.39	-2.6	0	4.46	321.8	357.41	1
5	背包_逍遥	XiaoYao_XSZ	Animation/Player/Xiaoyao_001	0.24	-2.6	0	4.46	321.8	357.41	1
6	背包_大理	DaLi_XSZ	Animation/Player/Dali_001	0.27	-2.6	0	4.46	321.8	357.41	1
7	人物_少林	ShaoLin_XSZ	Animation/Player/Shaolin_001	0.25	-2.7	0	4.46	321.8	357.41	1
8	人物_天山	Tianshan_XSZ	Animation/Player/Tianshan_001	0.39	-2.6	0	4.46	321.8	357.41	1
9	人物_逍遥	XiaoYao_XSZ	Animation/Player/Xiaoyao_001	0.24	-2.6	0	4.46	321.8	357.41	1
10	人物_大理	DaLi_XSZ	Animation/Player/Dali_001	0.27	-2.6	0	4.46	321.8	357.41	1
11	狼	Monster_001_zonglang_002	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	300	0	0
12	进化狼	Monster_002_zonglang_001	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	300	0	0
13	豹	Npc_001_baozi_002	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	300	0	0
14	进化豹	Npc_001_baozi_003	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	300	0	0
15	虎	Npc_001_hu_001	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	300	0	0
16	进化虎	Npc_001_hu_002	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	300	0	0
17	狮	Npc_001_shizi_002	Animation/NPC/Animal/Tiger	0.17	-2.2	-0.37	0	300	0	0
