Id	Desc	Name	Icon	ModelId	FakeObjId	ClassId	CallLevel	AttackType	FirstSkillId	Attack	Hit	Critical	Guard	Bless	AttackAdd_White	AttackAdd_Green	AttackAdd_Blue	AttackAdd_Purple	AttackAdd_Orange	HitAdd_White	HitAdd_Green	HitAdd_Blue	HitAdd_Purple	HitAdd_Orange	CriticalAdd_White	CriticalAdd_Green	CriticalAdd_Blue	CriticalAdd_Purple	CriticalAdd_Orange	GuardAdd_White	GuardAdd_Green	GuardAdd_Blue	GuardAdd_Purple	GuardAdd_Orange	BlessAdd_White	BlessAdd_Green	BlessAdd_Blue	BlessAdd_Purple	BlessAdd_Orange	ZzAttack_White	ZzHit_White	ZzCritical_White	ZzGuard_White	ZzBless_White	ZzAttack_Green	ZzHit_Green	ZzCritical_Green	ZzGuard_Green	ZzBless_Green	ZzAttack_Blue	ZzHit_Blue	ZzCritical_Blue	ZzGuard_Blue	ZzBless_Blue	ZzAttack_Purple	ZzHit_Purple	ZzCritical_Purple	ZzGuard_Purple	ZzBless_Purple	ZzAttack_Orange	ZzHit_Orange	ZzCritical_Orange	ZzGuard_Orange	ZzBless_Orange	MaxStarLevel_White	MaxStarLevel_Green	MaxStarLevel_Blue	MaxStarLevel_Purple	MaxStarLevel_Orange	ZzPoint_White	ZzPoint_Green	ZzPoint_Blue	ZzPoint_Purple	ZzPoint_Orange
INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=40960;MAX_RECORD=8192;TableType=Hash;																																																																										
#ID	程序不读	名称	头像	模型(CharModel.txt)	UI预览(FakeObject.txt)	种类ID	出战等级	攻击类型	普攻技能id	初始攻击	初始命中	初始暴击	初始守护	初始加持	白色攻击升级增量	绿色攻击升级增量	蓝色攻击升级增量	紫色攻击升级增量	橙色攻击升级增量	白色命中升级增量	绿色命中升级增量	蓝色命中升级增量	紫色命中升级增量	橙色命中升级增量	白色暴击升级增量	绿色暴击升级增量	蓝色暴击升级增量	紫色暴击升级增量	橙色暴击升级增量	白色守护升级增量	绿色守护升级增量	蓝色守护升级增量	紫色守护升级增量	橙色守护升级增量	白色加持升级增量	绿色加持升级增量	蓝色加持升级增量	紫色加持升级增量	橙色加持升级增量	白色初始攻击资质	白色初始命中资质	白色初始暴击资质	白色初始守护资质	白色初始加持资质	绿色初始攻击资质	绿色初始命中资质	绿色初始暴击资质	绿色初始守护资质	绿色初始加持资质	蓝色初始攻击资质	蓝色初始命中资质	蓝色初始暴击资质	蓝色初始守护资质	蓝色初始加持资质	紫色初始攻击资质	紫色初始命中资质	紫色初始暴击资质	紫色初始守护资质	紫色初始加持资质	橙色初始攻击资质	橙色初始命中资质	橙色初始暴击资质	橙色初始守护资质	橙色初始加持资质	白色星级上限	绿色星级上限	蓝色星级上限	紫色星级上限	橙色星级上限	白色包含资质点	绿色包含资质点	蓝色包含资质点	紫色包含资质点	橙色包含资质点
0	测试用	测试用	UI_pet_lang01_p	58	2	1	1	1	50001	100	6780	1875	185	200	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	4	4	4	4	4	0	0	0	0	0	100	100	100	100	100	200	200	200	200	200	300	300	300	300	300	400	400	400	400	400	3	5	7	8	9	1	1	1	1	1
1	狼	狼	lang	207	11	1	5	1	50001	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	4	2	4	0	0	9	3	8	0	0	23	7	27	0	0	50	20	60	0	0	1	2	4	6	8	1	1	1	1	1
2	进化狼	进化狼	jinhualang	208	12	1	15	1	50001	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	6	3	6	0	0	12	4	12	0	0	28	11	34	0	0	60	23	72	0	0	2	3	5	7	9	1	1	1	1	1
3	豹	豹	bao	209	13	1	25	1	50001	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	8	4	8	0	0	15	6	16	0	0	33	15	41	0	0	70	26	84	0	0	2	3	5	7	9	1	1	1	1	1
4	进化豹	进化豹	jinhuabao	210	14	1	35	1	50001	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	10	5	10	0	0	18	7	20	0	0	38	19	48	0	0	80	29	96	0	0	3	4	6	8	10	1	1	1	1	1
5	虎	虎	hu	211	15	1	45	1	50001	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	12	6	12	0	0	21	9	24	0	0	43	23	55	0	0	90	32	108	0	0	3	4	6	8	10	1	1	1	1	1
6	进化虎	进化虎	jinhuahu	212	16	1	55	1	50001	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	14	7	14	0	0	24	10	28	0	0	48	27	62	0	0	100	35	120	0	0	4	5	7	9	11	1	1	1	1	1
