Id	Desc	FellowId	Quality	NormalWeight10	NormalWeight20	NormalWeight30	NormalWeight40	NormalWeight50	NormalWeight60	NormalWeight70	NormalWeight80	NormalWeight90	NormalWeight100	YuanBaoWeight10	YuanBaoWeight20	YuanBaoWeight30	YuanBaoWeight40	YuanBaoWeight50	YuanBaoWeight60	YuanBaoWeight70	YuanBaoWeight80	YuanBaoWeight90	YuanBaoWeight100
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=256;MAX_RECORD=256;TableType=Hash;																							
#ID	程序不读	伙伴Id	品质（0-4)(白-橙）	普通抽取权重(玩家1-10级)	普通抽取权重(玩家10-20级)	普通抽取权重(玩家20-30级)	普通抽取权重(玩家30-40级)	普通抽取权重(玩家40-50级)	普通抽取权重(玩家50-60级)	普通抽取权重(玩家60-70级)	普通抽取权重(玩家70-80级)	普通抽取权重(玩家80-90级)	普通抽取权重(玩家90-100级)	元宝抽取权重(玩家1-10级)	元宝抽取权重(玩家10-20级)	元宝抽取权重(玩家20-30级)	元宝抽取权重(玩家30-40级)	元宝抽取权重(玩家40-50级)	元宝抽取权重(玩家50-60级)	元宝抽取权重(玩家60-70级)	元宝抽取权重(玩家70-80级)	元宝抽取权重(玩家80-90级)	元宝抽取权重(玩家90-100级)
1	狼	1	0	102060	102060	102060	102060	102060	102060	102060	102060	102060	102060	0	0	0	0	0	0	0	0	0	0
2	狼	1	1	2900	2900	2900	2900	2900	2900	2900	2900	2900	2900	0	0	0	0	0	0	0	0	0	0
3	狼	1	2	1607	1607	1607	1607	1607	1607	1607	1607	1607	1607	8035	8035	8035	8035	8035	8035	8035	8035	8035	8035
4	狼	1	3	738	738	738	738	738	738	738	738	738	738	2214	2214	2214	2214	2214	2214	2214	2214	2214	2214
5	狼	1	4	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418
6	进化狼	2	0	68040	68040	68040	68040	68040	68040	68040	68040	68040	68040	0	0	0	0	0	0	0	0	0	0
7	进化狼	2	1	1934	1934	1934	1934	1934	1934	1934	1934	1934	1934	0	0	0	0	0	0	0	0	0	0
8	进化狼	2	2	1071	1071	1071	1071	1071	1071	1071	1071	1071	1071	0	5355	5355	5355	5355	5355	5355	5355	5355	5355
9	进化狼	2	3	492	492	492	492	492	492	492	492	492	492	0	1476	1476	1476	1476	1476	1476	1476	1476	1476
10	进化狼	2	4	279	279	279	279	279	279	279	279	279	279	0	279	279	279	279	279	279	279	279	279
11	豹	3	0	51030	51030	51030	51030	51030	51030	51030	51030	51030	51030	0	0	0	0	0	0	0	0	0	0
12	豹	3	1	1450	1450	1450	1450	1450	1450	1450	1450	1450	1450	0	0	0	0	0	0	0	0	0	0
13	豹	3	2	804	804	804	804	804	804	804	804	804	804	0	0	4020	4020	4020	4020	4020	4020	4020	4020
14	豹	3	3	369	369	369	369	369	369	369	369	369	369	0	0	1107	1107	1107	1107	1107	1107	1107	1107
15	豹	3	4	209	209	209	209	209	209	209	209	209	209	0	0	209	209	209	209	209	209	209	209
16	进化豹	4	0	0	40824	40824	40824	40824	40824	40824	40824	40824	40824	0	0	0	0	0	0	0	0	0	0
17	进化豹	4	1	0	1160	1160	1160	1160	1160	1160	1160	1160	1160	0	0	0	0	0	0	0	0	0	0
18	进化豹	4	2	0	643	643	643	643	643	643	643	643	643	0	0	0	3215	3215	3215	3215	3215	3215	3215
19	进化豹	4	3	0	295	295	295	295	295	295	295	295	295	0	0	0	885	885	885	885	885	885	885
