Id	Desc	SkillClass	Type	BaseSkill	Quality	Level	NextSkillId	LevelupConsumeType	LevelupConsumeSubType	LevelupConsumeNum	ActiveConsumeType	ActiveConsumeSubType	ActiveConsumeNum
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=256;MAX_RECORD=256;TableType=Hash;													
#技能ID	程序不读	技能需求类型（1动物 2人）	技能分类（1攻击类 2辅助 3防御 4加持）	一级技能ID	技能品质（0白色 1绿色 2蓝色 3紫色 4橙色）	技能级别（1-5）	下一级技能	升级消耗类型	升级消耗子类型	升级消耗数量	激活消耗类型	激活消耗子类型	激活消耗数量
50100	爪击1级	1	1	50100	0	1	50101	5	4500	5	5	4500	1
50101	爪击2级	1	1	50100	0	2	50102	5	4500	10	-1	-1	-1
50102	爪击3级	1	1	50100	0	3	50103	5	4500	30	-1	-1	-1
50103	爪击4级	1	1	50100	0	4	50104	5	4500	50	-1	-1	-1
50104	爪击5级	1	1	50100	0	5	-1	-1	-1	-1	-1	-1	-1
50200	淬毒1级	1	1	50200	0	1	50201	5	4501	5	5	4501	1
50201	淬毒2级	1	1	50200	0	2	50202	5	4501	10	-1	-1	-1
50202	淬毒3级	1	1	50200	0	3	50203	5	4501	30	-1	-1	-1
50203	淬毒4级	1	1	50200	0	4	50204	5	4501	50	-1	-1	-1
50204	淬毒5级	1	1	50200	0	5	-1	-1	-1	-1	-1	-1	-1
50300	削铁1级	1	1	50300	0	1	50301	5	4502	5	5	4502	1
50301	削铁2级	1	1	50300	0	2	50302	5	4502	10	-1	-1	-1
50302	削铁3级	1	1	50300	0	3	50303	5	4502	30	-1	-1	-1
50303	削铁4级	1	1	50300	0	4	50304	5	4502	50	-1	-1	-1
50304	削铁5级	1	1	50300	0	5	-1	-1	-1	-1	-1	-1	-1
50400	横扫1级	1	2	50400	1	1	50401	5	4503	5	5	4503	1
50401	横扫2级	1	2	50400	1	2	50402	5	4503	10	-1	-1	-1
50402	横扫3级	1	2	50400	1	3	50403	5	4503	30	-1	-1	-1
50403	横扫4级	1	2	50400	1	4	50404	5	4503	50	-1	-1	-1
50404	横扫5级	1	2	50400	1	5	-1	-1	-1	-1	-1	-1	-1
50500	阳炎1级	1	2	50500	1	1	50501	5	4504	5	5	4504	1
50501	阳炎2级	1	2	50500	1	2	50502	5	4504	10	-1	-1	-1
50502	阳炎3级	1	2	50500	1	3	50503	5	4504	30	-1	-1	-1
50503	阳炎4级	1	2	50500	1	4	50504	5	4504	50	-1	-1	-1
50504	阳炎5级	1	2	50500	1	5	-1	-1	-1	-1	-1	-1	-1
50600	咆哮1级	1	3	50600	2	1	50601	5	4505	5	5	4505	1
50601	咆哮2级	1	3	50600	2	2	50602	5	4505	10	-1	-1	-1
50602	咆哮3级	1	3	50600	2	3	50603	5	4505	30	-1	-1	-1
50603	咆哮4级	1	3	50600	2	4	50604	5	4505	50	-1	-1	-1
50604	咆哮5级	1	3	50600	2	5	-1	-1	-1	-1	-1	-1	-1
