Id	Desc	ConsumeType	ConsumeSubType	ConsumeNum	AttackZzMax_White	AttackZzMax_Green	AttackZzMax_Blue	AttackZzMax_Purple	AttackZzMax_Orange	HitZzMax_White	HitZzMax_Green	HitZzMax_Blue	HitZzMax_Purple	HitZzMax_Orange	CriticalZzMax_White	CriticalZzMax_Green	CriticalZzMax_Blue	CriticalZzMax_Purple	CriticalZzMax_Orange	GuardZzMax_White	GuardZzMax_Green	GuardZzMax_Blue	GuardZzMax_Purple	GuardZzMax_Orange	BlessZzMax_White	BlessZzMax_Green	BlessZzMax_Blue	BlessZzMax_Purple	BlessZzMax_Orange
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=256;MAX_RECORD=256;TableType=Hash;																													
#星级	程序不读	升星消耗类型	升星消耗子类型	升星消耗消耗数量	攻击资质上限(白色品质)	攻击资质上限(绿色品质)	攻击资质上限（蓝色品质）	攻击资质上限（紫色品质）	攻击资质上限（橙色品质）	命中资质上限（白色品质）	命中资质上限（绿色品质）	命中资质上限（蓝色品质）	命中资质上限（紫色品质）	命中资质上限（橙色品质）	暴击资质上限(白色品质)	暴击资质上限（绿色）	暴击资质上限（蓝色）	暴击资质上限（紫色）	暴击资质上限（橙色）	守护资质上限(白色品质)	守护资质上限(绿色品质)	守护资质上限（蓝色品质）	守护资质上限（紫色品质）	守护资质上限（橙色品质）	加持资质上限(白色品质)	加持资质上限（绿色品质）	加持资质上限（蓝色品质）	加持资质上限（紫色品质）	加持资质上限（橙色品质）
0	0星	5	4600	10	150	200	300	500	700	150	200	300	500	700	150	200	300	500	700	150	200	300	500	700	150	200	300	500	700
1	1星	5	4600	20	250	300	400	600	800	250	300	400	600	800	250	300	400	600	800	250	300	400	600	800	250	300	400	600	800
2	2星	5	4600	50	400	450	550	750	950	400	450	550	750	950	400	450	550	750	950	400	450	550	750	950	400	450	550	750	950
3	3星	5	4600	80	650	700	800	1000	1200	650	700	800	1000	1200	650	700	800	1000	1200	650	700	800	1000	1200	650	700	800	1000	1200
4	4星	5	4600	120	950	1000	1100	1300	1500	950	1000	1100	1300	1500	950	1000	1100	1300	1500	950	1000	1100	1300	1500	950	1000	1100	1300	1500
5	5星	5	4600	160	1250	1300	1400	1600	1800	1250	1300	1400	1600	1800	1250	1300	1400	1600	1800	1250	1300	1400	1600	1800	1250	1300	1400	1600	1800
6	6星	5	4600	200	1550	1600	1700	1900	2100	1550	1600	1700	1900	2100	1550	1600	1700	1900	2100	1550	1600	1700	1900	2100	1550	1600	1700	1900	2100
7	7星	5	4600	260	1850	2400	2000	2200	2400	1850	2400	2000	2200	2400	1850	2400	2000	2200	2400	1850	2400	2000	2200	2400	1850	2400	2000	2200	2400
8	8星	5	4600	320	2150	2700	2300	2500	2700	2150	2700	2300	2500	2700	2150	2700	2300	2500	2700	2150	2700	2300	2500	2700	2150	2700	2300	2500	2700
9	9星	5	4600	580	2450	3000	2600	2800	3000	2450	3000	2600	2800	3000	2450	3000	2600	2800	3000	2450	3000	2600	2800	3000	2450	3000	2600	2800	3000
10	10星	5	4600	700	2750	3300	2900	3300	3500	2750	3300	2900	3300	3500	2750	3300	2900	3300	3500	2750	3300	2900	3300	3500	2750	3300	2900	3300	3500
11	11星	5	4600	1500	3050	3600	3200	3800	4000	3050	3600	3200	3800	4000	3050	3600	3200	3800	4000	3050	3600	3200	3800	4000	3050	3600	3200	3800	4000
12	12星	-1	4600	1500	3350	3900	3500	4300	5000	3350	3900	3500	4300	5000	3350	3900	3500	4300	5000	3350	3900	3500	4300	5000	3350	3900	3500	4300	5000
