Id	Desc	Name	Level	BaseClass	AttrClass	MaxHP	MaxMP	PysAttack	MagAttack	PysDef	MagDef	Hit	Dodge	Critical	Decritical	Strike	Ductical	CritiAdd	CritiMis	EffectID
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=10240;TableType=Hash;																				
#ID	程序不读	宝石名称	等级	攻防类型（1攻击 2防御）	属性类型（1血宝石 2法术宝石 3物攻宝石 4法攻宝石 5物防宝石 6法防宝石 7命中宝石 8闪避宝石 9暴击宝石 10暴抗宝石 11穿透宝石 12韧性宝石 13暴击伤害加成宝石 14暴击伤害减免宝石）	血上限	蓝上限	物理攻击	法术攻击	物理防御	法术防御	命中	闪避	暴击	暴击抗性	穿透	韧性	暴击伤害加成	暴击伤害减免	特效ID
8001		1级生命宝石	1	2	1	2217	0	0	0	0	0	0	0	0	0	0	0	0	0	105
8002		2级生命宝石	2	2	1	3768	0	0	0	0	0	0	0	0	0	0	0	0	0	105
8003		3级生命宝石	3	2	1	7257	0	0	0	0	0	0	0	0	0	0	0	0	0	106
8004		4级生命宝石	4	2	1	12261	0	0	0	0	0	0	0	0	0	0	0	0	0	106
8005		5级生命宝石	5	2	1	18597	0	0	0	0	0	0	0	0	0	0	0	0	0	106
8006		6级生命宝石	6	2	1	26154	0	0	0	0	0	0	0	0	0	0	0	0	0	107
8007		7级生命宝石	7	2	1	34851	0	0	0	0	0	0	0	0	0	0	0	0	0	107
8008		8级生命宝石	8	2	1	44631	0	0	0	0	0	0	0	0	0	0	0	0	0	107
8009		9级生命宝石	9	2	1	55440	0	0	0	0	0	0	0	0	0	0	0	0	0	108
8010		10级生命宝石	10	2	1	134475	0	0	0	0	0	0	0	0	0	0	0	0	0	108
8011		11级生命宝石	11	2	1	239976	0	0	0	0	0	0	0	0	0	0	0	0	0	108
8012		12级生命宝石	12	2	1	374691	0	0	0	0	0	0	0	0	0	0	0	0	0	108
8201		1级法力宝石	1	1	2	0	135	0	0	0	0	0	0	0	0	0	0	0	0	109
8202		2级法力宝石	2	1	2	0	231	0	0	0	0	0	0	0	0	0	0	0	0	109
8203		3级法力宝石	3	1	2	0	447	0	0	0	0	0	0	0	0	0	0	0	0	110
8204		4级法力宝石	4	1	2	0	756	0	0	0	0	0	0	0	0	0	0	0	0	110
8205		5级法力宝石	5	1	2	0	1146	0	0	0	0	0	0	0	0	0	0	0	0	110
8206		6级法力宝石	6	1	2	0	1611	0	0	0	0	0	0	0	0	0	0	0	0	111
8207		7级法力宝石	7	1	2	0	2148	0	0	0	0	0	0	0	0	0	0	0	0	111
8208		8级法力宝石	8	1	2	0	2751	0	0	0	0	0	0	0	0	0	0	0	0	111
8209		9级法力宝石	9	1	2	0	3420	0	0	0	0	0	0	0	0	0	0	0	0	112
8210		10级法力宝石	10	1	2	0	8295	0	0	0	0	0	0	0	0	0	0	0	0	112
8211		11级法力宝石	11	1	2	0	14802	0	0	0	0	0	0	0	0	0	0	0	0	112
8212		12级法力宝石	12	1	2	0	23112	0	0	0	0	0	0	0	0	0	0	0	0	112
8301		1级外功宝石	1	1	3	0	0	141	0	0	0	0	0	0	0	0	0	0	0	117
8302		2级外功宝石	2	1	3	0	0	243	0	0	0	0	0	0	0	0	0	0	0	117
8303		3级外功宝石	3	1	3	0	0	468	0	0	0	0	0	0	0	0	0	0	0	118
8304		4级外功宝石	4	1	3	0	0	789	0	0	0	0	0	0	0	0	0	0	0	118
8305		5级外功宝石	5	1	3	0	0	1197	0	0	0	0	0	0	0	0	0	0	0	118
8306		6级外功宝石	6	1	3	0	0	1686	0	0	0	0	0	0	0	0	0	0	0	119
8307		7级外功宝石	7	1	3	0	0	2247	0	0	0	0	0	0	0	0	0	0	0	119
8308		8级外功宝石	8	1	3	0	0	2877	0	0	0	0	0	0	0	0	0	0	0	119
8309		9级外功宝石	9	1	3	0	0	3576	0	0	0	0	0	0	0	0	0	0	0	120
8310		10级外功宝石	10	1	3	0	0	8673	0	0	0	0	0	0	0	0	0	0	0	120
8311		11级外功宝石	11	1	3	0	0	15477	0	0	0	0	0	0	0	0	0	0	0	151
8312		12级外功宝石	12	1	3	0	0	24168	0	0	0	0	0	0	0	0	0	0	0	152
8401		1级内功宝石	1	1	4	0	0	0	141	0	0	0	0	0	0	0	0	0	0	109
8402		2级内功宝石	2	1	4	0	0	0	243	0	0	0	0	0	0	0	0	0	0	109
8403		3级内功宝石	3	1	4	0	0	0	468	0	0	0	0	0	0	0	0	0	0	110
8404		4级内功宝石	4	1	4	0	0	0	789	0	0	0	0	0	0	0	0	0	0	110
8405		5级内功宝石	5	1	4	0	0	0	1197	0	0	0	0	0	0	0	0	0	0	110
8406		6级内功宝石	6	1	4	0	0	0	1686	0	0	0	0	0	0	0	0	0	0	111
8407		7级内功宝石	7	1	4	0	0	0	2247	0	0	0	0	0	0	0	0	0	0	111
8408		8级内功宝石	8	1	4	0	0	0	2877	0	0	0	0	0	0	0	0	0	0	111
8409		9级内功宝石	9	1	4	0	0	0	3576	0	0	0	0	0	0	0	0	0	0	112
8410		10级内功宝石	10	1	4	0	0	0	8673	0	0	0	0	0	0	0	0	0	0	112
8411		11级内功宝石	11	1	4	0	0	0	15477	0	0	0	0	0	0	0	0	0	0	147
8412		12级内功宝石	12	1	4	0	0	0	24168	0	0	0	0	0	0	0	0	0	0	148
8501		1级外防宝石	1	2	5	0	0	0	0	141	0	0	0	0	0	0	0	0	0	117
