Id	Desc	GuildCombat	BossID
INT	STRING	INT	INT
#MAX_ID=49;MAX_RECORD=50;TableType=Index;			
#ID(索引不可跳跃)	策划维护(随机坐标点)	帮会战力下限	Boss的DataID
1	Boss1	530000	912
2	Boss2	860000	913
3	Boss3	1200000	914
4	Boss4	1540000	915
5	Boss5	1870000	916
6	Boss6	2210000	917
7	Boss7	2550000	918
8	Boss8	2890000	919
9	Boss9	3860000	920
10	Boss10	4130000	921
11	Boss11	4830000	922
12	Boss12	5500000	923
13	Boss13	5790000	924
14	Boss14	6760000	925
15	Boss15	7330000	926
16	Boss16	7730000	927
17	Boss17	8260000	928
18	Boss18	8690000	929
19	Boss19	9170000	930
20	Boss20	9630000	931
21	Boss21	9760000	932
