Index	Desc	LevelMax1	RewardId1	LevelMax2	RewardId2	LevelMax3	RewardId3	LevelMax4	RewardId4	LevelMax5	RewardId5	LevelMax6	RewardId6	LevelMax7	RewardId7	LevelMax8	RewardId8	Reputation
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Hash;																		
#排名		等级段	奖励	等级段	奖励	等级段	奖励	等级段	奖励	等级段	奖励	等级段	奖励	等级段	奖励	等级段	奖励	声望
1		39	1	49	2	59	3	69	4	79	5	89	6	99	7	109	8	900
2		39	9	49	10	59	11	69	12	79	13	89	14	99	15	109	16	880
3		39	17	49	18	59	19	69	20	79	21	89	22	99	23	109	24	860
4		39	25	49	26	59	27	69	28	79	29	89	30	99	31	109	32	840
5		39	33	49	34	59	35	69	36	79	37	89	38	99	39	109	40	820
6		39	33	49	34	59	35	69	36	79	37	89	38	99	39	109	40	800
7		39	33	49	34	59	35	69	36	79	37	89	38	99	39	109	40	780
8		39	33	49	34	59	35	69	36	79	37	89	38	99	39	109	40	760
9		39	41	49	42	59	43	69	44	79	45	89	46	99	47	109	48	740
10		39	41	49	42	59	43	69	44	79	45	89	46	99	47	109	48	730
11		39	41	49	42	59	43	69	44	79	45	89	46	99	47	109	48	720
12		39	41	49	42	59	43	69	44	79	45	89	46	99	47	109	48	710
13		39	41	49	42	59	43	69	44	79	45	89	46	99	47	109	48	700
14		39	41	49	42	59	43	69	44	79	45	89	46	99	47	109	48	690
15		39	41	49	42	59	43	69	44	79	45	89	46	99	47	109	48	680
16		39	41	49	42	59	43	69	44	79	45	89	46	99	47	109	48	670
17		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	660
18		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	655
19		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	650
20		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	645
21		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	640
22		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	635
23		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	630
24		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	625
25		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	620
26		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	615
27		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	610
28		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	605
29		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	600
30		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	595
31		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	590
32		39	49	49	50	59	51	69	52	79	53	89	54	99	55	109	56	585
33		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	580
34		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	579
35		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	578
36		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	577
37		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	576
38		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	575
39		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	574
40		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	573
41		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	572
42		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	571
43		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	570
44		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	569
45		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	568
46		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	567
47		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	566
48		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	565
49		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	564
50		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	563
51		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	562
52		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	561
53		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	560
54		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	559
55		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	558
56		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	557
57		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	556
58		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	555
59		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	554
60		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	553
61		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	552
62		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	551
63		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	550
64		39	57	49	58	59	59	69	60	79	61	89	62	99	63	109	64	549
