ImpactID	Desc	Name	IsForever	MaxOverlayCount	IsNeedNoticeClient	BuffIcon	BuffType	LogicID	DelayTime	EffectId	PlayTime	IsRemoveEffectFadeOut	FadeOutRule	MutexcollectionId	Mutexpriority	ParamValue_01	ParamValue_02	ParamValue_03	ParamValue_04	ParamValue_05	ParamValue_06	ParamValue_07	ParamValue_08	ParamValue_09	ParamValue_10	ParamValue_11	ParamValue_12	ParamValue_13	ParamValue_14	ParamValue_15
INT	STRING	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=999999;MAX_RECORD=3000;TableType=Hash;																														
#程序不读 ID	描述	名称	是否是永久BUFF	最大叠加数（-1表示不叠加）	客户端是否关心有没有这个BUFF（需要在人物头像下面显示的增益BUFF 隐身BUFF 不能移动的减益BUFF 配成1）	BUFF图标（用于在人物头像下显示只显示非减益 IsNeedNoticeClient配成1才行 无则填-1）	Buff类型（0减益 1增益）	逻辑	延迟生效时间(单位毫秒)	Buff特效Id	特效播放的时间点（0 buff激活 1buff生效）	BUFF消失时是否移除对应的特效	BUFF消散规则（-1自然消散不做特殊检测 ）（1离开场景消散 2死亡消散 4发送者离开消散 (符合两种及以上 累加) 8登陆消散）	互斥集合ID	互斥优先级（从0开始 数值越大 优先级越高 同一优先级的互相顶替）	参数1数值	参数2数值	参数3数值	参数4数值	参数5数值	参数6数值	参数7数值	参数8数值	参数9数值	参数10数值	参数11数值	参数12数值	参数13数值	参数14数值	参数15数值
1101	类型伤害	少林普攻	0	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	50	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
1201	修正当前血量秒杀	金刚伏魔XP技	0	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	0	0	100	0	0	100	4	5	3	4	300	0	-1	-1	-1
1301	类型伤害	迦叶功1级	0	-1	0	-1	0	0	832	-1	-1	0	2	-1	-1	150	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
1302	类型伤害	迦叶功2级	0	-1	0	-1	0	0	832	-1	-1	0	2	-1	-1	170	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
1303	类型伤害	迦叶功3级	0	-1	0	-1	0	0	832	-1	-1	0	2	-1	-1	190	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
1304	类型伤害	迦叶功4级	0	-1	0	-1	0	0	832	-1	-1	0	2	-1	-1	210	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
1305	类型伤害	迦叶功5级	0	-1	0	-1	0	0	832	-1	-1	0	2	-1	-1	230	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
