Id	Desc	CharModelID_ShaoLin	CharModelID_TianShan	CharModelID_DaLi	CharModelID_XiaoYao	WeaponModelID_ShaoLin	WeaponModelID_TianShan	WeaponModelID_DaLi	WeaponModelID_XiaoYao
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1023;MAX_RECORD=1024;TableType=Index;									
#ID	描述	少林职业对应CharModel表ID	天山	大理	逍遥	少林职业对应WeaponModel表ID	天山	大理	逍遥
0	默认新手装	54	55	56	57	0	1	2	3
1	职业时装1	74	75	76	77	-1	-1	-1	-1
2	职业时装2	95	96	97	98	-1	-1	-1	-1
3	职业时装3	99	100	101	102	-1	-1	-1	-1
4	10级装备	74	75	76	77	0	1	2	3
5	套装10级	246	247	248	249	8	9	10	11
6	套装30级	228	229	230	231	12	13	14	15
7	套装40级	232	233	234	235	16	17	18	19
8	套装50级	236	237	238	239	20	21	22	23
9	套装20级	224	225	226	227	24	25	26	27
10	套装60级	262	263	264	265	32	33	34	35
11	套装70级	266	267	268	269	36	37	38	39
12	套装80级	270	271	272	273	40	41	42	43
13	橙装30级	274	275	276	277	-1	-1	-1	-1
14	橙装40级	278	279	280	281	-1	-1	-1	-1
15	橙装50级	282	283	284	285	-1	-1	-1	-1
16	橙装60级	286	287	288	289	-1	-1	-1	-1
17	武器9	-1	-1	-1	-1	-1	-1	-1	-1
18	雁门关剧情装备	353	354	355	356	30	28	31	29
19	元宝时装1	300	302	298	304	-1	-1	-1	-1
20	元宝时装2	301	303	299	305	-1	-1	-1	-1
21	橙装70级	308	309	310	311	-1	-1	-1	-1
22	橙装80级	312	313	314	315	-1	-1	-1	-1
23	结婚礼服	324	325	326	327	-1	-1	-1	-1
24	套装90级	330	331	332	333	44	45	46	47
25	套装100级	334	335	336	337	48	49	50	51
26	橙装90级	338	339	340	341	-1	-1	-1	-1
27	橙装100级	342	343	344	345	-1	-1	-1	-1
28	熊猫时装	349	350	351	352	-1	-1	-1	-1
