Id	Desc	ExpNeed	FellowExpNeed
INT	STRING	INT	INT
#MAX_ID=40960;MAX_RECORD=8192;TableType=Hash;			
#ID	程序不读	人物升级所需要经验	伙伴升级需要经验
0	升级所需经验	0	0
1	升级所需经验	432	144
2	升级所需经验	576	192
3	升级所需经验	720	240
4	升级所需经验	864	288
5	升级所需经验	1008	336
6	升级所需经验	1152	384
7	升级所需经验	1296	432
8	升级所需经验	1440	480
9	升级所需经验	1584	528
10	升级所需经验	1728	576
11	升级所需经验	1872	624
12	升级所需经验	2016	672
13	升级所需经验	2160	720
14	升级所需经验	17280	5760
15	升级所需经验	19584	6528
16	升级所需经验	22032	7344
17	升级所需经验	24624	8208
18	升级所需经验	27360	9120
19	升级所需经验	30240	10080
20	升级所需经验	63360	21120
21	升级所需经验	69552	23184
22	升级所需经验	71032	23677
23	升级所需经验	82800	27600
24	升级所需经验	89856	29952
25	升级所需经验	143856	47952
26	升级所需经验	155232	51744
27	升级所需经验	167040	55680
28	升级所需经验	179280	59760
29	升级所需经验	191952	63984
30	升级所需经验	271872	90624
31	升级所需经验	361152	120384
32	升级所需经验	384336	128112
33	升级所需经验	408240	136080
34	升级所需经验	432864	144288
35	升级所需经验	548784	182928
36	升级所需经验	675792	225264
37	升级所需经验	713232	237744
38	升级所需经验	751680	250560
39	升级所需经验	791136	263712
40	升级所需经验	949536	316512
41	升级所需经验	1030756	343585
42	升级所需经验	1075751	358583
43	升级所需经验	1121703	373901
44	升级所需经验	1168609	389536
45	升级所需经验	1298818	432939
46	升级所需经验	1797518	599172
47	升级所需经验	1923290	641096
48	升级所需经验	2054707	684902
49	升级所需经验	2249297	749765
50	升级所需经验	3077533	1025844
51	升级所需经验	3999078	1333026
52	升级所需经验	4147188	1382396
53	升级所需经验	4297989	1432663
54	升级所需经验	4451481	1483827
55	升级所需经验	5270284	1756761
56	升级所需经验	6140000	2046666
57	升级所需经验	6350648	2116882
58	升级所需经验	6564847	2188282
59	升级所需经验	6782599	2260866
60	升级所需经验	8185124	2728374
61	升级所需经验	9568273	3189424
62	升级所需经验	10081815	3360605
63	升级所需经验	10613654	3537884
64	升级所需经验	11164116	3721372
65	升级所需经验	13118178	4372726
66	升级所需经验	14938876	4979625
67	升级所需经验	15871560	5290520
68	升级所需经验	16839980	5613326
69	升级所需经验	17844782	5948260
70	升级所需经验	21850839	7283613
71	升级所需经验	24816172	8272057
72	升级所需经验	26550634	8850211
73	升级所需经验	28352721	9450907
74	升级所需经验	30223630	10074543
75	升级所需经验	34276373	11425457
76	升级所需经验	38179441	12726480
77	升级所需经验	40882885	13627628
78	升级所需经验	43687994	14562664
79	升级所需经验	46596479	15532159
80	升级所需经验	52195635	17398545
81	升级所需经验	57841604	19280534
82	升级所需经验	61970240	20656746
83	升级所需经验	66248436	22082812
84	升级所需经验	70678588	23559529
85	升级所需经验	78388304	26129434
86	升级所需经验	85975373	28658457
87	升级所需经验	92105719	30701906
88	升级所需经验	98449373	32816457
89	升级所需经验	105009585	35003195
90	升级所需经验	115524582	38508194
91	升级所需经验	126163538	42054512
92	升级所需经验	135015802	45005267
93	升级所需经验	144162969	48054323
94	升级所需经验	153609314	51203104
95	升级所需经验	168558112	56186037
96	升级所需经验	183782141	61260713
97	升级所需经验	197074250	65691416
98	升级所需经验	210796568	70265522
99	升级所需经验	224955082	74985027
100	升级所需经验	245313562	81771187
101	升级所需经验	266056920	88685640
102	升级所需经验	284778440	94926146
103	升级所需经验	304079730	101359910
104	升级所需经验	323968487	107989495
105	升级所需经验	350797488	116932496
