Id	Desc	ExpLimit
INT	STRING	INT
#MAX_ID=40960;MAX_RECORD=8192;TableType=Hash;		
#ID	程序不读	人物每天获得经验上限
1		12467628
2		12547628
3		12547628
4		12627628
5		12627628
6		12707628
7		12707628
8		12787628
9		12787628
10		12867628
11		12867628
12		12947628
13		12947628
14		13027628
15		13027628
16		13107628
17		13107628
18		13187628
19		13187628
20		13267628
21		13347628
22		13347628
23		13427628
24		13427628
25		13507628
26		13507628
27		13587628
28		13587628
29		13667628
30		13747628
31		13883862
32		14283696
33		14505331
34		14646965
35		14868599
36		15090233
37		15311868
38		15453502
39		15675136
40		15968771
41		16192119
42		16335468
43		16558816
44		16782165
45		17005513
46		17148862
47		17372211
48		17595559
49		17818908
50		18416656
51		18647205
52		18797753
53		19028302
54		19258851
55		19489399
56		19719948
57		19950496
58		20181045
59		20411593
60		20642142
61		20792691
62		21023239
63		21253788
64		21484336
65		21714885
66		21945433
67		22175982
68		22406531
69		22637079
70		23697068
71		23939136
72		24181205
73		24423273
74		24665342
75		24907411
76		25149479
77		25391548
78		25633616
79		25875685
80		26117753
81		26359822
82		26601891
83		26843959
84		27086028
85		27328096
86		27570165
87		27812233
88		28054302
89		28296371
90		28538439
91		28780508
92		29022576
93		29264645
94		29506713
95		29748782
96		29990851
97		30232919
98		30474988
99		30717056
100		30959125
