Id	Desc	Name	Info	Icon	Type	OpenLevel	ProductGroup	Money	Stamina	StuffID1	StuffCount1	StuffID2	StuffCount2	StuffID3	StuffCount3	StuffID4	StuffCount4
INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=10000;TableType=Index;																	
#ID	程序不读	配方名	配方说明	图标	分类	开放等级	产出物分组(对应LivingSkillProduct表中ID检索 1为1~1000)	金钱消耗	体能消耗	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量
0	生活技能装戒指（40）	紫夜戒指	40级戒指	jiezhi_04	0	20	1	100	10	2000	1	2012	50	-1	-1	-1	-1
1	生活技能装戒指（60）	百川戒指	60级戒指	jiezhi_05	0	40	3	200	20	2001	1	2012	100	2013	100	-1	-1
2	生活技能装戒指（80）	妖言戒指	80级戒指	jiezhi_06	0	60	5	300	30	2002	1	2013	150	2014	150	-1	-1
3	生活技能装戒指（100）	破魂戒指	100级戒指	jiezhi_07	0	80	7	400	40	2003	1	2014	200	2015	200	-1	-1
4	生活技能装护符（40）	碧流护符	40级护符	hufu04	0	20	2	100	10	2006	1	2021	50	-1	-1	-1	-1
5	生活技能装护符（60）	青语护符	60级护符	hufu05	0	40	4	200	20	2007	1	2021	100	2022	100	-1	-1
6	生活技能装护符（80）	玄蝶护符	80级护符	hufu06	0	60	6	300	30	2008	1	2022	150	2023	150	-1	-1
7	生活技能装护符（100）	暗丝护符	100级护符	hufu07	0	80	8	400	40	2009	1	2023	200	2024	200	-1	-1
8	丹药50级物理攻击	1品武力丹	增强外功攻击160	wuligongji_01	1	50	9	50	4	2039	1	2030	20	-1	-1	-1	-1
9	丹药70级物理攻击	2品武力丹	增强外功攻击646	wuligongji_02	1	70	10	100	6	2040	1	2030	30	2031	30	-1	-1
10	丹药90级物理攻击	3品武力丹	增强外功攻击1082	wuligongji_03	1	90	11	150	8	2041	1	2031	40	2032	40	-1	-1
11	丹药100级物理攻击	4品武力丹	增强外功攻击1788	wuligongji_04	1	100	12	200	10	2042	1	2032	50	2033	50	-1	-1
12	丹药50级法术攻击	1品元气丹	增强内功攻击160	mofagongji_01	1	50	13	50	4	2039	1	2030	20	-1	-1	-1	-1
13	丹药70级法术攻击	2品元气丹	增强内功攻击646	mofagongji_02	1	70	14	100	6	2040	1	2030	30	2031	30	-1	-1
