SourceSceneID	Description	DestSceneID	TelePosX	TelePosZ
INT	STRING	INT	FLOAT	FLOAT
#预留				
#本行程序不读 通路图ID，作为场景ID使用	描述（程序不读）	目标场景ID	传送点X	传送点Z
1	主城场景联通图	2	41	79
2	野外场景联通图	1	57.51	4.59
2		5	56.79	51
5		2	61.67875	16.04697
5		20	7.236282	5.285415
20		5	2.966599	11.22548
20		13	9.892021	33.19041
13		20	64.07155	10.95062
13		21	114.3064	63.71736
13		9	15.54644	63.66309
21		13	47.96302	8.498639
9		13	60.30185	5.569304
9		26	6.359346	32.13715
26		9	27.73358	6.144515
26		22	29.24815	18.88428
26		15	32.76575	54.9254
22		26	67.3	11.5
15		26	45.12208	3.103247
15		23	16.00342	9.457482
23		15	8.48159	14.95431
23		24	23.72591	56.80788
24		23	50.11249	5.246632
24		4	7.525589	7.595228
4		24	14.84148	59.08244
4		25	35.0473	54.02194
25		4	11.27021	7.505167
29		13	14.1791	2.277748
13		29	36.66801	99.85258
13		33	69.27567	112.3057
13		33	58.37474	112.6654
33		13	79.16644	47.22881
33		13	3.817991	44.63186
25		34	20.46	41.28
34		25	5.6	26
