Id	Desc	BaseSkill	Level	NextSkillId	MinMasterTorch	MinLevel	ConsumeType	ConsumeSubType	ConsumeNum
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=256;MAX_RECORD=256;TableType=Hash;									
#技能ID	程序不读	一级技能ID	技能级别（1-10）	下一级技能	要求最低师门薪火	要求最低等级	升级消耗类型	升级消耗子类型	升级消耗数量
80000	师门技能1	80000	1	80001	100	40	3	3	500
80001	师门技能1	80000	2	80002	100	45	3	3	700
80002	师门技能1	80000	3	80003	100	50	3	3	1000
80003	师门技能1	80000	4	80004	100	55	3	3	1500
80004	师门技能1	80000	5	80005	100	60	3	3	2200
80005	师门技能1	80000	6	80006	100	65	3	3	3200
80006	师门技能1	80000	7	80007	100	70	3	3	4600
80007	师门技能1	80000	8	80008	100	75	3	3	6600
80008	师门技能1	80000	9	80009	100	80	3	3	9600
80009	师门技能1	80000	10	-1	-1	-1	-1	-1	-1
80010	师门技能2	80010	1	80011	100	40	3	3	500
80011	师门技能2	80010	2	80012	100	45	3	3	700
80012	师门技能2	80010	3	80013	100	50	3	3	1000
80013	师门技能2	80010	4	80014	100	55	3	3	1500
80014	师门技能2	80010	5	80015	100	60	3	3	2200
80015	师门技能2	80010	6	80016	100	65	3	3	3200
80016	师门技能2	80010	7	80017	100	70	3	3	4600
80017	师门技能2	80010	8	80018	100	75	3	3	6600
80018	师门技能2	80010	9	80019	100	80	3	3	9600
80019	师门技能2	80010	10	-1	-1	-1	-1	-1	-1
80020	师门技能3	80020	1	80021	100	40	3	3	500
80021	师门技能3	80020	2	80022	100	45	3	3	700
80022	师门技能3	80020	3	80023	100	50	3	3	1000
80023	师门技能3	80020	4	80024	100	55	3	3	1500
80024	师门技能3	80020	5	80025	100	60	3	3	2200
80025	师门技能3	80020	6	80026	100	65	3	3	3200
80026	师门技能3	80020	7	80027	100	70	3	3	4600
80027	师门技能3	80020	8	80028	100	75	3	3	6600
80028	师门技能3	80020	9	80029	100	80	3	3	9600
80029	师门技能3	80020	10	-1	-1	-1	-1	-1	-1
80030	师门技能4	80030	1	80031	100	40	3	3	500
80031	师门技能4	80030	2	80032	100	45	3	3	700
80032	师门技能4	80030	3	80033	100	50	3	3	1000
80033	师门技能4	80030	4	80034	100	55	3	3	1500
80034	师门技能4	80030	5	80035	100	60	3	3	2200
80035	师门技能4	80030	6	80036	100	65	3	3	3200
80036	师门技能4	80030	7	80037	100	70	3	3	4600
80037	师门技能4	80030	8	80038	100	75	3	3	6600
80038	师门技能4	80030	9	80039	100	80	3	3	9600
80039	师门技能4	80030	10	-1	-1	-1	-1	-1	-1
80040	师门技能5	80040	1	80041	100	40	3	3	500
80041	师门技能5	80040	2	80042	100	45	3	3	700
80042	师门技能5	80040	3	80043	100	50	3	3	1000
80043	师门技能5	80040	4	80044	100	55	3	3	1500
80044	师门技能5	80040	5	80045	100	60	3	3	2200
80045	师门技能5	80040	6	80046	100	65	3	3	3200
80046	师门技能5	80040	7	80047	100	70	3	3	4600
80047	师门技能5	80040	8	80048	100	75	3	3	6600
80048	师门技能5	80040	9	80049	100	80	3	3	9600
80049	师门技能5	80040	10	-1	-1	-1	-1	-1	-1
80050	师门技能6	80050	1	80051	100	40	3	3	500
80051	师门技能6	80050	2	80052	100	45	3	3	700
80052	师门技能6	80050	3	80053	100	50	3	3	1000
80053	师门技能6	80050	4	80054	100	55	3	3	1500
80054	师门技能6	80050	5	80055	100	60	3	3	2200
80055	师门技能6	80050	6	80056	100	65	3	3	3200
80056	师门技能6	80050	7	80057	100	70	3	3	4600
80057	师门技能6	80050	8	80058	100	75	3	3	6600
80058	师门技能6	80050	9	80059	100	80	3	3	9600
80059	师门技能6	80050	10	-1	-1	-1	-1	-1	-1
