Id	Desc	LimitID	BonusID	MissionType	LogicType	LogicID	ScriptID	NextMissionID	AcceptDataID	CompleteDataID	DalityMissionTabID
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;											
#任务ID	本列程序不读	任务限制ID	奖励ID（对应BonusTable.txt）	任务类型（0=日常；1=主线；）	任务逻辑方式（0=剧情；1=杀怪；2=送信；3=收集；4=探索；5=寻物；6=副本杀怪；7升级；8伙伴操作；脚本填-1）	对应任务类型表ID	任务脚本ID(不用脚本为-1)	下一个任务ID	任务发布者DataID	任务提交者DataID	对应DalityMission.txt表ID(日常任务用)
0	【主】苏醒	0	0	1	0	1	-1	1	6	6	-1
1	【主】恩情	1	1	1	2	1	-1	2	6	7	-1
2	【主】初愈	2	2	1	1	1	-1	3	7	7	-1
3	【主】福缘	3	3	1	0	2	-1	4	7	7	-1
4	【主】打探	4	4	1	2	17	2001	99	7	187	-1
5	【主】初识	5	5	1	2	2	-1	6	8	7	-1
6	【主】小别	6	6	1	2	3	-1	101	7	9	-1
7	【主】赠兽	7	7	1	-1	-1	2021	8	9	9	-1
8	【主】寻迹	8	8	1	2	4	-1	9	9	31	-1
9	【主】马府	9	9	1	0	12	-1	11	31	31	-1
10	【主】钟灵	10	10	1	-1	-1	2019	15	32	32	-1
11	【主】除害	11	11	1	1	2	-1	12	31	31	-1
12	【主】交情	12	12	1	2	7	-1	13	31	34	-1
13	【主】比武	13	13	1	-1	-1	2003	14	34	34	-1
14	【主】转机	14	14	1	2	8	-1	103	34	32	-1
15	【主】出气	15	15	1	1	3	-1	16	32	32	-1
16	【主】痴愚	16	16	1	2	9	-1	17	32	35	-1
17	【主】真相	17	17	1	0	4	-1	18	35	35	-1
18	【主】制毒	18	18	1	5	1	-1	19	35	35	-1
19	【主】放毒	19	19	1	-1	-1	2015	20	35	35	-1
20	【主】询问	20	20	1	2	10	-1	21	35	32	-1
21	【主】送信	21	21	1	2	11	-1	38	32	40	-1
22	【主】进喜	22	22	1	1	5	-1	105	40	40	-1
23	【主】来福	23	23	1	2	12	-1	24	40	41	-1
24	【主】信物	24	24	1	0	5	-1	39	41	41	-1
25	【主】情仇	25	25	1	-1	-1	2009	26	41	41	-1
26	【主】借马	26	26	1	2	13	-1	27	41	43	-1
27	【主】冷艳	27	27	1	0	7	-1	28	43	43	-1
28	【主】保护	28	28	1	1	6	-1	29	43	43	-1
29	【主】采药	29	29	1	3	0	-1	30	43	43	-1
30	【主】取胆	30	30	1	5	2	-1	31	43	43	-1
31	【主】回程	31	31	1	2	14	-1	32	43	32	-1
32	【主】圣使	32	32	1	0	8	-1	33	32	32	-1
33	【主】截杀	33	33	1	-1	-1	2016	34	32	32	-1
34	【主】假扮	34	34	1	2	16	-1	208	32	35	-1
35	【主】劝说	35	35	1	0	9	-1	36	33	33	-1
36	【主】毒王	36	36	1	6	4	-1	37	33	33	-1
