Id	Desc	Money	BindYuanBao	Exp	ToolID1	ToolNum1	ToolID2	ToolNum2	ProfessionItemID1	ProfessionNum1	ProfessionItemID2	ProfessionNum2	ProfessionItemID3	ProfessionNum3	ProfessionItemID4	ProfessionNum4	ChoosedItemNum	ItemID1	ItemNum1	ItemID2	ItemNum2	ItemID3	ItemNum3
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;																							
#唯一标示	策划维护列	金钱	绑定元宝	经验	道具1ID	道具1数量	道具2ID	道具2数量	少林物品ID	少林物品数量	天山物品ID	天山物品数量	大理物品ID	大理物品数量	逍遥物品ID	逍遥物品数量	多选一物品数量	物品1 ID	物品1 数量	物品2 ID	物品2 数量	物品3 ID	物品3 数量
0	{0}【主】{1}苏醒	10000	0	316	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
1	{0}【主】{1}恩情	0	0	316	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
2	{0}【主】{1}初愈	0	0	488	-1	0	-1	0	46500	1	47500	1	49500	1	48500	1	0	-1	0	-1	0	-1	0
3	{0}【主】{1}福缘	0	0	488	4011	50	4021	50	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
4	{0}【主】{1}打探	0	0	560	-1	0	-1	0	46400	1	47400	1	49400	1	48400	1	0	-1	0	-1	0	-1	0
5	{0}【主】{1}初识	0	0	732	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
6	{0}【主】{1}小别	0	0	804	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
7	{0}【主】{1}赠兽	0	0	1076	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
8	{0}【主】{1}寻迹	0	0	1148	-1	0	-1	0	46800	1	47800	1	49800	1	48800	1	0	-1	0	-1	0	-1	0
9	{0}【主】{1}马府	0	0	1148	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
10	{0}【主】{1}钟灵	0	0	3936	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
