Id	NpcName	ItemAID	ItemACount
INT	STRING	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;			
#索引	策划维护	递交物品1	递交物品1数量
1	任务2	-1	0
2	任务6	-1	0
3	任务7	-1	0
4	任务9	-1	0
5	任务10	-1	0
6	任务11	-1	0
7	任务13	-1	0
8	任务15	-1	0
9	任务17	-1	0
10	任务21	-1	0
11	任务22	45	1
12	任务24	-1	0
13	任务27	-1	0
14	任务32	-1	0
15	任务5	-1	0
16	任务35	-1	0
17	【主】打探	-1	0
18	【主】约定1	-1	0
19	【主】生辰3	-1	0
20	【主】拜师4	-1	0
21	【主】援手7	-1	0
22	【主】躲避9	-1	0
23	【主】求助11	-1	0
24	【主】福源14	-1	0
25	【主】提醒21	-1	0
26	【主】拜服26	-1	0
27	【主】寻路29	-1	0
28	【主】报答31	-1	0
29	【主】搭救33	-1	0
30	【主】阿碧34	-1	0
31	【主】阿朱36	-1	0
32	【主】告知41	-1	0
33	【主】【30-40】3暂避	-1	0
34	【主】6同门	-1	0
35	【主】7门派	-1	0
36	【主】10秘笈	-1	0
37	【主】14琅嬛	-1	0
38	【主】17丐帮	-1	0
39	【主】21同行	-1	0
40	【主】23帮主	-1	0
41	【主】26擒王	-1	0
42	【主】29恐吓	-1	0
43	【主】32身世	-1	0
44	【主】怒气34	-1	0
45	【主】求证35	-1	0
46	【主】发帖37	-1	0
47	【主】送信39	-1	0
48	【主】续命41	-1	0
49	【主】牵挂46	-1	0
50	【主】医治48	-1	0
51	【主】和尚49	-1	0
52	【主】玄慈53	-1	0
53	【主】疯癫55	-1	0
54	【主】帮派57	-1	0
55	【主】人质	-1	0
