Id	MissionType	MissionName	MissionDesc	MissionDoneDesc	FollowText	TargetNpcPosX	TargetNpcPosZ	TargetNpcSceneID	TargetNpcDataID	AccepteNpcPosX	AccepteNpcPosZ	AccepteNpcSceneID	AcceptNpcDataID	CompleteNpcPosX	CompleteNpcPosZ	CompleteNpcSceneID	CompleteNpcDataID	IsAcceptAutoFindPath
INT	INT	STRING	STRING	STRING	STRING	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	BOOL
#																		
#ID	任务类型，只用于显示类型用(0:剧情,1:送信,2:杀怪,3:寻物,4:探索,5:其他	任务名称$22$	任务接取描述$1$	任务完成描述$1$	任务过程跟踪0$22$	任务目标NPC位置X	任务目标NPC位置Z	任务目标NPC场景	任务目标NPCDATAID	接受任务NPC位置X	接受任务NPC位置Z	接受任务NPC场景	发布者DATAID	任务完成交任务NPC位置X	任务完成交任务NPC位置Z	任务交付NPC场景	完成者DATAID	接任务时否自动走向目标NPC
0	0	{0}【主】{1}苏醒	$R已经昏迷好多天了，感觉好些了么？ 	$R吉人天相，大难不死必有后福。	和朱丹臣对话：{0}{1}/1	42.26514	22.56848	1	6	42.26514	22.56848	1	6	42.26514	22.56848	1	6	1
1	2	{0}【主】{1}恩情	还好你醒过来了，不知是何人将你打伤？我们奉王爷之命留下照看你，褚大哥钓了几尾鲜鱼打算给你补补身体呢。	$R体质精奇，恢复能力要比一般人快了好多。	和褚万里对话：{0}{1}/1	48	11	1	7	42.26514	22.56848	1	6	48	11	1	7	1
2	1	{0}【主】{1}初愈	你的内伤应该无碍了，去打几只野兽舒展下拳脚。	看你生龙活虎的回来，真替你高兴啊。	除掉豹子：{0}{1}/4	84	49	1	15	48	11	1	7	48	11	1	7	1
3	0	{0}【主】{1}福缘	看来你因祸得福，虽内力尽失，经脉却意外被打通，这可是习武之人梦寐以求的事。	听说四大恶人来了大理，真担心世子会碰上他们，那可就糟了。	与褚万里对话：{0}{1}/1	48	11	1	7	48	11	1	7	48	11	1	7	1
4	0	{0}【主】{1}打探	几日前陪同王爷巡视时，在万升客栈瞥见一个大汉，此人身量气魄非同常人，不知是何来头，$R可否去客栈探探他的虚实	呦，$R，您是打尖还是住店？	与店小二对话：{0}{1}/1	49.87	28.58	1	187	48	11	1	7	49.87	28.58	1	187	1
5	2	{0}【主】{1}初识	愚兄此来大理是为了寻找慕容公子的，琐事缠身就不多留了，请转告褚护卫，他日我定当登府拜访王爷，咱们就此别过。	原来如此，没想到他就是大名鼎鼎的乔峰，如此英雄没能结交真是遗憾。	和褚万里对话：{0}{1}/1	48	11	1	7	54.05316	32.16949	1	8	48	11	1	7	1
6	2	{0}【主】{1}小别	$R伤势既已恢复，我们也该出去找寻世子了，你若遇到世子劝他赶快回王府。前面有间店你先去把衣服换换。	$R光顾，真是令小地蓬荜生辉。	找裁缝对话：{0}{1}/1	81.04169	66.00178	1	9	48	11	1	7	81.04169	66.00178	1	9	1
7	0	{0}【主】{1}赠兽	现在我把驯养的小狼送你，你试着把它召唤出来。 	恭喜$R，你已经掌握了驭兽的技巧。	召唤小狼：{0}{1}/1	81.04169	66.00178	1	9	81.04169	66.00178	1	9	81.04169	66.00178	1	9	1
8	2	{0}【主】{1}寻迹	听闻世子喜游山水，$R可到无量山马老爷的府上打听，马老爷乐善好施，广交朋友，多半世子去了他那里。	真是不巧，若早些来说不定就碰上段公子了。	找马伍德对话：{0}{1}/1	52.89	11.41	2	31	81.04169	66.00178	1	9	52.89	11.41	2	31	1
9	2	{0}【主】{1}马府	段公子确在府上逗留半日，和老夫品鉴新茶，老夫提起无量剑派比武之事甚为新奇，想是去了剑湖宫观摩比武	稍后$R去找段公子就见识到剑湖宫了，不过老夫有个请求。	找马伍德对话：{0}{1}/1	52.89	11.41	2	31	52.89	11.41	2	31	52.89	11.41	2	31	1
10	2	{0}【主】{1}钟灵	$R我看你身手不错，心肠又好，我以后都跟着你混了，就这么愉快的决定了。	怎么样不错吧，我也不是一点用处都没有呢，有我和你在一起，你的战斗力会更强的。	完成美人进化：{0}{1}/1	17.55	52.42	2	32	17.55	52.42	2	32	17.55	52.42	2	32	1
11	1	{0}【主】{1}除害	最近神农帮突然闯到后山焚烧毒雾，将我府上的名贵茶树也半数毒死了。我正为此事发愁，不知$R可愿帮老夫讨个公道？	多谢$R帮我出了这口恶气。	神农帮弟子：{0}{1}/6	56	19	2	37	52.89	11.41	2	31	52.89	11.41	2	31	1
