Index	Desc	MonsterName	MonsterDataID	MonsterCount
INT	STRING	STRING	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;				
#ID唯一标识	策划维护	怪物（废弃）	怪物ID	杀怪数
1	任务3	野狼	15	4
2	任务12	神农帮弟子	37	6
3	任务16	剑宗弟子	36	6
4	任务19	野狼	38	10
5	任务23	江湖邪士	45	10
6	任务29	曼陀杀手	46	15
7	任务31	黑豹	47	15
8	【门派】行侠仗义	宵小	161	40
9	【门派】行侠仗义	马贼	162	40
10	【门派】行侠仗义	漕运强盗	163	40
11	【野外】无量山除恶	野狼	38	80
12	【野外】无量山除恶	神农帮弟子	37	80
13	【野外】无量山除恶	剑宗弟子	36	80
14	【野外】万劫谷除恶	江湖邪士	45	80
15	【野外】万劫谷除恶	曼陀杀手	46	80
16	【野外】万劫谷除恶	黑豹	47	80
17	【野外】苍山除恶	藩邦探子	152	80
18	【野外】苍山除恶	明王随从	153	80
19	【野外】苍山除恶	红熊	154	80
20	【野外】燕子坞除恶	秦家寨喽啰	156	80
21	【野外】燕子坞除恶	青城弟子	157	80
22	【野外】燕子坞除恶	恶奴	158	80
23	【野外】小镜湖除恶	宵小	161	80
24	【野外】小镜湖除恶	马贼	162	80
25	【野外】小镜湖除恶	漕运强盗	163	80
26	【野外】杏子林除恶	丐帮叛徒	164	80
27	【野外】杏子林除恶	西夏武士	165	80
28	【野外】杏子林除恶	一品堂高手	166	80
29	【野外】聚贤庄除恶	剑客	168	80
30	【野外】聚贤庄除恶	刀客	169	80
31	【野外】聚贤庄除恶	家丁	170	80
32	【野外】少室山除恶	少林铜人	171	80
33	【野外】少室山除恶	猛虎	172	80
34	【野外】少室山除恶	星宿弟子	173	80
35	【野外】雁门关除恶	戈壁马匪	174	80
36	【野外】雁门关除恶	宋兵	175	80
37	【野外】雁门关除恶	荒原豹	176	80
38	【野外】敦煌除恶	西夏兵	177	80
39	【野外】敦煌除恶	辽兵	178	80
40	【野外】敦煌除恶	盗贼	179	80
41	【野外】雪原除恶	女真猎手	180	80
42	【野外】雪原除恶	冰原狼	181	80
43	【野外】雪原除恶	雪豹	182	80
44	【野外】缥缈峰除恶	玄天部众	183	80
45	【野外】缥缈峰除恶	昊天部众	184	80
46	【野外】缥缈峰除恶	叛乱洞主	185	80
47	【主】磨练12	红熊	154	20
48	【主】降怪13	红熊王	155	1
49	【主】解困15	蕃邦探子	152	20
50	【主】威胁17	明王随从	153	20
51	【主】恶奴32	恶奴	158	30
52	【主】出手43	秦家寨弟子	156	30
53	【主】【30-40】1教训	青城弟子	157	30
54	【主】11	宵小	161	40
55	【主】12	漕运强盗	163	40
56	【主】16	木桩	220	1
57	【主】18	马贼	162	40
58	【主】22	丐帮叛徒	164	50
59	【主】25	西夏武士	165	50
60	【主】28	一品堂高手	166	50
61	【主】犯险42	刀客	169	50
62	【主】担忧43	剑客	168	60
63	【主】埋伏45	家丁	170	60
64	【主】寻乐52	少林铜人	171	60
