Id	Desc	LowLevel	PreMission	ItemNeed	ItemCount	IsLoop
INT	STRING	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;						
#ID	限制描述(策划填写作为维护的标志，程序不关心这一列)	等级（最小值）	前续任务（无前续填-1）	需求道具	需求道具数	是否能重复完成
0	【主】苏醒	1	-1	-1	-1	0
1	【主】恩情	1	0	-1	-1	0
2	【主】初愈	1	1	-1	-1	0
3	【主】福缘	1	2	-1	-1	0
4	【主】打探	1	3	-1	-1	0
5	【主】初识	1	100	-1	-1	0
6	【主】小别	1	5	-1	-1	0
7	【主】赠兽	1	102	-1	-1	0
8	【主】寻迹	1	7	-1	-1	0
9	【主】马府	1	8	-1	-1	0
10	【主】钟灵	1	104	-1	-1	0
11	【主】除害	1	9	-1	-1	0
12	【主】交情	1	11	-1	-1	0
13	【主】比武	1	12	-1	-1	0
14	【主】转机	1	13	-1	-1	0
15	【主】出气	1	10	-1	-1	0
16	【主】痴愚	1	15	-1	-1	0
17	【主】真相	1	16	-1	-1	0
18	【主】制毒	1	17	-1	-1	0
19	【主】放毒	1	18	-1	-1	0
20	【主】询问	1	19	-1	-1	0
21	【主】送信	1	20	-1	-1	0
22	【主】进喜	1	38	-1	-1	0
23	【主】来福	1	105	-1	-1	0
24	【主】信物	1	23	-1	-1	0
25	【主】情仇	1	39	-1	-1	0
26	【主】借马	1	25	-1	-1	0
27	【主】冷艳	1	26	-1	-1	0
28	【主】保护	1	27	-1	-1	0
29	【主】采药	1	28	-1	-1	0
30	【主】取胆	1	29	-1	-1	0
31	【主】回程	1	30	-1	-1	0
32	【主】圣使	1	31	-1	-1	0
33	【主】截杀	1	32	-1	-1	0
34	【主】假扮	1	33	-1	-1	0
35	【主】劝说	1	208	-1	-1	0
36	【主】毒王	1	35	-1	-1	0
37	【主】结拜	1	36	-1	-1	0
38	【主】竞技	1	21	-1	-1	0
39	【主】强化	1	24	-1	-1	0
40	【门派】掌门问候	10	-1	-1	-1	1
41	【门派】行侠仗义	10	-1	-1	-1	1
42	【门派】收集物资	10	-1	-1	-1	1
43	【门派】掌门问候	10	-1	-1	-1	1
44	【门派】行侠仗义	10	-1	-1	-1	1
45	【门派】收集物资	10	-1	-1	-1	1
46	【门派】掌门问候	10	-1	-1	-1	1
47	【门派】行侠仗义	10	-1	-1	-1	1
48	【门派】收集物资	10	-1	-1	-1	1
49	【野外】无量山除恶	10	-1	-1	-1	1
50	【野外】无量山除恶	10	-1	-1	-1	1
51	【野外】无量山除恶	10	-1	-1	-1	1
52	【野外】万劫谷除恶	15	-1	-1	-1	1
53	【野外】万劫谷除恶	15	-1	-1	-1	1
