Id	Desc	LeftTime	Money	BindYuanbao	Fcator_A	Fcator_B	Fcator_C	Fcator_D	Fcator_E	Fcator_F
INT	STRING	INT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT
#MAX_ID=49;MAX_RECORD=50;TableType=Index;										
#ID(索引不可跳跃)	策划维护	间隔时间(单位毫秒)	奖励金钱(单位金)	消耗元宝	产出系数	产出系数	产出系数	产出系数	产出系数	产出系数
0	1次领取	30000	10000	0	10	1	0.5	0.8	1	0.52
1	2次领取	120000	10000	0	10	1	0.5	0.8	1	0.52
2	3次领取	300000	10000	0	10	1	0.5	0.8	1	0.52
3	4次领取	600000	10000	0	10	1	0.5	0.8	1	0.52
4	5次领取	900000	10000	0	10	1	0.5	0.8	1	0.52
5	6次领取	1200000	10000	0	10	1	0.5	0.8	1	0.52
6	7次领取	1500000	10000	0	10	1	0.5	0.8	1	0.52
7	8次领取	1800000	10000	0	10	1	0.5	0.8	1	0.52
8	9次领取	0	30000	10	10	1	0.5	0.8	1	0.52
9	10次领取	0	40000	20	10	1	0.5	0.8	1	0.52
10	11次领取	0	50000	30	10	1	0.5	0.8	1	0.52
11	12次领取	0	60000	40	10	1	0.5	0.8	1	0.52
12	13次领取	0	70000	60	10	1	0.5	0.8	1	0.52
13	14次领取	0	80000	80	10	1	0.5	0.8	1	0.52
14	15次领取	0	90000	100	10	1	0.5	0.8	1	0.52
15	16次领取	0	100000	120	10	1	0.5	0.8	1	0.52
16	17次领取	0	100000	140	10	1	0.5	0.8	1	0.52
17	18次领取	0	100000	160	10	1	0.5	0.8	1	0.52
18	19次领取	0	100000	180	10	1	0.5	0.8	1	0.52
19	20次领取	0	100000	200	10	1	0.5	0.8	1	0.52
