Id	Desc	Dialog	OptionDialogId	OptionDialogType	MissionID1	MissionID2	MissionID3	MissionID4	MissionID5	MissionID6	MissionID7	MissionID8	MissionID9	MissionID10	MissionID11	MissionID12	MissionID13	MissionID14	MissionID15	MissionID16	MissionID17	MissionID18	MissionID19	MissionID20	MissionID21	MissionID22	MissionID23	MissionID24	MissionID25	MissionID26	MissionID27	MissionID28	MissionID29	MissionID30	MissionID31	MissionID32	MissionID33	MissionID34	MissionID35	MissionID36	MissionID37	MissionID38	MissionID39	MissionID40	MissionID41	MissionID42	MissionID43	MissionID44	MissionID45	MissionID46	MissionID47	MissionID48	MissionID49	MissionID50
SHORT	STRING	STRING	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT	SHORT
#																																																						
#唯一标示	策划维护	对话内容	选项对话索引	选项对话的类型（由程序提供）	任务1（对应MissionBase.txt中的ID）	任务2	任务3	任务4	任务5	任务6	任务7	任务8	任务9	任务10	任务11	任务12	任务13	任务14	任务15	任务16	任务17	任务18	任务19	任务20	任务21	任务22	任务23	任务24	任务25	任务26	任务27	任务28	任务29	任务30	任务31	任务32	任务33	任务34	任务35	任务36	任务37	任务38	任务39	任务40	任务41	任务42	任务43	任务44	任务45	任务46	任务47	任务48	任务49	任务50
0	韦春花	等我长大了，我想嫁给白公子做婆姨。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	韦小宝	天气不错，听说佟掌柜又新进了上等的绸缎，我得去看看。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	路人甲	多盼望能有一位风度翩翩的英俊$R带我离开这里啊，可怎么看见的总是高屠户那胖胖的身影。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	路人乙	廖大师算卦可真灵验，我真的有喜了！你不去找他算一卦么？	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	酱油	好久没见冷捕头了，不知道是不是去横店拍四大名捕了。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	双儿	有什么货物要运送，可以放心交给震总镖头，镖镖必达！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	朱丹臣	仗剑行千里，微躯敢一言。曾为大梁客，不负信陵恩。	-1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	褚万里	在下镇南王护卫褚万里，不知阁下有何见教？	-1	-1	1	2	3	4	5	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	彪形大汉	这位兄弟可是要和在下喝上几杯？	-1	-1	4	5	100	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	裁缝	客官选块布料吧，这些都是今年从苏州进的上好料子，质量上乘，别家可买不到。	-1	-1	6	7	8	101	102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	司仪	想要向心爱的人求婚需要先制作或在商城购买一见倾心戒指，然后两人组队来我这里，就可以办理婚事啦	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	强化	追求强大是每个江湖人的梦，强化是首选的途径。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	洱海奖励	可在此处领取老玩家回馈奖励。	4	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	伙伴	你想知道什么尽管问我好了。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	商人	客官您买点什么？假一赔十！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	铁匠	打铁的手艺是咱祖上传下来的，传到我这已经是第十六代了。你看看想打点什么？	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	活动	这里有大量丰富的活动，只要你积极参加，就会获得丰厚的奖励。	-1	-1	236	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	伙伴	你想知道什么尽管问我好了。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	家园	有家自己的酒馆，那可是我这辈子的追求。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	商人	客官您买点什么？假一赔十！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
