Id	Desc	OffLineExp	OffLineExpLimit	DailyOffLineExpLimit
INT	STRING	INT	INT	INT
#MAX_ID=40960;MAX_RECORD=8192;TableType=Hash;				
#ID	程序不读	单位离线时间（半小时）补偿的离线经验	等级离线经验存储上限	每日离线经验获取上限
0		0	0	0
1		5400	907200	129600
2		7200	1209600	172800
3		9000	1512000	216000
4		10800	1814400	259200
5		12600	2116800	302400
6		14400	2419200	345600
7		16200	2721600	388800
8		18000	3024000	432000
9		19800	3326400	475200
10		21600	3628800	518400
11		23400	3931200	561600
12		25200	4233600	604800
13		27000	4536000	648000
14		28800	4838400	691200
15		30600	5140800	734400
16		32400	5443200	777600
17		34200	5745600	820800
18		36000	6048000	864000
19		37800	6350400	907200
20		39600	6652800	950400
21		41400	6955200	993600
22		43200	7257600	1036800
23		45000	7560000	1080000
24		46800	7862400	1123200
25		48600	8164800	1166400
26		50400	8467200	1209600
27		52200	8769600	1252800
28		54000	9072000	1296000
29		55800	9374400	1339200
30		57600	9676800	1382400
31		59400	9979200	1425600
32		61200	10281600	1468800
33		63000	10584000	1512000
34		64800	10886400	1555200
35		66600	11188800	1598400
36		68400	11491200	1641600
37		70200	11793600	1684800
38		72000	12096000	1728000
39		73800	12398400	1771200
40		75600	12700800	1814400
41		77400	13003200	1857600
42		79200	13305600	1900800
43		81000	13608000	1944000
44		82800	13910400	1987200
45		84600	14212800	2030400
46		86400	14515200	2073600
47		88200	14817600	2116800
48		90000	15120000	2160000
49		91800	15422400	2203200
50		93600	15724800	2246400
51		95400	16027200	2289600
52		97200	16329600	2332800
53		99000	16632000	2376000
54		100800	16934400	2419200
55		102600	17236800	2462400
56		104400	17539200	2505600
57		106200	17841600	2548800
58		108000	18144000	2592000
59		109800	18446400	2635200
60		111600	18748800	2678400
61		113400	19051200	2721600
62		115200	19353600	2764800
63		117000	19656000	2808000
64		118800	19958400	2851200
65		120600	20260800	2894400
66		122400	20563200	2937600
67		124200	20865600	2980800
68		126000	21168000	3024000
69		127800	21470400	3067200
70		129600	21772800	3110400
71		131400	22075200	3153600
72		133200	22377600	3196800
73		135000	22680000	3240000
74		136800	22982400	3283200
75		138600	23284800	3326400
76		140400	23587200	3369600
77		142200	23889600	3412800
78		144000	24192000	3456000
79		145800	24494400	3499200
80		147600	24796800	3542400
81		149400	25099200	3585600
82		151200	25401600	3628800
83		153000	25704000	3672000
84		154800	26006400	3715200
85		156600	26308800	3758400
86		158400	26611200	3801600
87		160200	26913600	3844800
88		162000	27216000	3888000
89		163800	27518400	3931200
90		165600	27820800	3974400
91		167400	28123200	4017600
92		169200	28425600	4060800
93		171000	28728000	4104000
94		172800	29030400	4147200
95		174600	29332800	4190400
96		176400	29635200	4233600
97		178200	29937600	4276800
98		180000	30240000	4320000
99		181800	30542400	4363200
100		183600	30844800	4406400
