Id	Desc	SceneID	DataID	PosX	PosZ	FaceDirection
INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT
#MAX_ID=4999;MAX_RECORD=5000;TableType=Hash;						
#唯一标示	描述，策划维护，此列程序不读	所属场景	DataID	位置X	位置Z	Npc朝向(弧度数值)
0	野狼	1	15	77.99	59.65	0
1	野狼	1	15	67.34	58.31	0
2	野狼	1	15	59.74	60.14	0
3	野狼	1	15	83.75	50.49	0
4	野狼	1	15	75.61	58.45	0
5	野狼	1	15	62.51	57.84	0
6	野狼	1	15	64.48	60.91	0
7	野狼	1	15	61.63	63.1	0
8	裁缝	1	9	81.04	66	-1.14
9	商人	1	14	64.49	33.27	-2.21
10	节日	1	12	59.17	19.55	-0.83
11	彪形大汉	1	8	54.05	32.17	-0.93
12	褚万里	1	7	48	11	-0.47
13	朱丹臣	1	6	42.27	22.57	0
14	野狼	1	15	84.38	56.23	0
15	野狼	1	15	80.91	59.79	0
16	野狼	1	15	85.67	52.81	0
17	野狼	1	15	80.9	56.44	0
18	野狼	1	15	74.96	61.98	0
19	野狼	1	15	70.89	60.06	0
20	店小二	1	187	49.87	28.58	-1.07
21	豺	1	186	13.64	66.27	0
22	豺	1	186	14.08	63.62	0
23	豺	1	186	16.84	65.07	0
24	豺	1	186	15.46	72.78	0
25	豺	1	186	19.31	68.51	0
26	豺	1	186	15.8	68.05	0
27	豺	1	186	13.64	66.27	0
28	豺	1	186	14.08	63.62	0
29	豺	1	186	16.84	65.07	0
30	豺	1	186	15.46	72.78	0
31	豺	1	186	19.31	68.51	0
32	豺	1	186	15.8	68.05	0
33	剑宗弟子	2	36	34.8	20.22	0
34	剑宗弟子	2	36	32.54	19.02	0
35	剑宗弟子	2	36	34.2	17.28	0
36	剑宗弟子	2	36	36.77	21.82	0
37	剑宗弟子	2	36	38.62	20.68	0
38	神农帮喽啰	2	37	53.9	23.58	0
39	神农帮喽啰	2	37	58.09	20.74	0
40	神农帮喽啰	2	37	57.99	24.63	0
41	神农帮喽啰	2	37	57.06	26.58	0
42	神农帮喽啰	2	37	57.02	16.32	0
43	神农帮喽啰	2	37	53.49	21.3	0
44	神农帮喽啰	2	37	55.3	19.05	0
45	神农帮喽啰	2	37	55.03	25.49	0
46	神农帮喽啰	2	37	56.61	22.65	0
47	野狼	2	38	31.01	52.29	0
48	野狼	2	38	27.38	49.33	0
49	野狼	2	38	28.63	56.68	0
50	野狼	2	38	32.82	56.45	0
51	野狼	2	38	14.79	27.62	0
52	野狼	2	38	9.95	35.61	0
53	野狼	2	38	12.26	32.2	0
54	野狼	2	38	8.57	29.85	0
55	剑宗弟子	2	36	30.75	9.64	0
56	剑宗弟子	2	36	27.53	8.26	0
57	剑宗弟子	2	36	29.9	6.29	0
58	剑宗弟子	2	36	24.24	8.38	0
59	剑宗弟子	2	36	25.24	5.88	0
60	剑宗弟子	2	36	34.25	8.2	0
61	剑宗弟子	2	36	32.68	5.85	0
62	剑宗弟子	2	36	25.54	10.59	0
63	神农帮喽啰	2	37	45.35	47.82	0
