Index	Desc	SkillId	Profession	Level	SKillIndex
INT	STRING	INT	INT	INT	INT
#MAX_ID=50;MAX_RECORD=50;TableType=Index;					
#本行程序不读 索引	描述	技能ID 	需求职业	需求等级	技能编号
1	少林普通攻击	10101	0	1	0
2	金刚伏魔	10201	0	13	1
3	罗汉棍	10301	0	2	2
4	摩诃无量	10401	0	10	3
5	迦叶功	10501	0	17	4
6	韦陀杵	10601	0	28	5
7	金钟罩	10701	0	40	6
8	狮吼功	10801	0	50	7
9	天山普通攻击	20101	1	1	0
10	八荒六合	20201	1	13	1
11	天山折梅手	20301	1	2	2
12	天山六阳掌	20401	1	10	3
13	移花接木	20501	1	17	4
14	生死符	20601	1	28	5
15	隐遁	20701	1	40	6
16	雪花六出	20801	1	50	7
17	大理普通攻击	30101	2	1	0
18	暴雨梨花	30201	2	13	1
19	一阳指	30301	2	2	2
20	六脉神剑	30401	2	10	3
21	流星赶月	30501	2	17	4
22	画地为牢	30601	2	28	5
23	以退为进	30701	2	40	6
24	无所遁形	30801	2	50	7
25	逍遥普通攻击	40101	3	1	0
26	毁天灭地	40201	3	13	1
27	小无相功	40301	3	2	2
28	祝融掌	40401	3	10	3
29	北冥神功	40501	3	17	4
30	寒霜怒雪	40601	3	28	5
31	凌波微步	40701	3	40	6
32	寒冰镜	40801	3	50	7
