Id	Desc	Name	IsShowSkillName	IsAutoSelectTar	IsMoveToTarInAutoCombat	Icon 	ProfessionId	IsNeedWeapon	PriorityAutoFight	SkillClass	UseType	IsMove	IsMoveBreak	IsSkillBreak	IsBreakBeAttacked	TargetType	SelLogic	IsPlayAttackSound	IsNeedStopEffectId
INT	STRING	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1000;MAX_RECORD=1000;TableType=Hash;																			
#本行程序不读 技能ID	描述	技能名称	是否显示技能名字	是否自动选择目标(只针对玩家技能有效)	是否需要在挂机中向目标移动(只针对玩家技能有效)	图标	职业（0少林 1天山 2大理 3逍遥）	是否需要武器	挂机时使用的优先级（只对玩家生效 优先级从1 开始 数字越大表示优先级越高）	技能类型（1主动 2被动 4自动连续技 8XP技 16冲锋技 32读条技 64师门技能 128加持技能)（同时符合两种或以上 累加）	施放类型（0瞬发 1吟唱 2被动）	释放时是否可以移动	移动是否打断	是否可以被其他技能打断	受攻击是否打断	目标类型（1 自己 2队友 4敌人 8右方 16主人）	选择逻辑（0单体 1群体 2自身 ）	是否附加攻击音效	技能结束时需要停止的特效（针对于那些带持续循环的技能特效 防止特效因为异常而没有停掉）
1	无	蛤蟆普攻	0	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
2	无	麻痹	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
3	无	泰山压顶	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
100	无	怪物普攻	0	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
101	无	少林普攻	0	1	1	attack01	0	1	2	5	0	0	1	1	0	4	0	1	-1
102	无	金刚伏魔	1	0	1	JinGangFuMo	0	1	3	9	0	0	0	0	0	4	2	0	6
103	无	罗汉棍	1	1	1	LuoHanGun	0	1	2	1	0	0	0	1	0	4	0	0	-1
104	无	摩诃无量	1	0	1	MoKeWuLiang	0	1	3	33	0	1	0	1	0	4	1	1	5
105	无	迦叶功	1	1	1	JiaYeGong	0	1	-1	17	0	0	0	0	0	4	0	0	-1
106	无	韦陀杵	1	0	1	WeiTuoChu	0	1	1	1	0	0	0	1	0	4	1	0	-1
107	无	金钟罩	1	0	0	JinZhongZhao	0	1	1	1	0	0	0	1	0	1	2	0	-1
108	无	狮吼功	1	0	0	ShiHouGong	0	1	1	1	0	0	0	1	0	4	1	0	-1
201	无	天山普攻	0	1	1	attack01	1	1	2	5	0	0	1	1	0	4	0	1	-1
202	无	八荒六合	1	0	1	BaHuangLiuHe	1	1	3	9	0	0	0	0	0	4	2	0	25
203	无	阳歌天钧	1	1	1	TianShanZheMeiShou	1	1	2	1	0	0	0	1	0	4	0	0	-1
204	无	阳关三叠	1	0	1	TianShanLiuYangZhang	1	1	3	1	0	0	0	0	0	4	1	0	-1
205	无	移花接木	1	1	1	YiHuaJieMu	1	1	-1	17	0	0	0	0	0	4	0	0	-1
206	无	生死符	1	0	1	ShengSiFu	1	1	-1	1	0	0	0	1	0	4	1	0	-1
207	无	隐遁	1	0	0	YinDun	1	1	-1	1	0	0	0	1	0	1	2	0	-1
