SkillExID	Desc	BaseId	SkillDesc	level	CombatValue	SkillLogic	LogicParam01	LogicParam02	LogicParam03	LogicParam04	RefixThreat	Radius	CDTimeId	SkillDelayTime	SkillContinueTime	YinChangTime	DelType_01	DelNum_01	DelType_02	DelNum_02	GainsType_01	GainsNum_01	GainsType_02	GainsNum_02	NextSkillId	Impact_01	Impact_2	Impact_03	Impact_04	Impact_05	Impact_06	SatrtMotionId	EndMotionId	CameraRockId	CameraRockRate	SceneEffectId	BulletEffectID_01	BulletEffectID_02	BulletEffectID_03	RangeEffectType	RangeEffectTarType	RangeEffectSize01	RangeEffectSize02
INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=500;TableType=Hash;																																											
#程序不读 ID	描述	对应SkillBaseId	技能描述	技能等级	战斗力评分	技能逻辑ID	逻辑参数1	逻辑参数2	逻辑参数3	逻辑参数4	仇恨值修正	范围半径	CDTimeId	技能延迟生效时间（毫秒）	技能持续时间（毫秒）	吟唱时间(单位:毫秒)	消耗1类型（101 血值 102 血百分比 201蓝值 202蓝百分比 301战意值 302战意百分比 401金币）	消耗1数值	消耗2类型（101 血值 102 血百分比 201蓝值 202蓝百分比 301战意值 302战意百分比 401金币）	消耗2数值	收益1类型（101 血值 102 血百分比 201蓝值 202蓝百分比 301战意值 302战意百分比）	收益1数值	收益2类型（101 血值 102 血百分比 201蓝值 202蓝百分比 301战意值 302战意百分比）	收益2数值	下一个技能	效果1ID	效果2ID	效果3ID	效果4ID	效果5ID	效果6ID	起始动作ID	终止动作ID	震屏ID	震屏权重	技能全屏特效ID	子弹1特效ID	子弹2特效ID	子弹3特效ID	范围特效类型（-1 无需求 0 环形 1圆形 2矩形 3箭头）	范围特效的目标类型（-1 无需求 0自身 1目标对象）	范围特效大小1(圆的半径 环的外圆半径 矩形的长 箭头的朝向（180表示正前方） )	范围特效大小2（矩形的宽）
10000	怪物普攻	100	怪物普攻	1	0	0	-1	-1	-1	-1	0	2	0	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	7001	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10001	蛤蟆普攻	1	蛤蟆普攻	1	0	0	-1	-1	-1	-1	0	2	0	0	1233	0	-1	0	-1	0	-1	0	-1	0	-1	7002	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10002	麻痹	2	蛤蟆麻痹带伤害	1	0	0	-1	-1	-1	-1	0	2	46	0	1233	0	-1	0	-1	0	-1	0	-1	0	-1	7002	87001	-1	-1	-1	-1	88	88	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10003	怪物远程普攻	100	怪物远程普攻	1	0	0	-1	-1	-1	-1	0	10	0	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	7001	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10004	燕子坞分身	904	特殊普攻	1	0	0	-1	-1	-1	-1	0	2	0	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	7001	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10005	雁门关BOSS	905	斗转星移	1	0	0	-1	-1	-1	-1	0	20	102	0	2400	0	-1	0	-1	0	-1	0	-1	0	-1	7020	187002	7021	7022	-1	-1	139	139	16	100	-1	-1	-1	-1	-1	-1	-1	-1
10006	雁门关BOSS-普攻	100	怪物普攻	1	0	0	-1	-1	-1	-1	0	2	0	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	7001	-1	-1	-1	-1	-1	140	140	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10007	泰山压顶	3	藏经阁BOSS晕眩技能	1	0	0	-1	-1	-1	-1	0	5	128	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	87004	-1	-1	-1	-1	-1	164	164	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10101	少林普攻	101	攻击单个近身敌人，每秒造成[a2ff00]100%[-]外功攻击伤害。自动连续攻击。	1	0	2	-1	-1	-1	-1	0	2	1	0	1933	0	-1	0	-1	0	301	1	-1	0	10101	101101	-1	-1	-1	-1	-1	2	4	2	100	-1	-1	-1	-1	-1	-1	-1	-1
10201	金刚伏魔	102	以易筋经激发的少林绝技。嘲讽全屏范围内所有敌人，挥舞武器击地，造成等同于其生命上限的伤害。对BOSS和玩家无效。	1	0	8	-1	-1	-1	-1	0	10	15	0	3134	0	302	100	-1	0	-1	0	-1	0	-1	21201	21202	-1	-1	-1	-1	7	8	1	100	44	-1	-1	-1	-1	-1	-1	-1
10301	罗汉棍	103	达摩祖师所创棍法，刚猛无敌。攻击单个近身敌人，立即造成[a2ff00]200%[-]外功攻击伤害。	1	730	0	-1	-1	-1	-1	0	2	2	0	1500	0	201	10	-1	0	301	5	-1	0	10101	1501	-1	-1	-1	-1	-1	5	5	3	100	-1	-1	-1	-1	-1	-1	-1	-1
10302	罗汉棍	103	达摩祖师所创棍法，刚猛无敌。攻击单个近身敌人，立即造成[a2ff00]210%[-]外功攻击伤害。	2	890	0	-1	-1	-1	-1	0	2	2	0	1500	0	201	20	-1	0	301	5	-1	0	10101	1502	-1	-1	-1	-1	-1	5	5	3	100	-1	-1	-1	-1	-1	-1	-1	-1
10303	罗汉棍	103	达摩祖师所创棍法，刚猛无敌。攻击单个近身敌人，立即造成[a2ff00]220%[-]外功攻击伤害。	3	1050	0	-1	-1	-1	-1	0	2	2	0	1500	0	201	30	-1	0	301	5	-1	0	10101	1503	-1	-1	-1	-1	-1	5	5	3	100	-1	-1	-1	-1	-1	-1	-1	-1
10304	罗汉棍	103	达摩祖师所创棍法，刚猛无敌。攻击单个近身敌人，立即造成[a2ff00]230%[-]外功攻击伤害。	4	1220	0	-1	-1	-1	-1	0	2	2	0	1500	0	201	40	-1	0	301	5	-1	0	10101	1504	-1	-1	-1	-1	-1	5	5	3	100	-1	-1	-1	-1	-1	-1	-1	-1
