Id	Desc	Profession	Level	NeedSkillId	NextSkillId	NeedConsume	NeedCoin
INT	STRING	INT	INT	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=500;TableType=Hash;							
#本行程序不读 技能ID	描述	需要的职业	需要的等级	需要学会的技能	下一级技能	需要消耗的真气	需要消耗的金币
10301	罗汉棍	0	2	10301	10302	462	500
10302	罗汉棍	0	15	10302	10303	942	1600
10303	罗汉棍	0	30	10303	10304	12166	11600
10304	罗汉棍	0	54	10304	10305	15317	44100
10305	罗汉棍	0	63	10305	10306	21041	98000
10306	罗汉棍	0	69	10306	10307	23799	173200
10307	罗汉棍	0	75	10307	10308	29090	269700
10308	罗汉棍	0	81	10308	10309	38275	387700
10309	罗汉棍	0	86	10309	10310	45174	527000
10310	罗汉棍	0	89	10310	-1	0	0
10401	摩诃无量	0	10	10401	10402	541	800
10402	摩诃无量	0	20	10402	10403	2033	3000
10403	摩诃无量	0	39	10403	10404	12769	15600
10404	摩诃无量	0	56	10404	10405	15885	51600
10405	摩诃无量	0	64	10405	10406	22437	120700
10406	摩诃无量	0	71	10406	10407	24586	203000
10407	摩诃无量	0	77	10407	10408	31628	306700
10408	摩诃无量	0	83	10408	10409	40384	431700
10409	摩诃无量	0	87	10409	10410	49854	578200
10410	摩诃无量	0	90	10410	-1	0	0
10501	迦叶功	0	17	10501	10502	667	900
10502	迦叶功	0	25	10502	10503	3151	3400
10503	迦叶功	0	42	10503	10504	14117	25200
10504	迦叶功	0	60	10504	10505	17805	68400
10505	迦叶功	0	66	10505	10506	22706	132900
10506	迦叶功	0	72	10506	10507	26140	218800
10507	迦叶功	0	78	10507	10508	33468	326000
10508	迦叶功	0	84	10508	10509	40510	454700
10509	迦叶功	0	87	10509	10510	52266	604600
10510	迦叶功	0	90	10510	-1	0	0
10601	韦陀杵	0	28	10601	10602	1264	1900
10602	韦陀杵	0	35	10602	10603	5144	5600
10603	韦陀杵	0	48	10603	10604	14863	30900
10604	韦陀杵	0	61	10604	10605	18836	77600
10605	韦陀杵	0	67	10605	10606	23022	145700
10606	韦陀杵	0	73	10606	10607	26743	235200
10607	韦陀杵	0	79	10607	10608	34356	346000
10608	韦陀杵	0	85	10608	10609	42684	478200
10609	韦陀杵	0	88	10609	10610	54725	631700
10610	韦陀杵	0	91	10610	-1	0	0
10701	金钟罩	0	40	10701	10702	4059	5000
10702	金钟罩	0	45	10702	10703	8104	7600
10703	金钟罩	0	50	10703	10704	15176	37200
10704	金钟罩	0	62	10704	10705	19915	87500
10705	金钟罩	0	68	10705	10706	23387	159100
10706	金钟罩	0	74	10706	10707	28393	252200
10707	金钟罩	0	80	10707	10708	37292	366500
10708	金钟罩	0	85	10708	10709	44905	502300
10709	金钟罩	0	88	10709	10710	57231	659400
10710	金钟罩	0	91	10710	-1	0	0
10801	狮吼功	0	50	10801	10802	9611	8300
10802	狮吼功	0	52	10802	10803	13419	20100
10803	狮吼功	0	58	10803	10804	16821	59700
10804	狮吼功	0	65	10804	10805	21215	109000
10805	狮吼功	0	70	10805	10806	24078	187800
10806	狮吼功	0	76	10806	10807	29835	287900
10807	狮吼功	0	82	10807	10808	39306	409400
10808	狮吼功	0	86	10808	10809	47490	552300
10809	狮吼功	0	89	10809	10810	59786	687600
10810	狮吼功	0	92	10810	-1	0	0
20301	阳歌天钧	1	2	20301	20302	462	500
20302	阳歌天钧	1	15	20302	20303	942	1600
20303	阳歌天钧	1	30	20303	20304	12166	11600
20304	阳歌天钧	1	54	20304	20305	15317	44100
20305	阳歌天钧	1	63	20305	20306	21041	98000
20306	阳歌天钧	1	69	20306	20307	23799	173200
20307	阳歌天钧	1	75	20307	20308	29090	269700
20308	阳歌天钧	1	81	20308	20309	38275	387700
20309	阳歌天钧	1	86	20309	20310	45174	527000
20310	阳歌天钧	1	89	20310	-1	0	0
20401	阳关三叠	1	10	20401	20402	541	800
20402	阳关三叠	1	20	20402	20403	2033	3000
20403	阳关三叠	1	39	20403	20404	12769	15600
20404	阳关三叠	1	56	20404	20405	15885	51600
20405	阳关三叠	1	64	20405	20406	22437	120700
20406	阳关三叠	1	71	20406	20407	24586	203000
20407	阳关三叠	1	77	20407	20408	31628	306700
20408	阳关三叠	1	83	20408	20409	40384	431700
20409	阳关三叠	1	87	20409	20410	49854	578200
20410	阳关三叠	1	90	20410	-1	0	0
20501	移花接木	1	17	20501	20502	667	900
20502	移花接木	1	25	20502	20503	3151	3400
20503	移花接木	1	42	20503	20504	14117	25200
20504	移花接木	1	60	20504	20505	17805	68400
20505	移花接木	1	66	20505	20506	22706	132900
20506	移花接木	1	72	20506	20507	26140	218800
20507	移花接木	1	78	20507	20508	33468	326000
20508	移花接木	1	84	20508	20509	40510	454700
20509	移花接木	1	87	20509	20510	52266	604600
20510	移花接木	1	90	20510	-1	0	0
20601	生死符	1	28	20601	20602	1264	1900
20602	生死符	1	35	20602	20603	5144	5600
20603	生死符	1	48	20603	20604	14863	30900
20604	生死符	1	61	20604	20605	18836	77600
20605	生死符	1	67	20605	20606	23022	145700
20606	生死符	1	73	20606	20607	26743	235200
20607	生死符	1	79	20607	20608	34356	346000
20608	生死符	1	85	20608	20609	42684	478200
20609	生死符	1	88	20609	20610	54725	631700
20610	生死符	1	91	20610	-1	0	0
20701	隐遁	1	40	20701	20702	4059	5000
20702	隐遁	1	45	20702	20703	8104	7600
20703	隐遁	1	50	20703	20704	15176	37200
20704	隐遁	1	62	20704	20705	19915	87500
20705	隐遁	1	68	20705	20706	23387	159100
20706	隐遁	1	74	20706	20707	28393	252200
20707	隐遁	1	80	20707	20708	37292	366500
20708	隐遁	1	85	20708	20709	44905	502300
20709	隐遁	1	88	20709	20710	57231	659400
20710	隐遁	1	91	20710	-1	0	0
20801	雪花六出	1	50	20801	20802	9611	8300
20802	雪花六出	1	52	20802	20803	13419	20100
20803	雪花六出	1	58	20803	20804	16821	59700
20804	雪花六出	1	65	20804	20805	21215	109000
20805	雪花六出	1	70	20805	20806	24078	187800
20806	雪花六出	1	76	20806	20807	29835	287900
20807	雪花六出	1	82	20807	20808	39306	409400
20808	雪花六出	1	86	20808	20809	47490	552300
20809	雪花六出	1	89	20809	20810	59786	687600
20810	雪花六出	1	92	20810	-1	0	0
30301	一阳指	2	2	30301	30302	462	500
30302	一阳指	2	15	30302	30303	942	1600
30303	一阳指	2	30	30303	30304	12166	11600
30304	一阳指	2	54	30304	30305	15317	44100
30305	一阳指	2	63	30305	30306	21041	98000
30306	一阳指	2	69	30306	30307	23799	173200
30307	一阳指	2	75	30307	30308	29090	269700
30308	一阳指	2	81	30308	30309	38275	387700
30309	一阳指	2	86	30309	30310	45174	527000
30310	一阳指	2	89	30310	-1	0	0
30401	六脉神剑	2	10	30401	30402	541	800
30402	六脉神剑	2	20	30402	30403	2033	3000
30403	六脉神剑	2	39	30403	30404	12769	15600
30404	六脉神剑	2	56	30404	30405	15885	51600
30405	六脉神剑	2	64	30405	30406	22437	120700
30406	六脉神剑	2	71	30406	30407	24586	203000
30407	六脉神剑	2	77	30407	30408	31628	306700
30408	六脉神剑	2	83	30408	30409	40384	431700
30409	六脉神剑	2	87	30409	30410	49854	578200
30410	六脉神剑	2	90	30410	-1	0	0
30501	流星赶月	2	17	30501	30502	667	900
30502	流星赶月	2	25	30502	30503	3151	3400
30503	流星赶月	2	42	30503	30504	14117	25200
30504	流星赶月	2	60	30504	30505	17805	68400
30505	流星赶月	2	66	30505	30506	22706	132900
30506	流星赶月	2	72	30506	30507	26140	218800
30507	流星赶月	2	78	30507	30508	33468	326000
30508	流星赶月	2	84	30508	30509	40510	454700
30509	流星赶月	2	87	30509	30510	52266	604600
30510	流星赶月	2	90	30510	-1	0	0
30601	画地为牢	2	28	30601	30602	1264	1900
30602	画地为牢	2	35	30602	30603	5144	5600
30603	画地为牢	2	48	30603	30604	14863	30900
30604	画地为牢	2	61	30604	30605	18836	77600
30605	画地为牢	2	67	30605	30606	23022	145700
30606	画地为牢	2	73	30606	30607	26743	235200
30607	画地为牢	2	79	30607	30608	34356	346000
30608	画地为牢	2	85	30608	30609	42684	478200
30609	画地为牢	2	88	30609	30610	54725	631700
30610	画地为牢	2	91	30610	-1	0	0
30701	以退为进	2	40	30701	30702	4059	5000
30702	以退为进	2	45	30702	30703	8104	7600
30703	以退为进	2	50	30703	30704	15176	37200
30704	以退为进	2	62	30704	30705	19915	87500
30705	以退为进	2	68	30705	30706	23387	159100
30706	以退为进	2	74	30706	30707	28393	252200
30707	以退为进	2	80	30707	30708	37292	366500
30708	以退为进	2	85	30708	30709	44905	502300
30709	以退为进	2	88	30709	30710	57231	659400
30710	以退为进	2	91	30710	-1	0	0
30801	无所遁形	2	50	30801	30802	9611	8300
30802	无所遁形	2	52	30802	30803	13419	20100
30803	无所遁形	2	58	30803	30804	16821	59700
