Id	Desc	CharModelId	StealthLev	IsOwnerCanSee	IsActivateCanSee	IsDelOwnerLeave	AliveEffectId1	AliveEffectId2	AliveEffectId3	AliveSoundId1	AliveSoundId2	AliveSoundId3	ActivateEffectId	ActivateSound	DeadEffectId	DeadSound	LifeTime	DelayTime	ActivateModel	ActivateRadius	TargetType	BUffIndex1	BUffIndex2	BUffIndex3	BUffIndex4	BUffIndex5	BUffIndex6
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1000;MAX_RECORD=1000;TableType=Index;																											
#陷阱ID	描述	CharModel Id	隐身级别（0表示 所有玩家都可以看见 不隐身）	是否主人可见	是否被触发后可见	主人离开场景是否消失	生存期特效1	生存期特效2	生存期特效3	生存期音效1	生存期音效2	生存期音效3	激活时特效	激活时音效	死亡时特下	死亡时音效	生存时间（单位:毫秒 -1表示永久存在）	延迟生效时间（单位:毫秒）	激活方式（1 延迟时间到并且扫描到指定目标激活 2延迟时间一到就激活，无需扫描到指定目标）	触发半径（针对于激活方式1 有效）	目标类型（-1 所有目标1 自己 2队友 4敌人）	BUFF1索引（对应SnareObjBuffInfo表索引）	BUFF2索引（对应SnareObjBuffInfo表索引）	BUFF3索引（对应SnareObjBuffInfo表索引）	BUFF4索引（对应SnareObjBuffInfo表索引）	BUFF5索引（对应SnareObjBuffInfo表索引）	BUFF6索引（对应SnareObjBuffInfo表索引）
1	画地为牢1级陷阱	91	1	1	1	0	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	10000	500	1	3	4	1	11	-1	-1	-1	-1
2	画地为牢2级陷阱	91	1	1	1	0	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	10000	500	1	3	4	2	12	-1	-1	-1	-1
3	画地为牢3级陷阱	91	1	1	1	0	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	10000	500	1	3	4	3	13	-1	-1	-1	-1
4	画地为牢4级陷阱	91	1	1	1	0	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	10000	500	1	3	4	4	14	-1	-1	-1	-1
5	画地为牢5级陷阱	91	1	1	1	0	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	10000	500	1	3	4	5	15	-1	-1	-1	-1
6	画地为牢6级陷阱	91	1	1	1	0	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	10000	500	1	3	4	6	16	-1	-1	-1	-1
7	画地为牢7级陷阱	91	1	1	1	0	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	10000	500	1	3	4	7	17	-1	-1	-1	-1
8	画地为牢8级陷阱	91	1	1	1	0	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	10000	500	1	3	4	8	18	-1	-1	-1	-1
9	画地为牢9级陷阱	91	1	1	1	0	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	10000	500	1	3	4	9	19	-1	-1	-1	-1
10	画地为牢10级陷阱	91	1	1	1	0	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	10000	500	1	3	4	10	20	-1	-1	-1	-1
11	六脉神剑1级陷阱	91	0	1	1	0	136	99	-1	-1	-1	-1	-1	-1	-1	-1	2100	0	2	-1	4	21	31	-1	-1	-1	-1
12	六脉神剑2级陷阱	91	0	1	1	0	136	99	-1	-1	-1	-1	-1	-1	-1	-1	2100	0	2	-1	4	22	32	-1	-1	-1	-1
13	六脉神剑3级陷阱	91	0	1	1	0	136	99	-1	-1	-1	-1	-1	-1	-1	-1	2100	0	2	-1	4	23	33	-1	-1	-1	-1
14	六脉神剑4级陷阱	91	0	1	1	0	136	99	-1	-1	-1	-1	-1	-1	-1	-1	2100	0	2	-1	4	24	34	-1	-1	-1	-1
15	六脉神剑5级陷阱	91	0	1	1	0	136	99	-1	-1	-1	-1	-1	-1	-1	-1	2100	0	2	-1	4	25	35	-1	-1	-1	-1
16	六脉神剑6级陷阱	91	0	1	1	0	136	99	-1	-1	-1	-1	-1	-1	-1	-1	2100	0	2	-1	4	26	36	-1	-1	-1	-1
17	六脉神剑7级陷阱	91	0	1	1	0	136	99	-1	-1	-1	-1	-1	-1	-1	-1	2100	0	2	-1	4	27	37	-1	-1	-1	-1
18	六脉神剑8级陷阱	91	0	1	1	0	136	99	-1	-1	-1	-1	-1	-1	-1	-1	2100	0	2	-1	4	28	38	-1	-1	-1	-1
19	六脉神剑9级陷阱	91	0	1	1	0	136	99	-1	-1	-1	-1	-1	-1	-1	-1	2100	0	2	-1	4	29	39	-1	-1	-1	-1
20	六脉神剑10级陷阱	91	0	1	1	0	136	99	-1	-1	-1	-1	-1	-1	-1	-1	2100	0	2	-1	4	30	40	-1	-1	-1	-1
