Id	Desc	Name	FullPathName	PanLevel	Volume	MinDistance	Spread	IsLoop	Delay	FadeInTime	FadeOutTime	CurMaxPlayingCount	Priority
INT	STRING	STRING	STRING	FLOAT	FLOAT	FLOAT	FLOAT	BOOL	FLOAT	FLOAT	FLOAT	SHORT	SHORT
#													
#声音唯一标示	描述	声音名称	路径名称	通道的3D效果等级	音量	在此值内声音会保持响亮，增加该值，声音会更加响亮（1~100）	设置多声道声音	是否循环播放	播放延时（秒）	淡入时间（填写-1无淡入），只对场景背景音乐有效	淡出时间（填写-1无淡出），只对场景背景音乐有效	当前最大同时播放个数，对场景背景音乐无效	播放优先级
0	怪物受击(大理)	attack_jian	Sounds/Skill/attack_jian	0.5	1	20	180	0	0	-1	-1	2	128
1	大理惨叫	attack1_dali	Sounds/Skill/attack2_dali	0.5	1	20	180	0	0	-1	-1	1	128
2	怪物受击(天山)	attack1_dao	Sounds/Skill/attack1_dao	0.5	1	20	180	0	0	-1	-1	2	128
3	怪物受击(逍遥)	attack1_fu	Sounds/Skill/attack1_fu	0.5	1	20	180	0	0	-1	-1	2	128
4	怪物受击(少林)	attack1_gun	Sounds/Skill/attack1_gun	0.5	1	20	180	0	0	-1	-1	2	128
5	少林惨叫	attack1_shaolin	Sounds/Skill/attack1_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
6	天山惨叫	attack1_tianshan	Sounds/Skill/attack2_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
7	逍遥惨叫	attack1_xiaoyao	Sounds/Skill/attack_xiaoyao2	0.5	1	20	180	0	0	-1	-1	1	128
8	取消通用按钮	cancle	Sounds/Common/cancle	0.5	1	20	180	0	0	-1	-1	1	128
9	采集	collect	Sounds/Common/collect	0.5	1	20	180	0	0	-1	-1	1	128
10	主角受击	common_hurt	Sounds/Skill/common_hurt	0.5	1	20	180	0	0	-1	-1	1	128
11	大理死亡音效	dead_dali	Sounds/Skill/dead_dali	0.5	1	20	180	0	0	-1	-1	1	128
12	怪物死亡(年轻女性（苗女等）)	dead_female1	Sounds/Skill/dead_female1	0.5	1	20	180	0	0	-1	-1	1	128
13	怪物死亡(年轻女性（苗女等）)	dead_female2	Sounds/Skill/dead_female2	0.5	1	20	180	0	0	-1	-1	1	128
14	怪物死亡(年轻男性（江湖邪士兵等）)	dead_male1	Sounds/Skill/dead_male1	0.5	1	20	180	0	0	-1	-1	1	128
15	怪物死亡(年轻男性（江湖邪士兵等）)	dead_male2	Sounds/Skill/dead_male2	0.5	1	20	180	0	0	-1	-1	1	128
16	怪物死亡(年轻男性（江湖邪士兵等）)	dead_male3	Sounds/Skill/dead_male3	0.5	1	20	180	0	0	-1	-1	1	128
17	少林死亡音效	dead_shaolin	Sounds/Skill/dead_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
18	天山死亡音效	dead_tianshan	Sounds/Skill/dead_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
19	逍遥死亡音效	dead_xiaoyao	Sounds/Skill/dead_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
20	怪物死亡(兽类)	dead_yeguai	Sounds/Skill/dead_yeguai	0.5	1	20	180	0	0	-1	-1	1	128
21	操作失败的声音	fail_error	Sounds/Common/fail_error	0.5	1	20	180	0	0	-1	-1	1	128
22	通用脚步声	footsteps	Sounds/Common/footsteps	0.5	0.4	20	180	0	0	-1	-1	1	128
23	马的脚步声	footsteps_ma	Sounds/Common/footsteps_ma	0.5	0.4	20	180	0	0	-1	-1	1	128
24	天山脚步声	footsteps_tianshan	Sounds/Common/footsteps_tianshan	0.5	0.4	20	180	0	0	-1	-1	1	128
25	棋子死亡音效	glass_broke1	Sounds/Skill/glass_broke1	0.5	1	20	180	0	0	-1	-1	1	128
26	棋子死亡音效	glass_broke2	Sounds/Skill/glass_broke2	0.5	1	20	180	0	0	-1	-1	1	128
27	棋子死亡音效	glass_broke3	Sounds/Skill/glass_broke3	0.5	1	20	180	0	0	-1	-1	1	128
28	强化音效	intensify	Sounds/UI/intensify	0.5	1	20	180	0	0	-1	-1	4	128
29	操作失败的声音	msg	Sounds/Common/msg	0.5	1	20	180	0	0	-1	-1	1	128
30	召唤宠物	pet_call	Sounds/Common/pet_call	0.5	1	20	180	0	0	-1	-1	1	128
31	掉落拾取-金币	pickup_coin	Sounds/Common/pickup_coin	0.5	0.4	20	180	0	0	-1	-1	1	128
32	掉落拾取-物品	pickup_goods	Sounds/Common/pickup_goods	0.5	0.4	20	180	0	0	-1	-1	1	128
33	藏经阁副本场景	scene_cangjingge	Sounds/SceneBG/cangjingge	0	0.5	10	180	1	0	0.5	0.5	1	128
34	敦煌场景	scene_dunhuang	Sounds/SceneBG/dunhuang	0	0.5	10	180	1	0	0.5	0.5	1	128
35	洱海场景	scene_erhai	Sounds/SceneBG/erhai	0	0.5	10	180	1	0	0.5	0.5	1	128
36	拜堂场景	scene_FB_baitang	Sounds/SceneBG/FB_baitang	0	0.5	10	180	1	0	0.5	0.5	1	128
37	聚贤庄副本场景	scene_FB_juxianzhuang	Sounds/SceneBG/FB_juxianzhuang	0	0.5	10	180	1	0	0.5	0.5	1	128
38	少室山副本场景	scene_FB_shaoshishan	Sounds/SceneBG/FB_shaoshishan	0	0.5	10	180	1	0	0.5	0.5	1	128
39	燕子坞副本场景	scene_FB_yanziwu	Sounds/SceneBG/FB_yanziwu	0	0.5	10	180	1	0	0.5	0.5	1	128
40	江湖名人录场景	scene_jianghumingrenlu	Sounds/SceneBG/jianghumingrenlu	0	0.5	10	180	1	0	0.5	0.5	1	128
41	剑湖宫场景	scene_jianhugong	Sounds/SceneBG/jianhugong	0	0.8	10	180	1	0	0.5	0.5	1	128
42	登陆场景	scene_login	Sounds/SceneBG/scene_login	0	0.7	10	180	1	0	0.5	0.5	1	128
43	角色选择场景	scene_select_character	Sounds/SceneBG/select_character	0	0.5	10	180	1	0	0.5	0.5	1	128
44	多角色选择场景	scene_selecting	Sounds/SceneBG/selecting	0	0.5	10	180	1	0	0.5	0.5	1	128
45	少室山场景	scene_shaoshishan	Sounds/SceneBG/shaoshishan	0	0.5	10	180	1	0	0.5	0.5	1	128
46	苏州场景	scene_suzhou	Sounds/SceneBG/suzhou	0	0.5	10	180	1	0	0.5	0.5	1	128
47	无量山场景	scene_wuliangshan	Sounds/SceneBG/wuliangshan	0	0.5	10	180	1	0	0.5	0.5	1	128
48	杏子林场景	scene_xingzilin	Sounds/SceneBG/xingzilin	0	0.5	10	180	1	0	0.5	0.5	1	128
49	雪原场景	scene_xueyuan	Sounds/SceneBG/xueyuan	0	0.5	10	180	1	0	0.5	0.5	1	128
50	雁门关场景	scene_yanmenguanwai	Sounds/SceneBG/yanmenguanwai	0	0.8	10	180	1	0	0.5	0.5	1	128
51	燕王古墓场景	scene_yanwanggumu	Sounds/SceneBG/yanwanggumu	0	0.5	10	180	1	0	0.5	0.5	1	128
52	雁门关外场景	scene_YW_yanmenguan	Sounds/SceneBG/YW_yanmenguan	0	0.5	10	180	1	0	0.5	0.5	1	128
53	珍珑棋局场景	scene_zhenlongqiju	Sounds/SceneBG/zhenlongqiju	0	0.5	10	180	1	0	0.5	0.5	1	128
54	大理技能-普攻1	sk1pg_dali1	Sounds/Skill/sk1pg_dali1	0.5	0.8	20	180	0	0	-1	-1	1	128
55	大理技能-普攻2	sk1pg_dali2	Sounds/Skill/sk1pg_dali2	0.5	0.8	20	180	0	0	-1	-1	1	128
56	大理技能-普攻3	sk1pg_dali3	Sounds/Skill/sk1pg_dali3	0.5	0.8	20	180	0	0	-1	-1	1	128
57	少林技能-普攻1	sk1pg_shaolin1	Sounds/Skill/sk1pg_shaolin1	0.5	1	20	180	0	0	-1	-1	1	128
58	少林技能-普攻2	sk1pg_shaolin2	Sounds/Skill/sk1pg_shaolin2	0.5	1	20	180	0	0	-1	-1	1	128
59	少林技能-普攻3	sk1pg_shaolin3	Sounds/Skill/sk1pg_shaolin3	0.5	1	20	180	0	0	-1	-1	1	128
60	天山技能-普攻1	sk1pg_tianshan1	Sounds/Skill/sk1pg_tianshan1	0.5	1	20	180	0	0	-1	-1	1	128
61	天山技能-普攻2	sk1pg_tianshan2	Sounds/Skill/sk1pg_tianshan2	0.5	1	20	180	0	0	-1	-1	1	128
62	天山技能-普攻3	sk1pg_tianshan3	Sounds/Skill/sk1pg_tianshan3	0.5	1	20	180	0	0	-1	-1	1	128
63	逍遥技能-普攻1	sk1pg_xiaoyao1	Sounds/Skill/sk1pg_xiaoyao1	0.5	1	20	180	0	0	-1	-1	1	128
64	逍遥技能-普攻2	sk1pg_xiaoyao2	Sounds/Skill/sk1pg_xiaoyao2	0.5	1	20	180	0	0	-1	-1	1	128
65	逍遥技能-普攻3	sk1pg_xiaoyao3	Sounds/Skill/sk1pg_xiaoyao3	0.5	1	20	180	0	0	-1	-1	1	128
66	天山技能-六阳掌	sk2lyz_tianshan	Sounds/Skill/sk2lyz_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
67	少林技能-群攻	sk2qg_shaolin	Sounds/Skill/sk2qg_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
68	逍遥技能-群攻-祝融掌	sk2qg_xiaoyao	Sounds/Skill/sk2qg_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
