Id	Desc	ScriptID	MissionID	ClientStoryID
INT	STRING	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;				
#id唯一标示	策划维护，程序不读	脚本ID	关联任务ID	ClientStoryTable.txt表ID
1	任务1	-1	0	1
2	任务4	-1	3	2
3	任务5	-1	4	3
4	任务18	-1	17	4
5	任务25	-1	24	5
6	任务26	-1	25	6
7	任务28	-1	27	7
8	任务33	-1	32	8
9	任务36	-1	35	9
10	剧情任务功能测试	1	0	1
11	单人副本-雁门关1	3001	-1	10
12	任务10	-1	9	12
13	单人副本-雁门关2	3001	-1	11
14	单人副本-雁门关3	3001	-1	13
15	单人副本-雁门关4	3001	-1	14
16	聚贤庄副本_剧情对话_1	3003	-1	15
17	聚贤庄副本_剧情对话_2	3003	-1	16
18	聚贤庄副本_剧情对话_3	3003	-1	17
19	聚贤庄副本_剧情对话_4	3003	-1	18
20	聚贤庄副本_剧情对话_5	3003	-1	19
21	首登洱海	-1	-1	20
22	日常-掌门问候	-1	40	21
23	日常-掌门问候	-1	43	22
24	日常-掌门问候	-1	46	23
25	【主】6酒量	-1	100	24
26	【主】9驭兽	-1	101	25
27	【主】18朋友	-1	103	26
28	【主】孽缘2	-1	107	27
29	【主】威逼5	-1	110	28
30	【主】危难10	-1	115	29
31	【主】挑衅22	-1	127	30
32	【主】挟持28	-1	133	31
33	【主】冤屈30	-1	135	32
34	【主】警惕35	-1	140	33
35	【主】烦恼37	-1	142	34
36	【主】演戏42	-1	147	35
37	【主】【30-40】4澄清	-1	152	36
38	【主】8报仇	-1	156	37
39	【主】13寻找	-1	161	38
40	【主】15外界	-1	163	39
41	【主】20蹊跷	-1	168	40
42	【主】24不解	-1	172	41
43	【主】27狡猾	-1	175	42
44	【主】争辩33	-1	181	43
45	【主】神医36	-1	184	44
46	【主】聚众38	-1	186	45
47	【主】奇冤40	-1	188	46
48	【主】托付44	-1	192	47
49	【主】无趣51	-1	199	48
50	【主】秘密54	-1	202	49
51	帮会日常活动	-1	-1	50
52	【主】爬塔19	2022	-1	51
53	【主】重入20	2023	-1	52
54	【主】宝贝40	-1	145	53
55	单人副本-雁门关5	3001	-1	54
56	【主】比武	3006	-1	55
57	【主】锄奸	3014	-1	56
58	拜堂成亲	3001	-1	57
59	珍珑棋局	3011	-1	58
60	结婚巡游	-1	-1	59
61	【感恩节】礼拜	-1	240	60
