Id	Desc	StrDictionary
INT	STRING	STRING
#		
#字典号	关键字描述（此列程序不读）功能名+字典类型+日期	字典内容
1	任务_对白_20140115	范例
1000	通用_提示标题_20140213	提示信息
1001	通用_提示标题_20140213	错误
1002	登陆_提示内容_20140213	当前服务器未配置
1003	通用_提示内容_20140213	连接服务器，请等待
1004	系统商店_提示内容_20140213	该商品无法批量购买
1005	登陆_提示内容_20140213	连接到服务器失败
1006	登陆_UI文字_20140213	无
1007	登陆_UI文字_20140213	新区
1008	登陆_UI文字_20140213	推荐
1009	登陆_UI文字_20140213	火爆
1010	目标_UI文字_20140213	暂时没有需要完成的目标
1011	目标_UI文字_20140213	暂时没有推荐的任务
1012	目标_UI文字_20140213	任务奖励
1013	目标_UI文字_20140214	维护
1014	登陆_提示内容_20140214	正在进入游戏，请稍候
1015	扣除_提示内容_20140225	您的经验值不足，扣除失败
1016	扣除_提示内容_20140226	您背包中的道具不足，扣除失败
1017	扣除_提示内容_20140227	您的元宝不足，扣除失败
1018	扣除_提示内容_20140228	您的绑定元宝不足，扣除失败
1019	扣除_提示内容_20140229	您的金币不足，扣除失败
1020	扣除_提示内容_20140230	您的真气不足，扣除失败
1021	扣除_提示内容_20140231	您的体能不足，扣除失败
1022	死亡复活_提示内容_20140225	复活后才能打开。
1023	死亡复活_提示内容_20140225	当前携带元宝数量不足。
1024	死亡复活_提示内容_20140225	角色未死亡。
1025	死亡复活_提示内容_20140225	当前场景不能使用原地复活。
1026	死亡复活_提示内容_20140225	当前场景不能使用入口复活。
1027	死亡复活_提示内容_20140225	冷却中，不能入口复活。
1028	死亡复活_提示内容_20140225	无法传送回主城，请稍候再试。
1029	死亡复活_UI_20140225	复活
1030	死亡复活_UI_20140225	原地复活
1031	死亡复活_UI_20140225	入口复活
1032	死亡复活_UI_20140225	放弃
1033	死亡复活_UI_20140225	花费
1034	死亡复活_UI_20140225	花费{0}绑定元宝
1035	死亡复活_UI_20140225	复活倒计时
1036	死亡复活_UI_20140225	返回洱海
1037	目标_UI文字_20140213	经验:
1038	目标_UI文字_20140213	金钱:
1039	掉落_提示内容_20140226	背包已满，请整理。
1040	背包_提示内容_20140226	扩展该背包位需要花费
1041	背包_提示内容_20140226	绑定元宝。
1042	背包_提示内容_20140226	元宝不足。
1043	背包_提示内容_20140226	当前背包已满，请扩充背包或清理物品。
1044	背包_提示内容_20140226	放置成功。
1045	背包_UI_20140226	全部
1046	背包_UI_20140226	装备
1047	背包_UI_20140226	材料
1048	背包_UI_20140226	伙伴
1049	背包_UI_20140226	其它
1050	背包_UI_20140226	等级：
1051	背包_UI_20140226	出售
1052	好友_UI_20140226	好友
1053	好友_UI_20140226	好友：
1054	好友_UI_20140226	好友列表
1055	好友_UI_20140226	查找
1056	好友_UI_20140226	黑名单
1057	好友_UI_20140226	查看
1058	好友_UI_20140226	级
1059	好友_UI_20140226	/
1060	好友_UI_20140226	加为好友
1061	好友_UI_20140226	{0}
1062	好友_UI_20140226	职业:{0}
