Id	DESC	szString	type_1	type_2
INT	STRING	STRING	BOOL	BOOL
#预留				
#过滤词汇	描述，策划维护	过滤词汇	聊天	命名
0		少林	0	1
1		天山	0	1
2		大理	0	1
3		逍遥	0	1
4		山魈头目	0	1
5		说书人	0	1
6		朱丹臣	0	1
7		褚万里	0	1
8		乔峰	0	1
9		裁缝	0	1
10		结婚	0	1
11		强化	0	1
12		节日	0	1
13		伙伴	0	1
14		商人	0	1
15		铁匠	0	1
16		活动	0	1
17		伙伴	0	1
18		酒楼	0	1
19		任务	0	1
20		商人	0	1
21		节日	0	1
22		强化	0	1
23		帮会	0	1
24		奖励	0	1
25		仓库	0	1
26		逍遥接引	0	1
27		少林接引	0	1
28		天山接引	0	1
29		大理接引	0	1
30		马伍德	0	1
31		钟灵	0	1
32		段誉	0	1
33		左子穆	0	1
34		司空玄	0	1
35		剑宗弟子	0	1
36		神农帮弟子	0	1
37		野狼	0	1
38		莽牯毒蛤	0	1
39		来福	0	1
40		甘宝宝	0	1
41		钟万仇	0	1
42		木婉清	0	1
43		平婆婆	0	1
44		江湖邪士	0	1
45		曼陀杀手	0	1
46		黑豹	0	1
47		龚光杰	0	1
48		干光豪	0	1
49		容子矩	0	1
50		左子穆	0	1
51		灵鹫宫圣使	0	1
52		黑衣人	0	1
53		少林精英	0	1
54		天山精英	0	1
55		大理精英	0	1
56		逍遥精英	0	1
57		带头大哥	0	1
58		神秘老人	0	1
59		马夫人	0	1
60		游骥	0	1
61		游驹	0	1
62		玄难	0	1
63		向望海	0	1
64		白世镜	0	1
65		丐帮弟子	0	1
66		聚贤庄庄客	0	1
67		少林弟子	0	1
68		江湖宵小	0	1
69		丐帮弟子	0	1
70		毒蟾蜍	0	1
71		毒狼	0	1
72		精钢盾	0	1
73		吴长老	0	1
74		藩邦探子	0	1
75		明王随从	0	1
76		红熊	0	1
77		熊王	0	1
78		秦家寨弟子	0	1
79		青城弟子	0	1
80		恶奴	0	1
81		姚伯当	0	1
82		司马林	0	1
83		宵小	0	1
84		马贼	0	1
85		漕运强盗	0	1
86		丐帮叛徒	0	1
87		西夏武士	0	1
88		一品堂高手	0	1
89		李延宗	0	1
90		剑客	0	1
91		刀客	0	1
92		家丁	0	1
93		少林铜人	0	1
94		猛虎	0	1
95		星宿弟子	0	1
96		戈壁马匪	0	1
97		宋兵	0	1
98		荒原豹	0	1
99		西夏兵	0	1
100		辽兵	0	1
101		盗贼	0	1
102		女真猎手	0	1
103		冰原狼	0	1
104		雪豹	0	1
105		玄天部众	0	1
106		昊天部众	0	1
107		叛乱洞主	0	1
108		豺	0	1
109		店小二	0	1
110		岳老三	0	1
111		刀白凤	0	1
112		叶二娘	0	1
113		云中鹤	0	1
114		本因	0	1
115		枯荣大师	0	1
116		鸠摩智	0	1
117		卢煮	0	1
118		阿碧	0	1
119		鸠摩智	0	1
120		郑屠	0	1
121		恶奴	0	1
122		阿朱	0	1
123		老黄	0	1
124		王夫人	0	1
125		王语嫣	0	1
126		木桩	0	1
127		吕长老	0	1
128		乔峰	0	1
129		赫连铁树	0	1
130		家丁	0	1
131		护院	0	1
132		武师	0	1
133		包不同	0	1
134		风波恶	0	1
135		公冶乾	0	1
136		邓百川	0	1
137		慕容复	0	1
138		祁六	0	1
139		灵隐	0	1
140		玄慈	0	1
141		鲍千灵	0	1
142		向望海	0	1
143		薛神医	0	1
144		苏星河	0	1
145		段延庆	0	1
146		远古棋魂	0	1
147		慕容德	0	1
148		慕容垂	0	1
149		慕容恪	0	1
150		慕容皝	0	1
151		慕容博	0	1
152		心魔	0	1
153		天山童姥	0	1
