Id	Desc	Quality	GainRata	Icon	Name	SwordsManExp	Tips	AddAttrType1	AddAttrValue1	AddAttrPer1	AddAttrType2	AddAttrValue2	AddAttrPer2	AddAttrType3	AddAttrValue3	AddAttrPer3
INT	STRING	INT	INT	STRING	STRING	INT	STRING	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT
#MAX_ID=40960;MAX_RECORD=8192;TableType=Hash;																
#侠客ID	程序不读	品质	拜访几率	图标ID	名字	吞噬经验	Tips描述	附加属性类型1	附加属性值1	附加属性百分比1	附加属性类型2	附加属性值2	附加属性百分比2	附加属性类型3	附加属性值3	附加属性百分比3
1		0	100	xiangwanghai	向望海	15	增加生命985	0	985	0	-1	-1	0	-1	-1	0
2		0	100	yaobodang	姚伯当	15	增加法力182	1	182	0	-1	-1	0	-1	-1	0
3		0	100	baoqianling	鲍千灵	15	增加外功攻击95	3	95	0	-1	-1	0	-1	-1	0
4		0	100	simalin	司马林	15	增加内功攻击95	4	95	0	-1	-1	0	-1	-1	0
5		0	100	shanzheng	单正	15	增加外功防御60	5	60	0	-1	-1	0	-1	-1	0
6		0	100	shanboshan	单伯山	15	增加内功防御60	6	60	0	-1	-1	0	-1	-1	0
7		0	100	shanzhongshan	单仲山	15	增加命中112	7	112	0	-1	-1	0	-1	-1	0
8		0	100	shanjishan	单季山	15	增加闪避56	8	56	0	-1	-1	0	-1	-1	0
9		0	100	shanshushan	单叔山	15	增加暴击96	9	96	0	-1	-1	0	-1	-1	0
10		0	100	shanxiaoshan	单小山	15	增加暴抗64	10	64	0	-1	-1	0	-1	-1	0
11		1	100	cuibaiquan	崔百泉	30	增加生命1478	0	1478	0	-1	-1	0	-1	-1	0
12		1	100	zhongwanchou	钟万仇	30	增加法力273	1	273	0	-1	-1	0	-1	-1	0
13		1	100	wulaoda	乌老大	30	增加外功攻击143	3	143	0	-1	-1	0	-1	-1	0
14		1	100	sangtugong	桑土公	30	增加内功攻击143	4	143	0	-1	-1	0	-1	-1	0
15		1	100	hadaba	哈大霸	30	增加外功防御90	5	90	0	-1	-1	0	-1	-1	0
16		1	100	buping	不平道长	30	增加内功防御90	6	90	0	-1	-1	0	-1	-1	0
17		1	100	zhiguangdashi	智光大师	30	增加命中168	7	168	0	-1	-1	0	-1	-1	0
18		1	100	tangong	谭公	30	增加闪避84	8	84	0	-1	-1	0	-1	-1	0
19		1	100	zhaoqiansun	赵钱孙	30	增加暴击144	9	144	0	-1	-1	0	-1	-1	0
20		1	100	zhaixingzi	摘星子	30	增加暴抗96	10	96	0	-1	-1	0	-1	-1	0
21		2	100	chuwanli	褚万里	60	增加生命2464	0	2464	0	-1	-1	0	-1	-1	0
22		2	100	guducheng	古笃诚	60	增加法力456	1	456	0	-1	-1	0	-1	-1	0
23		2	100	fusigui	傅思归	60	增加外功攻击238	3	238	0	-1	-1	0	-1	-1	0
24		2	100	zhudanchen	朱丹臣	60	增加内功攻击238	4	238	0	-1	-1	0	-1	-1	0
25		2	100	baishijing	白世镜	60	增加外功防御151	5	151	0	-1	-1	0	-1	-1	0
26		2	100	chenguyan	陈孤雁	60	增加内功防御151	6	151	0	-1	-1	0	-1	-1	0
27		2	100	wuchangfeng	吴长风	60	增加命中280	7	280	0	-1	-1	0	-1	-1	0
28		2	100	quanguanqing	全冠清	60	增加闪避140	8	140	0	-1	-1	0	-1	-1	0
29		2	100	batianshi	巴天石	60	增加暴击240	9	240	0	-1	-1	0	-1	-1	0
30		2	100	dengbaichuan	邓百川	60	增加暴抗160	10	160	0	-1	-1	0	-1	-1	0
31		2	100	gongzhiqian	公冶乾	60	增加穿透100	11	100	0	-1	-1	0	-1	-1	0
32		2	100	baobutong	包不同	60	增加韧性100	12	100	0	-1	-1	0	-1	-1	0
33		2	100	fengboe	风波恶	60	增加暴伤加成100	13	100	0	-1	-1	0	-1	-1	0
34		2	100	zhuobufan	卓不凡	60	增加暴伤减免100	14	100	0	-1	-1	0	-1	-1	0
35		2	100	zheluoxing	哲罗星	60	增加全防御151	1001	151	0	-1	-1	0	-1	-1	0
36		2	50	shenshan	神山上人	1000	吞噬增加经验1000	-1	0	0	-1	-1	0	-1	-1	0
37		3	100	yunzhonghe	云中鹤	120	增加生命3942	0	3942	0	-1	-1	0	-1	-1	0
38		3	100	nanhaieshen	南海鳄神	120	增加法力729	1	729	0	-1	-1	0	-1	-1	0
39		3	100	murongfu	慕容复	120	增加外功攻击381	3	381	0	-1	-1	0	-1	-1	0
40		3	100	jiumozhi	鸠摩智	120	增加内功攻击381	4	381	0	-1	-1	0	-1	-1	0
41		3	100	kurong	枯荣大师	120	增加外功防御241	5	241	0	-1	-1	0	-1	-1	0
42		3	100	huangmei	黄眉大师	120	增加内功防御241	6	241	0	-1	-1	0	-1	-1	0
43		3	100	dingchunqiu	丁春秋	120	增加命中448	7	448	0	-1	-1	0	-1	-1	0
44		3	100	youtanzhi	游坦之	120	增加闪避224	8	224	0	-1	-1	0	-1	-1	0
45		3	100	duanyanqing	段延庆	120	增加暴击384	9	384	0	-1	-1	0	-1	-1	0
46		3	100	buping	段正明	120	增加暴抗256	10	256	0	-1	-1	0	-1	-1	0
47		3	100	buping	段正淳	120	增加穿透160	11	160	0	-1	-1	0	-1	-1	0
48		3	100	xuannan	玄难	120	增加韧性160	12	160	0	-1	-1	0	-1	-1	0
49		3	100	xuanbei	玄悲	120	增加暴伤加成160	13	160	0	-1	-1	0	-1	-1	0
50		3	100	xuanku	玄苦	120	增加暴伤减免160	14	160	0	-1	-1	0	-1	-1	0
51		3	100	xuanci	玄慈	120	增加全防御241	1001	241	0	-1	-1	0	-1	-1	0
52		3	30	suxinghe	苏星河	5000	吞噬增加经验5000	-1	0	0	-1	-1	0	-1	-1	0
53		4	80	duanyu	段誉	240	增加生命4928和全防御302	0	4928	0	1001	302	0	-1	-1	0
54		4	80	xuzhu	虚竹	240	增加生命4928和内功攻击477	0	4928	0	4	477	0	-1	-1	0
55		4	80	qiaofeng	萧峰	240	增加生命4928和外功攻击477	0	4928	0	3	477	0	-1	-1	0
56		4	100	xiaoyuanshan	萧远山	240	增加命中560和穿透200	7	560	0	11	200	0	-1	-1	0
57		4	100	murongbo	慕容博	240	增加闪避280和韧性200	8	280	0	12	200	0	-1	-1	0
58		4	100	xuannan	逍遥子	240	增加暴击480和暴伤加成200	9	480	0	13	200	0	-1	-1	0
59		4	100	wuyazi	无崖子	240	增加暴抗320和暴伤减免200	10	320	0	14	200	0	-1	-1	0
60		4	30	saodishensheng	扫地神僧	240	增加全攻击477和全防御302	1000	477	0	1001	302	0	-1	-1	0
