Id	Desc	ExpNeedLv1	ExpNeedLv2	ExpNeedLv3	ExpNeedLv4	ExpNeedLv5	ExpNeedLv6	ExpNeedLv7	ExpNeedLv8	ExpNeedLv9	ExpNeedLv10
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1023;MAX_RECORD=1024;TableType=Index;											
#侠客ID	程序不读	侠客升到1级需要经验	侠客升到2级需要经验	侠客升到3级需要经验	侠客升到4级需要经验	侠客升到5级需要经验	侠客升到6级需要经验	侠客升到7级需要经验	侠客升到8级需要经验	侠客升到9级需要经验	侠客升到10级需要经验
1	向望海	0	120	120	240	480	960	2280	4200	8400	16800
2	姚伯当	0	120	120	240	480	960	2280	4200	8400	16800
3	鲍千灵	0	120	120	240	480	960	2280	4200	8400	16800
4	司马林	0	120	120	240	480	960	2280	4200	8400	16800
5	单正	0	120	120	240	480	960	2280	4200	8400	16800
6	单伯山	0	120	120	240	480	960	2280	4200	8400	16800
7	单仲山	0	120	120	240	480	960	2280	4200	8400	16800
8	单季山	0	120	120	240	480	960	2280	4200	8400	16800
9	单叔山	0	120	120	240	480	960	2280	4200	8400	16800
10	单小山	0	120	120	240	480	960	2280	4200	8400	16800
11	崔百泉	0	360	360	720	1440	2880	6840	12600	25200	50400
12	钟万仇	0	360	360	720	1440	2880	6840	12600	25200	50400
13	乌老大	0	360	360	720	1440	2880	6840	12600	25200	50400
14	桑土公	0	360	360	720	1440	2880	6840	12600	25200	50400
15	哈大霸	0	360	360	720	1440	2880	6840	12600	25200	50400
16	不平道长	0	360	360	720	1440	2880	6840	12600	25200	50400
17	智光大师	0	360	360	720	1440	2880	6840	12600	25200	50400
18	谭公	0	360	360	720	1440	2880	6840	12600	25200	50400
19	赵钱孙	0	360	360	720	1440	2880	6840	12600	25200	50400
20	摘星子	0	360	360	720	1440	2880	6840	12600	25200	50400
21	褚万里	0	720	720	1440	2880	5760	13680	25200	50400	100800
22	古笃诚	0	720	720	1440	2880	5760	13680	25200	50400	100800
23	傅思归	0	720	720	1440	2880	5760	13680	25200	50400	100800
24	朱丹臣	0	720	720	1440	2880	5760	13680	25200	50400	100800
25	白世镜	0	720	720	1440	2880	5760	13680	25200	50400	100800
26	陈孤雁	0	720	720	1440	2880	5760	13680	25200	50400	100800
27	吴长风	0	720	720	1440	2880	5760	13680	25200	50400	100800
28	全冠清	0	720	720	1440	2880	5760	13680	25200	50400	100800
29	巴天石	0	720	720	1440	2880	5760	13680	25200	50400	100800
30	邓百川	0	720	720	1440	2880	5760	13680	25200	50400	100800
31	公冶乾	0	720	720	1440	2880	5760	13680	25200	50400	100800
32	包不同	0	720	720	1440	2880	5760	13680	25200	50400	100800
33	风波恶	0	720	720	1440	2880	5760	13680	25200	50400	100800
34	卓不凡	0	720	720	1440	2880	5760	13680	25200	50400	100800
35	哲罗星	0	720	720	1440	2880	5760	13680	25200	50400	100800
36	神山上人	0	720	720	1440	2880	5760	13680	25200	50400	100800
37	云中鹤	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
38	南海鳄神	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
39	慕容复	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
40	鸠摩智	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
41	枯荣大师	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
42	黄眉大师	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
43	丁春秋	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
44	游坦之	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
45	段延庆	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
46	段正明	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
47	段正淳	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
48	玄难	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
49	玄悲	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
50	玄苦	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
51	玄慈	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
52	苏星河	0	1440	1440	2880	5760	13680	25200	50400	100800	201600
53	段誉	0	2400	2400	4800	9600	19200	45600	84000	168000	336000
54	虚竹	0	2400	2400	4800	9600	19200	45600	84000	168000	336000
55	萧峰	0	2400	2400	4800	9600	19200	45600	84000	168000	336000
56	萧远山	0	2400	2400	4800	9600	19200	45600	84000	168000	336000
57	慕容博	0	2400	2400	4800	9600	19200	45600	84000	168000	336000
58	逍遥子	0	2400	2400	4800	9600	19200	45600	84000	168000	336000
59	无崖子	0	2400	2400	4800	9600	19200	45600	84000	168000	336000
60	扫地神僧	0	2400	2400	4800	9600	19200	45600	84000	168000	336000
