Id	Desc	Type	InvestitiveDescription	InvestitiveName	IsImmotile	Prioirity	ColorLevel	CanDeleteByPlayer	OwnerTime	BroadCastDic	TitleForText
INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING
#MAX_ID=1024;MAX_RECORD=1025;TableType=Index;											
#ID	描述(程序不读)	称号类型（0~7为自定义称号，之后为系统称号）	称号描述(游戏中可能会显示)	称号名	是否强制显示	显示优先级	颜色等级	是否可手动删除(1:是 0:否)	拥有时间(单位:小时)	广播字典号	显示文字
1	帮会称号 - 帮主	0	标识帮主的称号	帮主	0	1	3	0	-1	-1	TestTitle
2	帮会称号 - 副帮主	0	标识副帮主的称号	副帮主	0	1	2	0	-1	-1	TestTitle
3	帮会称号 - 帮众	0	标识帮众的称号	帮众	0	1	1	0	-1	-1	TestTitle
4	夫妻称号 - 老公	1	标识老公的称号	的相公	0	4	4	0	-1	-1	TestTitle
5	夫妻称号 - 老婆	1	标识老婆的称号	的娘子	0	4	4	0	-1	-1	TestTitle
6	师门称号 - 掌门	2	标识师门掌门的称号	掌门	0	1	4	0	-1	3087	TestTitle
7	师门称号 - 弟子	2	标识师门弟子的称号	弟子	0	1	1	0	-1	-1	TestTitle
8	门派大弟子 - 少林第1弟子	8	少林大弟子	少林达摩大弟子	0	2	5	0	24	-1	TestTitle
9	门派大弟子 - 少林第2弟子	8	少林二弟子	少林罗汉弟子	0	2	4	0	24	-1	TestTitle
10	门派大弟子 - 少林第3弟子	8	少林三弟子	少林般若弟子	0	2	3	0	24	-1	TestTitle
11	门派大弟子 - 少林第4至20弟子	8	少林弟子排行上榜称号	少林菩提弟子	0	2	2	0	24	-1	TestTitle
12	门派大弟子 - 天山第1弟子	8	天山大弟子	天山灵鹫大弟子	0	2	5	0	24	-1	TestTitle
13	门派大弟子 - 天山第2弟子	8	天山二弟子	天山飘渺弟子	0	2	4	0	24	-1	TestTitle
14	门派大弟子 - 天山第3弟子	8	天山三弟子	天山魅影弟子	0	2	3	0	24	-1	TestTitle
