Id	Desc	TypeName	TypeDesc
INT	STRING	STRING	STRING
#MAX_ID=39;MAX_RECORD=40;TableType=Hash;			
#ID	描述(程序不读)	称号系列名	称号类型描述
0	帮会称号	帮会称号	标识帮会身份的称号
1	结婚称号	结婚称号	标识夫妻的称号
2	师门称号	师门称号	标识师门身份的称号
3	公会称号	公会称号	标识公会身份的称号
8	门派称号	门派称号	门派弟子称号
9	华山论剑称号	华山论剑称号	参与华山论剑的豪侠的称号
10	少室山称号	少室山称号	少室山获得的稀有称号
11	少室山称号	少室山称号	少室山获得的史诗称号
12	少室山称号	少室山称号	少室山获得的传说称号
13	藏经阁称号	藏经阁称号	藏经阁挑战至高层获得称号
14	世界BOSS称号	世界BOSS称号	世界BOSS击杀排行前三队伍的称号
15	等级礼包称号	等级礼包称号	特定等级礼包获得称号
16	战力榜称号	战力榜称号	战力榜称号
17	等级榜称号	等级榜称号	等级榜称号
18	血量榜称号	血量榜称号	血量榜称号
19	攻击榜称号	攻击榜称号	攻击榜称号
20	金币榜称号	金币榜称号	金币榜称号
22	消费榜称号	消费榜称号	消费榜称号
23	宗师榜称号	宗师榜称号	宗师榜称号
24	帮战称号	帮战称号	帮战第一名的帮会成员称号
25	回归元老	元老称号	标识元老身份的称号
26	战神	活动称号	参加各类活动获得的称号
27	帮会争霸	帮会争霸	标识帮会争霸的称号
28	感恩节称号	感恩节	感恩节纪念称号
29	勤奋榜称号	勤奋榜称号	勤奋榜称号
30	爱情类称号	爱情称号	爱情称号
31	标识公会身份的称号	公会进驻奖励	标识公会身份的称号
