Id	Desc	Path
INT	STRING	STRING
#MAX_ID=1024;MAX_RECORD=1025;TableType=Index;		
#ID	程序不读	内容信息
0	美人界面	Prefab/UI/BelleController
1	强化界面	Prefab/UI/EquipStrengthenRoot
2	背包界面	Prefab/UI/BackPackRoot
3	伙伴界面	Prefab/UI/PartnerAndMountRoot
4	技能界面	Prefab/UI/SkillRoot
5	活动界面	Prefab/UI/ActivityController
6	庄园界面	Prefab/UI/Restaurant
7	帮会界面	Prefab/UI/RelationRoot
8	侠客界面	Prefab/UI/BackPackRoot
9	制造界面	Prefab/UI/Liveskill
10	商城界面	Prefab/UI/BackPackRoot
11	江湖名人录	Prefab/UI/ActivityController
12	华山论剑	Prefab/UI/ActivityController
13	日常任务	Prefab/UI/MissionLogRoot
14	藏经阁副本	Prefab/UI/ActivityController
15	珍珑棋局副本	Prefab/UI/ActivityController
16	燕王古墓副本	Prefab/UI/ActivityController
17	天降奇珍副本	Prefab/UI/ActivityController
18	燕子坞副本	Prefab/UI/ActivityController
19	聚贤庄副本	Prefab/UI/ActivityController
20	主角界面	Prefab/UI/RoleView
21	宝石界面	Prefab/UI/BackPackRoot
22	诗词界面	Prefab/UI/ShiCiRoot
23	剑谱界面	Prefab/UI/JianPuRoot
24	拼字界面	Prefab/UI/ZiPaiRoot
