Id	Desc	Name	ScriptId	ConsumeFlag	CoolDownId	UseParamA	UseParamB	UseParamC	UseParamD
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=10240;TableType=Hash;									
#ID	程序不读	物品名称	脚本ID	0：使用不销毁 1：使用后销毁2：使用后调用脚本的消耗函数	冷却Id(CoolDownTime.txt)	附加参数1	附加参数2	附加参数3	附加参数4
1	GM剑	GM剑	11111	1	-1	0	0	-1	0
2	血	血	103	1	16	1	1000	-1	0
34	双倍丹绑定	玉灵丹	101	1	-1	0	0	-1	0
36	血	血	103	1	16	1	1000	-1	0
37	蓝	蓝	103	1	17	2	1000	-1	0
44	十里断魂烟	十里断魂烟	102	2	-1	0	0	-1	0
46	【同34】双倍丹绑定	玉灵丹	101	1	-1	0	0	-1	0
47	【同34】双倍丹绑定	玉灵丹	101	1	-1	0	0	-1	0
49	结婚礼包	结婚礼包	104	1	-1	1	1982	-1	0
52	真气修炼丹	真气丹	103	1	-1	3	1000	-1	0
4001	60级红缸	朱红灵珠	127	2	16	1	4500000	-1	0
4002	80级红缸	赤红灵珠	127	2	16	1	9000000	-1	0
4003	100级红缸	绯红灵珠	127	2	16	1	18000000	-1	0
4006	60级蓝缸	湖蓝灵珠	127	2	17	2	450000	-1	0
4007	80级蓝缸	湛蓝灵珠	127	2	17	2	900000	-1	0
4008	100级蓝缸	碧蓝灵珠	127	2	17	2	1800000	-1	0
4011	红药	红药	103	1	16	1	1510	-1	0
4012	红药	红药	103	1	16	1	1890	-1	0
4013	红药	红药	103	1	16	1	3830	-1	0
4014	红药	红药	103	1	16	1	5500	-1	0
4015	红药	红药	103	1	16	1	10700	-1	0
4016	红药	红药	103	1	16	1	13900	-1	0
4017	红药	红药	103	1	16	1	21400	-1	0
4018	红药	红药	103	1	16	1	31200	-1	0
4019	红药	红药	103	1	16	1	42900	-1	0
4020	红药	红药	103	1	16	1	56000	-1	0
4021	蓝药	蓝药	103	1	17	2	130	-1	0
4022	蓝药	蓝药	103	1	17	2	200	-1	0
4023	蓝药	蓝药	103	1	17	2	350	-1	0
4024	蓝药	蓝药	103	1	17	2	550	-1	0
4025	蓝药	蓝药	103	1	17	2	900	-1	0
4026	蓝药	蓝药	103	1	17	2	1400	-1	0
4027	蓝药	蓝药	103	1	17	2	1800	-1	0
4028	蓝药	蓝药	103	1	17	2	2300	-1	0
4029	蓝药	蓝药	103	1	17	2	3400	-1	0
4030	蓝药	蓝药	103	1	17	2	4800	-1	0
4032	初级修炼丹	初级修炼丹	103	1	-1	3	100	-1	0
4033	中级修炼丹	中级修炼丹	103	1	-1	3	500	-1	0
4034	高级修炼丹	高级修炼丹	103	1	-1	3	1000	-1	0
4035	体力丹	体力丹	103	1	-1	4	100	-1	0
4036	丹药50级物理攻击	1品武力丹	112	1	-1	0	49101	-1	0
4037	丹药70级物理攻击	2品武力丹	112	1	-1	0	49102	-1	0
4038	丹药90级物理攻击	3品武力丹	112	1	-1	0	49103	-1	0
4039	丹药100级物理攻击	4品武力丹	112	1	-1	0	49104	-1	0
4040	丹药110级物理攻击	5品武力丹	112	1	-1	0	49105	-1	0
4041	丹药120级物理攻击	6品武力丹	112	1	-1	0	49106	-1	0
4042	丹药50级法术攻击	1品元气丹	112	1	-1	0	49107	-1	0
4043	丹药70级法术攻击	2品元气丹	112	1	-1	0	49108	-1	0
4044	丹药90级法术攻击	3品元气丹	112	1	-1	0	49109	-1	0
4045	丹药100级法术攻击	4品元气丹	112	1	-1	0	49110	-1	0
4046	丹药110级法术攻击	5品元气丹	112	1	-1	0	49111	-1	0
4047	丹药120级法术攻击	6品元气丹	112	1	-1	0	49112	-1	0
4048	丹药50级物理防御	1品护元丹	112	1	-1	0	49113	-1	0
4049	丹药70级物理防御	2品护元丹	112	1	-1	0	49114	-1	0
4050	丹药90级物理防御	3品护元丹	112	1	-1	0	49115	-1	0
4051	丹药100级物理防御	4品护元丹	112	1	-1	0	49116	-1	0
4052	丹药110级物理防御	5品护元丹	112	1	-1	0	49117	-1	0
4053	丹药120级物理防御	6品护元丹	112	1	-1	0	49118	-1	0
4054	丹药50级法术防御	1品护心丹	112	1	-1	0	49119	-1	0
4055	丹药70级法术防御	2品护心丹	112	1	-1	0	49120	-1	0
4056	丹药90级法术防御	3品护心丹	112	1	-1	0	49121	-1	0
4057	丹药100级法术防御	4品护心丹	112	1	-1	0	49122	-1	0
4058	丹药110级法术防御	5品护心丹	112	1	-1	0	49123	-1	0
4059	丹药120级法术防御	6品护心丹	112	1	-1	0	49124	-1	0
4060	丹药50级命中	1品凝神丹	112	1	-1	0	49125	-1	0
4061	丹药70级命中	2品凝神丹	112	1	-1	0	49126	-1	0
4062	丹药90级命中	3品凝神丹	112	1	-1	0	49127	-1	0
4063	丹药100级命中	4品凝神丹	112	1	-1	0	49128	-1	0
4064	丹药110级命中	5品凝神丹	112	1	-1	0	49129	-1	0
4065	丹药120级命中	6品凝神丹	112	1	-1	0	49130	-1	0
4066	丹药50级闪避	1品轻身丹	112	1	-1	0	49131	-1	0
4067	丹药70级闪避	2品轻身丹	112	1	-1	0	49132	-1	0
4068	丹药90级闪避	3品轻身丹	112	1	-1	0	49133	-1	0
4069	丹药100级闪避	4品轻身丹	112	1	-1	0	49134	-1	0
4070	丹药110级闪避	5品轻身丹	112	1	-1	0	49135	-1	0
4071	丹药120级闪避	6品轻身丹	112	1	-1	0	49136	-1	0
4072	丹药50级暴击	1品炎阳丹	112	1	-1	0	49137	-1	0
4073	丹药70级暴击	2品炎阳丹	112	1	-1	0	49138	-1	0
4074	丹药90级暴击	3品炎阳丹	112	1	-1	0	49139	-1	0
4075	丹药100级暴击	4品炎阳丹	112	1	-1	0	49140	-1	0
4076	丹药110级暴击	5品炎阳丹	112	1	-1	0	49141	-1	0
4077	丹药120级暴击	6品炎阳丹	112	1	-1	0	49142	-1	0
4078	丹药50级血上限	1品凝血丹	112	1	-1	0	49143	-1	0
4079	丹药70级血上限	2品凝血丹	112	1	-1	0	49144	-1	0
4080	丹药90级血上限	3品凝血丹	112	1	-1	0	49145	-1	0
4081	丹药100级血上限	4品凝血丹	112	1	-1	0	49146	-1	0
4082	丹药110级血上限	5品凝血丹	112	1	-1	0	49147	-1	0
4083	丹药120级血上限	6品凝血丹	112	1	-1	0	49148	-1	0
4084	清心丹	清心丹	118	1	-1	0	-1	-1	0
4500	动物1技能激活书	动物1技能激活书	11111	0	-1	0	0	-1	0
4501	动物2技能激活书	动物2技能激活书	11111	0	-1	0	0	-1	0
4502	动物3技能激活书	动物3技能激活书	11111	0	-1	0	0	-1	0
4503	动物4技能激活书	动物4技能激活书	11111	0	-1	0	0	-1	0
4504	动物5技能激活书	动物5技能激活书	11111	0	-1	0	0	-1	0
4505	动物6技能激活书	动物6技能激活书	11111	0	-1	0	0	-1	0
4506	动物7技能激活书	动物7技能激活书	11111	0	-1	0	0	-1	0
4507	动物8技能激活书	动物8技能激活书	11111	0	-1	0	0	-1	0
4508	动物9技能激活书	动物9技能激活书	11111	0	-1	0	0	-1	0
4509	动物10技能激活书	动物10技能激活书	11111	0	-1	0	0	-1	0
4510	人型1技能激活书	人型1技能激活书	11111	0	-1	0	0	-1	0
