Id	Desc	ShowLevelReq	BuyLevelReq
INT	STRING	INT	INT
#MAX_ID=999999;MAX_RECORD=1024;TableType=Hash;			
#物品ID	描述	可视等级	可购买等级
8009	9级生命宝石	9	10
8209	9级法力宝石	9	10
8309	9级外功宝石	9	10
8409	9级内功宝石	9	10
8509	9级外防宝石	9	10
8609	9级内防宝石	9	10
8709	9级命中宝石	9	10
8809	9级闪避宝石	9	10
8909	9级暴击宝石	9	10
9009	9级暴抗宝石	9	10
8010	10级生命宝石	10	11
8210	10级法力宝石	10	11
8310	10级外功宝石	10	11
8410	10级内功宝石	10	11
8510	10级外防宝石	10	11
8610	10级内防宝石	10	11
8710	10级命中宝石	10	11
8810	10级闪避宝石	10	11
8910	10级暴击宝石	10	11
9010	10级暴抗宝石	10	11
8011	11级生命宝石	11	12
8211	11级法力宝石	11	12
8311	11级外功宝石	11	12
8411	11级内功宝石	11	12
8511	11级外防宝石	11	12
8611	11级内防宝石	11	12
8711	11级命中宝石	11	12
8811	11级闪避宝石	11	12
8911	11级暴击宝石	11	12
9011	11级暴抗宝石	11	12
8012	12级生命宝石	12	12
8212	12级法力宝石	12	12
8312	12级外功宝石	12	12
8412	12级内功宝石	12	12
8512	12级外防宝石	12	12
8612	12级内防宝石	12	12
8712	12级命中宝石	12	12
8812	12级闪避宝石	12	12
8912	12级暴击宝石	12	12
9012	12级暴抗宝石	12	12
