Id	Desc	VipCost	VipJXZ	VipYZW	VipYWGM	VipZLQJ	VipSSS	VipNHCJ	VipItem1	VipItem2	VipItem3	VipItem4	Number
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=256;MAX_RECORD=256;TableType=Hash;													
#等级	程序不读	累计消费	聚贤庄	燕子坞	燕王古墓	珍珑棋局	少室山	怒海锄奸	少林	天山	大理	逍遥	数量
0		0	0	0	0	0	0	0	-1	-1	-1	-1	-1
1		1	0	0	0	0	0	0	59007	59008	59010	59009	1
2		11	0	0	1	0	0	0	59002	59002	59002	59002	1
3		38	0	0	1	0	0	1	24	24	24	24	30
4		50	0	1	1	0	0	1	59023	59023	59023	59023	1
5		100	0	1	1	1	0	1	4600	4600	4600	4600	200
6		300	1	1	1	1	0	2	8007	8007	8007	8007	1
7		500	1	2	2	1	0	2	6023	6023	6023	6023	1
8		1000	2	2	2	2	0	3	59024	59024	59024	59024	1
9		8000	2	3	3	3	0	3	59031	59032	59034	59033	1
10		10000	3	3	3	3	0	3	59035	59036	59038	59037	1
11		30000	4	4	4	4	0	4	59013	59014	59016	59015	1
12		50000	5	5	5	5	0	5	59017	59018	59020	59019	1
