Id	Desc	Content
STRING	STRING	STRING
#加载中……		
#Id	描述	内容
0	安全相关	[ffffff]锦囊：畅游员工绝不会向您索要密码！
1	游戏提示	[ffffff]锦囊：喜欢《天龙八部3D》，就分享给朋友吧！
2	加载提示	[ffffff]锦囊：加载场景不会消耗流量啦！
3	日常任务	[ffffff]锦囊：日常任务可以刷新品质，品质越高奖励越多。
4	药品使用	[ffffff]锦囊：自动使用生命或法力药品，可在设置里修改。
5	杀气相关	[ffffff]锦囊：杀气过多要被关小黑屋的！
6	系统设置	[ffffff]锦囊：游戏卡住，可在设置里使用脱离卡死。
7	传送相关	[ffffff]锦囊：点击右上角地图可以快速传送到各个场景。
8	挂机相关	[ffffff]锦囊：挂机时、游戏卡顿时，可降低画面效果。
9	系统设置	[ffffff]锦囊：敌人太多时，可在设置里关闭敌人头顶信息。
10	活动掉落	[ffffff]锦囊：副本难度越高掉落越好。去尝试更高难度吧！
11	装备保值	[ffffff]锦囊：装备强化和打星等级，可通过吸收来继承。
12	伙伴保值	[ffffff]锦囊：伙伴资质和星级，可通过伙伴吸收来继承。
13	伙伴保值	[ffffff]锦囊：伙伴技能与主人绑定；更换伙伴不失去技能。
