Id	Desc	TabIndex	ItemType	ItemID	Num	PriceWeek	SaleWeek	PriceMonth	SaleMonth	PriceForever	SaleForever
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1023;MAX_RECORD=1024;TableType=Index;											
#商品ID	描述	标签分页(0强化 1伙伴 2装饰 3其他 4VIP)	物品类型(0物品 1时装 2伙伴 3坐骑)	物品ID(对应表ID 如物品对应commonitem 时装对应fashiondata)	物品数量	7天价格-原价	7天价格-折扣(-1按原价 非-1按折扣价 后同)	30天价格-原价	30天价格-折扣	永久价格-原价	永久价格-折扣
0	玄铁	0	0	23	1	6	-1	6	-1	6	-1
1	精钢	0	0	60	1	60	-1	60	-1	60	-1
2	打星石	0	0	24	1	16	-1	16	-1	16	-1
3	冰魄神丹美人进化材料	3	0	28	1	10	-1	10	-1	10	-1
4	火狐锦囊	1	0	59200	1	90	-1	90	-1	90	-1
5	火狐福袋	1	0	59201	1	900	-1	900	-1	900	-1
6	伙伴资质丹	1	0	4600	1	10	-1	10	-1	10	-1
7	3级生命宝石	0	0	8003	1	90	-1	90	-1	90	-1
8	3级法力宝石	0	0	8203	1	90	-1	90	-1	90	-1
9	3级物攻宝石	0	0	8303	1	90	-1	90	-1	90	-1
10	3级法攻宝石	0	0	8403	1	90	-1	90	-1	90	-1
11	3级物防宝石	0	0	8503	1	90	-1	90	-1	90	-1
12	3级法防宝石	0	0	8603	1	90	-1	90	-1	90	-1
13	3级命中宝石	0	0	8703	1	90	-1	90	-1	90	-1
14	3级闪避宝石	0	0	8803	1	90	-1	90	-1	90	-1
15	3级暴击宝石	0	0	8903	1	90	-1	90	-1	90	-1
16	3级暴抗宝石	0	0	9003	1	90	-1	90	-1	90	-1
17	6级生命宝石	0	0	8006	1	1940	-1	1940	-1	1940	-1
18	6级法力宝石	0	0	8206	1	1940	-1	1940	-1	1940	-1
19	6级物攻宝石	0	0	8306	1	1940	-1	1940	-1	1940	-1
20	6级法攻宝石	0	0	8406	1	1940	-1	1940	-1	1940	-1
21	6级物防宝石	0	0	8506	1	1940	-1	1940	-1	1940	-1
22	6级法防宝石	0	0	8606	1	1940	-1	1940	-1	1940	-1
23	6级命中宝石	0	0	8706	1	1940	-1	1940	-1	1940	-1
24	6级闪避宝石	0	0	8806	1	1940	-1	1940	-1	1940	-1
25	6级暴击宝石	0	0	8906	1	1940	-1	1940	-1	1940	-1
26	6级暴抗宝石	0	0	9006	1	1940	-1	1940	-1	1940	-1
27	爪击激活书	1	0	4500	1	90	-1	90	-1	90	-1
28	淬毒激活书	1	0	4501	1	90	-1	90	-1	90	-1
