Id	Desc	SceneID	DataID	PosX	PosZ	FaceDirection
INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT
#MAX_ID=4999;MAX_RECORD=5000;TableType=Hash;						
#唯一标示	描述，策划维护，此列程序不读	所属场景	DataID	位置X	位置Z	Npc朝向(弧度数值)
0	NPC_YingHong	1	10101	61.74	89.67	-1.57
1	NPC_ZhenZhang	1	10102	68.46	86.61	-1.89
2	NPC_XunShanRen	1	10103	85.63	75.21	-2.62
3	NPC_ZuoCi	1	10104	75.25	82.2	-1.92
4	NPC_YingCai	1	10105	131.44	118.14	-2.09
5	NPC_DianXiaoEr	1	10106	55.36	73.28	-0.45
6	NPC_ShangRen	1	10107	64.1	61.66	-2.23
7	NPC_SuanMingXianSheng	1	10108	65.49	77.13	-1.91
8	NPC_JiangLiShiZhe	1	10109	71.57	69.22	-1.63
9	Monster_BuYi 01	1	10201	129.78	65.11	-1.63
10	Monster_BuYi 02	1	10201	127.12	64.8	-1.63
11	Monster_BuYi 03	1	10201	129.07	70.49	-1.63
12	Monster_BuYi 04	1	10201	125.74	60.64	-1.63
13	Monster_BuYi 05	1	10201	127.46	65.25	-1.63
14	Monster_BuYi 06	1	10201	132.51	69.28	-1.63
15	Monster_BuYi 07	1	10201	130.93	73.89	-1.63
16	Monster_BuYi 08	1	10201	116.7	104.46	-1.57
17	Monster_BuYi 09	1	10201	119.99	102.05	-1.57
18	Monster_BuYi 10	1	10201	120.96	106.52	-1.57
19	Monster_BuYi 11	1	10201	127.46	101.11	-1.57
20	Monster_BuYi 12	1	10201	130.39	103.56	-1.57
21	Monster_BuYi 13	1	10201	123.9	100.51	-1.57
22	Monster_ShanZei 01	1	10202	63.45	141.68	-0.62
23	Monster_ShanZei 02	1	10202	64.67	145.58	-0.62
24	Monster_ShanZei 03	1	10202	67.6	147.1	-0.62
25	Monster_ShanZei 04	1	10202	67.86	136.94	-0.62
26	Monster_ShanZei 05	1	10202	71.33	144.36	-0.62
27	Monster_ShanZei 06	1	10202	72.06	135.22	-0.62
28	Monster_ShanZei 07	1	10202	74.53	138.95	-0.62
29	Monster_ShanZei 08	1	10202	69.83	140.26	-0.62
30	Monster_YinPai	1	10301	83.1	149.95	-1.63
31	NPC_LiuBei	2	20101	49.76	21.09	-1.75
32	NPC_GuanYu	2	20102	45.16	23.53	-1.3
33	NPC_HeJin	2	20103	38.48	39.09	-1.05
34	NPC_DiaoChan	2	20104	77.64	51.91	-1.92
35	NPC_DongZhuo	2	20105	66.6	57.04	-1.22
36	NPC_ZhangJiao	2	20106	32.16	79.56	-1.23
37	Monster_HuangJinJunWangHun 01	2	20202	47.31	13.06	1.4
38	Monster_HuangJinJunWangHun 02	2	20202	48.59	9.81	1.4
39	Monster_HuangJinJunWangHun 03	2	20202	46.19	9.92	1.4
40	Monster_HuangJinJunWangHun 04	2	20202	49.61	12.54	1.4
41	Monster_HuangJinJunWangHun 05	2	20202	45.05	12.92	1.4
42	Monster_HuangJinJunWangHun 06	2	20202	36.18	25.58	0.19
